piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,132.6,122.8,131.8,117.0,126.0
BKO_E2_D4_05_Sandia_T,91.98,71.4,79.4,95.8,70.0,71.0
BKO_E2_D4_01_Suku_T,128.84,128.8,129.2,129.2,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,107.2,115.4,97.6,109.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,104.8,95.8,101.6,100.0,101.0
BKO_E3_D5_01_Maraka_T,113.68,114.6,114.0,112.8,110.0,113.0
BKO_E3_D6_02_Suku_T,136.13,135.0,136.0,136.6,132.0,132.0
BKO_E2_D4_06_Manjanin_T,129.54,125.4,128.8,129.2,131.0,130.0
BKO_E1_D1_01_Suku_T,124.51,124.4,124.8,124.0,121.0,123.0
BKO_E3_D5_13_Suku_T,120.05,123.8,122.4,119.8,119.0,120.0
BKO_E1_D1_02_Maraka_T,102.87,103.2,102.4,103.0,106.0,103.0
BKO_E2_D3_05_Sandia_T,94.28,90.8,126.8,70.8,73.0,73.0
BKO_E2_D3_14_Maraka_T,111.02,110.8,111.2,111.2,113.0,111.0
BKO_E3_D6_03_Wasulunka_T,110.77,122.0,114.6,111.8,110.0,111.0
BKO_E2_D4_04_Dansa_T,97.34,124.4,134.2,126.0,144.0,144.0
BKO_E3_D6_01_Maraka_T,115.33,116.2,115.6,115.8,115.0,116.0
BKO_E2_D4_02_Maraka_T,111.05,112.4,111.4,111.2,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,123.2,123.4,123.2,124.0,123.0
BKO_E2_D3_02_Suku_T,124.38,124.4,124.4,124.4,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,131.8,124.6,133.0,130.0,130.0
BKO_E1_D1_04_Dansa_T,105.12,112.0,104.6,104.6,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,122.0,121.4,121.2,117.0,118.0
BKO_E2_D3_06_Manjanin_T,120.08,121.0,121.2,120.0,119.0,120.0
BKO_E1_D1_06_Manjanin_T,137.2,134.2,131.2,132.6,133.0,134.0
BKO_E3_D6_04_Sandia_T,106.26,108.2,111.2,104.0,111.0,111.0
BKO_E2_D3_01_Maraka_T,116.47,117.2,116.4,116.4,116.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,126.6,130.6,105.2,138.0,138.0
BKO_E3_D5_05_Sandia_T,102.12,116.0,112.6,102.4,99.0,105.0
BKO_E1_D1_03_Wasulunka_T,99.58,99.0,109.0,99.0,99.0,99.0
BKO_E1_D1_05_Sandia_T,98.42,113.8,102.6,104.4,103.0,103.0
BKO_E1_D2_07_Sandia_T,114.21,113.6,114.0,114.4,113.0,114.0
BKO_E2_D3_03_Wasulunka_T,107.01,128.6,109.4,128.2,133.0,122.0
BKO_E3_D5_06_Manjanin_T,114.75,115.4,106.8,115.0,113.0,115.0
BKO_E3_D6_10_Dansa_T,105.15,114.4,124.8,118.4,105.0,126.0
BKO_E3_D5_02_Suku_T,127.11,128.6,127.4,127.6,130.0,128.0
BKO_E3_D6_12_Suku_T,141.7,137.0,141.8,141.8,144.0,139.0
