,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,36.11111111111111,36.11111111111111,36.11111111111111,"[3, 4, 5, 15, 16, 17, 18, 20, 24, 25, 32, 34, 35]",[],[]
1,zero_uni,Y,36.11111111111111,36.11111111111111,36.11111111111111,"[3, 4, 5, 10, 12, 16, 17, 18, 20, 21, 23, 28, 30]",[],[]
2,zero_uni,Z,72.22222222222221,72.22222222222221,72.22222222222221,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 30, 32, 34, 35]",[],[]
3,zero_uni,XYZ,52.77777777777778,52.77777777777778,52.77777777777778,"[2, 3, 4, 5, 6, 7, 9, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 30, 32]",[],[]
4,zero_uni,mode,41.66666666666667,44.44444444444444,44.44444444444444,"[2, 3, 5, 6, 15, 16, 17, 18, 20, 21, 23, 29, 30, 34, 35]",[],[19]
5,zero_uni,median,72.22222222222221,72.22222222222221,72.22222222222221,"[0, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 20, 21, 23, 25, 27, 29, 30, 31, 32, 33, 34, 35]",[],[]
6,zero_bi,X,36.11111111111111,36.11111111111111,36.11111111111111,"[1, 3, 4, 6, 9, 15, 16, 20, 24, 25, 27, 33, 35]",[],[]
7,zero_bi,Y,50.0,50.0,50.0,"[0, 1, 3, 7, 10, 12, 16, 17, 18, 20, 21, 23, 24, 25, 29, 30, 32, 33]",[],[]
8,zero_bi,Z,69.44444444444444,69.44444444444444,69.44444444444444,"[0, 2, 3, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 28, 30, 32, 34, 35]",[],[]
9,zero_bi,XYZ,52.77777777777778,52.77777777777778,52.77777777777778,"[2, 3, 4, 5, 6, 7, 9, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 30, 32]",[],[]
10,zero_bi,mode,52.77777777777778,55.55555555555556,55.55555555555556,"[2, 3, 4, 5, 6, 7, 9, 12, 16, 17, 18, 20, 21, 23, 25, 30, 32, 34, 35]",[],[26]
11,zero_bi,median,63.888888888888886,63.888888888888886,63.888888888888886,"[0, 2, 3, 5, 6, 7, 9, 10, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 25, 30, 32, 34, 35]",[],[]
