piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,35.89,72.01,64.59
BKO_E2_D4_05_Sandia_T,91.98,38.9,78.28,76.11
BKO_E2_D4_01_Suku_T,128.84,26.75,53.94,50.13
BKO_E2_D4_03_Wasulunka_T,108.26,28.17,57.23,54.34
BKO_E1_D2_04_Maraka_T,101.71,33.5,68.36,52.77
BKO_E3_D5_01_Maraka_T,113.68,35.58,72.27,56.98
BKO_E3_D6_02_Suku_T,136.13,51.12,102.24,52.48
BKO_E2_D4_06_Manjanin_T,129.54,42.9,86.92,71.4
BKO_E1_D1_01_Suku_T,124.51,35.28,70.82,67.15
BKO_E3_D5_13_Suku_T,120.05,43.28,86.94,59.96
BKO_E1_D1_02_Maraka_T,102.87,30.16,60.55,51.4
BKO_E2_D3_05_Sandia_T,94.28,36.38,72.77,70.78
BKO_E2_D3_14_Maraka_T,111.02,55.38,110.75,102.51
BKO_E3_D6_03_Wasulunka_T,110.77,37.76,76.27,62.4
BKO_E2_D4_04_Dansa_T,97.34,32.63,73.03,70.82
BKO_E3_D6_01_Maraka_T,115.33,51.93,104.93,84.57
BKO_E2_D4_02_Maraka_T,111.05,57.18,114.36,106.27
BKO_E2_D4_12_Suku_T,123.38,59.22,120.58,120.38
BKO_E2_D3_02_Suku_T,124.38,49.52,99.38,88.67
BKO_E1_D2_05_Wasulunka_T,129.41,37.35,74.71,64.59
BKO_E1_D1_04_Dansa_T,105.12,45.22,93.44,91.34
BKO_E1_D2_03_Suku_T,120.78,36.21,74.41,71.88
BKO_E2_D3_06_Manjanin_T,120.08,44.89,89.78,73.29
BKO_E1_D1_06_Manjanin_T,137.2,30.22,62.99,59.05
BKO_E3_D6_04_Sandia_T,106.26,33.3,70.08,59.78
BKO_E2_D3_01_Maraka_T,116.47,55.02,110.04,110.04
BKO_E3_D6_06_Manjanin_T,156.66,31.73,63.95,57.85
BKO_E3_D5_05_Sandia_T,102.12,34.23,68.47,51.64
BKO_E1_D1_03_Wasulunka_T,99.58,42.19,84.38,81.81
BKO_E1_D1_05_Sandia_T,98.42,41.59,83.18,78.55
BKO_E1_D2_07_Sandia_T,114.21,50.33,100.67,100.62
BKO_E2_D3_03_Wasulunka_T,107.01,39.82,80.43,77.12
BKO_E3_D5_06_Manjanin_T,114.75,43.25,86.94,86.5
BKO_E3_D6_10_Dansa_T,105.15,46.34,92.75,51.51
BKO_E3_D5_02_Suku_T,127.11,37.85,75.89,63.4
BKO_E3_D6_12_Suku_T,141.7,42.2,84.88,52.8
