piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,97.79,96.74,104.02
BKO_E2_D4_05_Sandia_T,91.98,107.22,107.71,77.58
BKO_E2_D4_01_Suku_T,128.84,70.0,74.5,71.7
BKO_E2_D4_03_Wasulunka_T,108.26,110.61,103.66,104.64
BKO_E1_D2_04_Maraka_T,101.71,137.29,128.79,123.08
BKO_E3_D5_01_Maraka_T,113.68,90.52,86.77,83.47
BKO_E3_D6_02_Suku_T,136.13,129.51,113.78,106.1
BKO_E2_D4_06_Manjanin_T,129.54,125.83,96.8,87.07
BKO_E1_D1_01_Suku_T,124.51,98.12,82.48,75.31
BKO_E3_D5_13_Suku_T,120.05,125.11,107.66,109.84
BKO_E1_D1_02_Maraka_T,102.87,111.79,90.69,71.44
BKO_E2_D3_05_Sandia_T,94.28,111.11,103.99,79.39
BKO_E2_D3_14_Maraka_T,111.02,114.98,103.44,107.84
BKO_E3_D6_03_Wasulunka_T,110.77,125.59,110.31,103.78
BKO_E2_D4_04_Dansa_T,97.34,72.37,72.91,72.48
BKO_E3_D6_01_Maraka_T,115.33,130.01,118.31,116.53
BKO_E2_D4_02_Maraka_T,111.05,107.94,106.17,110.21
BKO_E2_D4_12_Suku_T,123.38,85.42,85.64,86.01
BKO_E2_D3_02_Suku_T,124.38,124.56,107.75,110.24
BKO_E1_D2_05_Wasulunka_T,129.41,96.81,86.96,79.92
BKO_E1_D1_04_Dansa_T,105.12,129.1,122.74,121.81
BKO_E1_D2_03_Suku_T,120.78,109.64,102.33,114.02
BKO_E2_D3_06_Manjanin_T,120.08,89.0,86.93,83.64
BKO_E1_D1_06_Manjanin_T,137.2,106.22,102.83,96.36
BKO_E3_D6_04_Sandia_T,106.26,117.27,93.38,125.13
BKO_E2_D3_01_Maraka_T,116.47,97.62,90.31,85.72
BKO_E3_D6_06_Manjanin_T,156.66,102.78,98.56,91.49
BKO_E3_D5_05_Sandia_T,102.12,117.1,109.34,105.39
BKO_E1_D1_03_Wasulunka_T,99.58,92.39,92.38,86.37
BKO_E1_D1_05_Sandia_T,98.42,107.36,107.44,98.51
BKO_E1_D2_07_Sandia_T,114.21,125.65,124.77,114.58
BKO_E2_D3_03_Wasulunka_T,107.01,123.22,82.95,74.18
BKO_E3_D5_06_Manjanin_T,114.75,95.57,78.37,86.07
BKO_E3_D6_10_Dansa_T,105.15,90.61,87.44,90.13
BKO_E3_D5_02_Suku_T,127.11,100.54,89.16,89.46
BKO_E3_D6_12_Suku_T,141.7,92.93,90.79,86.94
BKO_E3_D5_03_Wasulunka_T,114.2,125.87,106.95,108.29
BKO_E2_D4_05_Sandia_T,91.98,129.49,105.49,107.19
BKO_E2_D4_01_Suku_T,128.84,123.56,123.96,124.89
BKO_E2_D4_03_Wasulunka_T,108.26,109.03,107.04,103.85
BKO_E1_D2_04_Maraka_T,101.71,135.58,115.48,110.3
BKO_E3_D5_01_Maraka_T,113.68,143.62,137.67,127.5
BKO_E3_D6_02_Suku_T,136.13,130.22,119.06,116.31
BKO_E2_D4_06_Manjanin_T,129.54,128.93,130.61,128.09
BKO_E1_D1_01_Suku_T,124.51,129.1,120.76,118.84
BKO_E3_D5_13_Suku_T,120.05,123.18,111.37,121.66
BKO_E1_D1_02_Maraka_T,102.87,133.95,110.7,117.3
BKO_E2_D3_05_Sandia_T,94.28,106.5,102.15,106.02
BKO_E2_D3_14_Maraka_T,111.02,121.82,112.35,106.04
BKO_E3_D6_03_Wasulunka_T,110.77,128.86,102.92,104.83
BKO_E2_D4_04_Dansa_T,97.34,75.44,73.16,74.87
BKO_E3_D6_01_Maraka_T,115.33,118.97,116.11,112.26
BKO_E2_D4_02_Maraka_T,111.05,133.53,112.88,109.72
BKO_E2_D4_12_Suku_T,123.38,124.61,121.19,122.57
BKO_E2_D3_02_Suku_T,124.38,114.44,104.84,105.62
BKO_E1_D2_05_Wasulunka_T,129.41,137.36,121.44,130.76
BKO_E1_D1_04_Dansa_T,105.12,133.51,128.89,126.82
BKO_E1_D2_03_Suku_T,120.78,115.27,106.32,103.8
BKO_E2_D3_06_Manjanin_T,120.08,91.91,90.1,88.22
BKO_E1_D1_06_Manjanin_T,137.2,118.22,114.97,110.73
BKO_E3_D6_04_Sandia_T,106.26,135.11,114.62,114.06
BKO_E2_D3_01_Maraka_T,116.47,117.65,113.6,114.19
BKO_E3_D6_06_Manjanin_T,156.66,114.1,107.88,110.26
BKO_E3_D5_05_Sandia_T,102.12,103.4,99.06,97.91
BKO_E1_D1_03_Wasulunka_T,99.58,103.28,101.11,107.17
BKO_E1_D1_05_Sandia_T,98.42,141.73,131.8,138.11
BKO_E1_D2_07_Sandia_T,114.21,129.19,111.74,117.63
BKO_E2_D3_03_Wasulunka_T,107.01,129.12,112.78,112.85
BKO_E3_D5_06_Manjanin_T,114.75,116.91,113.24,114.23
BKO_E3_D6_10_Dansa_T,105.15,139.71,111.88,111.88
BKO_E3_D5_02_Suku_T,127.11,129.9,120.27,128.5
BKO_E3_D6_12_Suku_T,141.7,135.23,113.08,113.51
BKO_E3_D5_03_Wasulunka_T,114.2,80.3,80.32,79.03
BKO_E2_D4_05_Sandia_T,91.98,82.16,70.76,75.99
BKO_E2_D4_01_Suku_T,128.84,84.12,80.7,77.92
BKO_E2_D4_03_Wasulunka_T,108.26,108.84,105.77,100.87
BKO_E1_D2_04_Maraka_T,101.71,103.01,99.74,97.88
BKO_E3_D5_01_Maraka_T,113.68,108.47,104.91,103.77
BKO_E3_D6_02_Suku_T,136.13,83.22,87.99,82.92
BKO_E2_D4_06_Manjanin_T,129.54,71.35,73.84,72.01
BKO_E1_D1_01_Suku_T,124.51,95.73,93.51,93.57
BKO_E3_D5_13_Suku_T,120.05,81.36,74.63,72.72
BKO_E1_D1_02_Maraka_T,102.87,81.52,78.56,76.13
BKO_E2_D3_05_Sandia_T,94.28,75.82,71.11,70.51
BKO_E2_D3_14_Maraka_T,111.02,76.8,72.67,77.43
BKO_E3_D6_03_Wasulunka_T,110.77,85.27,88.65,80.64
BKO_E2_D4_04_Dansa_T,97.34,74.51,73.12,72.48
BKO_E3_D6_01_Maraka_T,115.33,116.75,111.68,112.45
BKO_E2_D4_02_Maraka_T,111.05,73.0,70.48,69.19
BKO_E2_D4_12_Suku_T,123.38,84.17,77.85,76.54
BKO_E2_D3_02_Suku_T,124.38,88.45,86.24,83.49
BKO_E1_D2_05_Wasulunka_T,129.41,77.6,74.31,74.06
BKO_E1_D1_04_Dansa_T,105.12,105.0,93.26,85.53
BKO_E1_D2_03_Suku_T,120.78,92.48,91.75,88.4
BKO_E2_D3_06_Manjanin_T,120.08,91.0,90.0,85.62
BKO_E1_D1_06_Manjanin_T,137.2,75.95,73.35,66.42
BKO_E3_D6_04_Sandia_T,106.26,109.17,105.36,81.83
BKO_E2_D3_01_Maraka_T,116.47,95.84,94.81,71.48
BKO_E3_D6_06_Manjanin_T,156.66,90.47,89.19,89.49
BKO_E3_D5_05_Sandia_T,102.12,74.5,77.42,74.9
BKO_E1_D1_03_Wasulunka_T,99.58,80.32,76.96,75.15
BKO_E1_D1_05_Sandia_T,98.42,102.41,100.66,98.57
BKO_E1_D2_07_Sandia_T,114.21,71.19,71.35,70.6
BKO_E2_D3_03_Wasulunka_T,107.01,75.0,73.78,73.08
BKO_E3_D5_06_Manjanin_T,114.75,74.91,72.68,74.63
BKO_E3_D6_10_Dansa_T,105.15,80.83,80.3,79.31
BKO_E3_D5_02_Suku_T,127.11,80.9,80.53,80.08
BKO_E3_D6_12_Suku_T,141.7,91.64,90.18,89.59
