piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,92.4,110.4,117.8,81.0,112.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E2_D4_05_Sandia_T,91.98,91.4,97.2,111.2,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
BKO_E2_D4_01_Suku_T,128.84,120.4,109.6,129.2,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,106.8,114.6,115.6,109.0,109.0,110.0,110.0,110.0,110.0,110.0,110.0
BKO_E1_D2_04_Maraka_T,101.71,105.4,116.0,117.0,100.0,110.0,100.0,100.0,100.0,103.0,103.0,103.0
BKO_E3_D5_01_Maraka_T,113.68,103.8,123.6,130.4,111.0,117.0,117.0,117.0,117.0,112.0,112.0,112.0
BKO_E3_D6_02_Suku_T,136.13,137.2,106.8,135.8,131.0,132.0,131.0,131.0,131.0,140.0,140.0,140.0
BKO_E2_D4_06_Manjanin_T,129.54,119.2,128.8,129.2,126.0,128.0,106.0,106.0,106.0,126.0,126.0,126.0
BKO_E1_D1_01_Suku_T,124.51,92.8,92.6,125.0,90.0,95.0,90.0,90.0,90.0,92.0,92.0,92.0
BKO_E3_D5_13_Suku_T,120.05,122.2,85.2,119.8,120.0,120.0,121.0,121.0,121.0,121.0,121.0,121.0
BKO_E1_D1_02_Maraka_T,102.87,82.4,100.8,108.2,79.0,100.0,76.0,76.0,76.0,79.0,79.0,79.0
BKO_E2_D3_05_Sandia_T,94.28,70.4,79.0,113.2,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D3_14_Maraka_T,111.02,93.8,111.2,111.4,110.0,110.0,110.0,110.0,110.0,108.0,108.0,108.0
BKO_E3_D6_03_Wasulunka_T,110.77,97.4,90.8,109.8,70.0,108.0,70.0,70.0,70.0,95.0,95.0,95.0
BKO_E2_D4_04_Dansa_T,97.34,72.8,72.8,125.4,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D6_01_Maraka_T,115.33,114.4,95.2,107.4,73.0,115.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,118.0,111.2,111.0,111.0,111.0,102.0,102.0,102.0,112.0,112.0,112.0
BKO_E2_D4_12_Suku_T,123.38,86.0,124.4,123.4,123.0,123.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E2_D3_02_Suku_T,124.38,105.8,124.2,124.4,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,102.8,103.6,131.8,96.0,104.0,96.0,96.0,96.0,97.0,97.0,97.0
BKO_E1_D1_04_Dansa_T,105.12,106.0,105.6,124.2,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,111.4,120.8,120.0,116.0,117.0,116.0,116.0,116.0,116.0,116.0,116.0
BKO_E2_D3_06_Manjanin_T,120.08,90.0,91.4,120.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0
BKO_E1_D1_06_Manjanin_T,137.2,121.6,130.6,129.8,134.0,132.0,134.0,134.0,134.0,134.0,134.0,134.0
BKO_E3_D6_04_Sandia_T,106.26,102.4,105.2,102.6,98.0,99.0,70.0,70.0,70.0,110.0,110.0,110.0
BKO_E2_D3_01_Maraka_T,116.47,116.2,115.6,116.6,115.0,116.0,115.0,115.0,115.0,116.0,116.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,92.2,90.6,124.4,79.0,109.0,79.0,79.0,79.0,79.0,79.0,79.0
BKO_E3_D5_05_Sandia_T,102.12,97.8,134.6,120.8,117.0,117.0,73.0,73.0,73.0,92.0,92.0,92.0
BKO_E1_D1_03_Wasulunka_T,99.58,123.2,133.0,106.6,114.0,121.0,114.0,114.0,114.0,121.0,121.0,121.0
BKO_E1_D1_05_Sandia_T,98.42,124.8,102.6,135.2,144.0,113.0,144.0,144.0,144.0,124.0,124.0,124.0
BKO_E1_D2_07_Sandia_T,114.21,100.4,119.2,118.6,115.0,114.0,85.0,85.0,85.0,107.0,107.0,107.0
BKO_E2_D3_03_Wasulunka_T,107.01,83.2,84.6,117.0,73.0,92.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D5_06_Manjanin_T,114.75,88.6,112.8,115.2,114.0,113.0,114.0,114.0,114.0,73.0,73.0,73.0
BKO_E3_D6_10_Dansa_T,105.15,109.8,101.8,132.2,144.0,120.0,78.0,78.0,78.0,108.0,108.0,108.0
BKO_E3_D5_02_Suku_T,127.11,108.8,108.8,127.8,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E3_D6_12_Suku_T,141.7,140.2,86.8,142.0,144.0,139.0,144.0,144.0,144.0,139.0,139.0,139.0
