piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,104.0,104.2,114.2,80.0,111.0,78.0,78.0,78.0,110.0,110.0,110.0
BKO_E2_D4_05_Sandia_T,91.98,81.4,101.6,82.2,70.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
BKO_E2_D4_01_Suku_T,128.84,95.0,109.6,129.0,129.0,129.0,93.0,93.0,93.0,94.0,94.0,94.0
BKO_E2_D4_03_Wasulunka_T,108.26,100.8,115.4,109.0,109.0,109.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E1_D2_04_Maraka_T,101.71,104.6,94.0,101.6,87.0,101.0,112.0,112.0,112.0,110.0,110.0,110.0
BKO_E3_D5_01_Maraka_T,113.68,116.8,118.0,114.8,111.0,114.0,86.0,86.0,86.0,117.0,117.0,117.0
BKO_E3_D6_02_Suku_T,136.13,116.8,106.8,135.6,131.0,131.0,82.0,82.0,82.0,132.0,132.0,132.0
BKO_E2_D4_06_Manjanin_T,129.54,99.2,104.4,129.2,90.0,126.0,77.0,77.0,77.0,91.0,91.0,91.0
BKO_E1_D1_01_Suku_T,124.51,100.4,96.4,118.2,96.0,103.0,96.0,96.0,96.0,96.0,96.0,96.0
BKO_E3_D5_13_Suku_T,120.05,70.0,112.0,120.2,70.0,119.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E1_D1_02_Maraka_T,102.87,89.8,103.8,108.0,79.0,100.0,79.0,79.0,79.0,79.0,79.0,79.0
BKO_E2_D3_05_Sandia_T,94.28,70.6,70.6,70.6,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E2_D3_14_Maraka_T,111.02,93.8,111.2,111.2,70.0,110.0,70.0,70.0,70.0,107.0,107.0,107.0
BKO_E3_D6_03_Wasulunka_T,110.77,85.0,100.4,97.6,70.0,88.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_04_Dansa_T,97.34,82.8,72.4,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0
BKO_E3_D6_01_Maraka_T,115.33,114.2,92.2,115.8,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,116.2,111.2,111.2,111.0,111.0,104.0,104.0,104.0,122.0,122.0,122.0
BKO_E2_D4_12_Suku_T,123.38,123.6,124.0,123.4,123.0,123.0,124.0,124.0,124.0,124.0,124.0,124.0
BKO_E2_D3_02_Suku_T,124.38,124.8,116.4,124.6,124.0,125.0,124.0,124.0,124.0,125.0,125.0,125.0
BKO_E1_D2_05_Wasulunka_T,129.41,114.6,83.8,105.4,70.0,100.0,76.0,76.0,76.0,121.0,121.0,121.0
BKO_E1_D1_04_Dansa_T,105.12,103.6,101.4,104.8,105.0,105.0,107.0,107.0,107.0,107.0,107.0,107.0
BKO_E1_D2_03_Suku_T,120.78,110.4,126.0,119.4,117.0,121.0,72.0,72.0,72.0,117.0,117.0,117.0
BKO_E2_D3_06_Manjanin_T,120.08,89.6,83.2,114.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0
BKO_E1_D1_06_Manjanin_T,137.2,115.6,129.2,129.8,133.0,131.0,133.0,133.0,133.0,133.0,133.0,133.0
BKO_E3_D6_04_Sandia_T,106.26,106.8,92.8,105.4,98.0,98.0,123.0,123.0,123.0,111.0,111.0,111.0
BKO_E2_D3_01_Maraka_T,116.47,115.6,70.2,116.2,70.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
BKO_E3_D6_06_Manjanin_T,156.66,102.4,105.4,105.2,99.0,106.0,77.0,77.0,77.0,110.0,110.0,110.0
BKO_E3_D5_05_Sandia_T,102.12,112.6,112.6,95.0,92.0,103.0,103.0,103.0,103.0,106.0,106.0,106.0
BKO_E1_D1_03_Wasulunka_T,99.58,124.2,96.0,133.4,134.0,132.0,114.0,114.0,114.0,124.0,124.0,124.0
BKO_E1_D1_05_Sandia_T,98.42,119.8,121.8,109.2,101.0,104.0,101.0,101.0,101.0,125.0,125.0,125.0
BKO_E1_D2_07_Sandia_T,114.21,105.8,109.6,114.6,115.0,114.0,79.0,79.0,79.0,105.0,105.0,105.0
BKO_E2_D3_03_Wasulunka_T,107.01,89.8,116.0,96.0,73.0,106.0,73.0,73.0,73.0,92.0,92.0,92.0
BKO_E3_D5_06_Manjanin_T,114.75,120.2,93.4,115.2,126.0,114.0,126.0,126.0,126.0,126.0,126.0,126.0
BKO_E3_D6_10_Dansa_T,105.15,88.6,88.4,121.6,81.0,101.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E3_D5_02_Suku_T,127.11,123.8,106.6,127.2,130.0,123.0,122.0,122.0,122.0,123.0,123.0,123.0
BKO_E3_D6_12_Suku_T,141.7,138.6,88.0,141.0,139.0,137.0,136.0,136.0,136.0,137.0,137.0,137.0
