piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,79.0,79.0,92.6,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E2_D4_05_Sandia_T,91.98,70.6,70.6,109.8,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_01_Suku_T,128.84,80.8,81.0,129.2,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E2_D4_03_Wasulunka_T,108.26,83.2,87.8,108.0,82.0,84.0,80.0,80.0,80.0,84.0,84.0,84.0
BKO_E1_D2_04_Maraka_T,101.71,101.2,101.6,121.8,100.0,103.0,100.0,100.0,100.0,100.0,100.0,100.0
BKO_E3_D5_01_Maraka_T,113.68,85.8,84.6,107.4,83.0,84.0,83.0,83.0,83.0,86.0,86.0,86.0
BKO_E3_D6_02_Suku_T,136.13,85.4,85.2,95.2,83.0,84.0,83.0,83.0,83.0,84.0,84.0,84.0
BKO_E2_D4_06_Manjanin_T,129.54,75.6,73.2,76.2,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E1_D1_01_Suku_T,124.51,92.8,93.0,124.2,90.0,95.0,90.0,90.0,90.0,93.0,93.0,93.0
BKO_E3_D5_13_Suku_T,120.05,73.2,74.6,82.6,71.0,74.0,72.0,72.0,72.0,73.0,73.0,73.0
BKO_E1_D1_02_Maraka_T,102.87,77.4,77.4,87.8,75.0,77.0,75.0,75.0,75.0,77.0,77.0,77.0
BKO_E2_D3_05_Sandia_T,94.28,70.6,70.8,98.8,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E2_D3_14_Maraka_T,111.02,70.2,70.2,70.2,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E3_D6_03_Wasulunka_T,110.77,71.8,70.2,72.6,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E2_D4_04_Dansa_T,97.34,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D6_01_Maraka_T,115.33,89.6,73.4,73.4,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E2_D4_02_Maraka_T,111.05,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_12_Suku_T,123.38,77.0,77.2,114.2,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
BKO_E2_D3_02_Suku_T,124.38,77.6,77.6,105.8,77.0,78.0,77.0,77.0,77.0,77.0,77.0,77.0
BKO_E1_D2_05_Wasulunka_T,129.41,97.4,97.0,70.0,70.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
BKO_E1_D1_04_Dansa_T,105.12,104.6,104.2,128.6,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,75.4,76.2,74.0,73.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E2_D3_06_Manjanin_T,120.08,89.6,90.8,120.2,89.0,91.0,89.0,89.0,89.0,89.0,89.0,89.0
BKO_E1_D1_06_Manjanin_T,137.2,74.4,73.4,83.2,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E3_D6_04_Sandia_T,106.26,76.2,87.8,96.4,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D3_01_Maraka_T,116.47,72.8,72.8,72.8,72.0,73.0,72.0,72.0,72.0,73.0,73.0,73.0
BKO_E3_D6_06_Manjanin_T,156.66,91.6,83.2,122.6,80.0,87.0,80.0,80.0,80.0,87.0,87.0,87.0
BKO_E3_D5_05_Sandia_T,102.12,83.2,78.4,121.6,72.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0
BKO_E1_D1_03_Wasulunka_T,99.58,85.8,88.0,106.6,70.0,97.0,70.0,70.0,70.0,96.0,96.0,96.0
BKO_E1_D1_05_Sandia_T,98.42,89.0,96.8,141.2,102.0,102.0,79.0,79.0,79.0,83.0,83.0,83.0
BKO_E1_D2_07_Sandia_T,114.21,71.2,71.2,71.4,72.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E2_D3_03_Wasulunka_T,107.01,73.4,73.0,86.8,73.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D5_06_Manjanin_T,114.75,71.8,83.6,71.6,73.0,72.0,73.0,73.0,73.0,72.0,72.0,72.0
BKO_E3_D6_10_Dansa_T,105.15,78.6,79.0,77.4,80.0,79.0,77.0,77.0,77.0,79.0,79.0,79.0
BKO_E3_D5_02_Suku_T,127.11,79.6,79.4,79.4,81.0,80.0,81.0,81.0,81.0,80.0,80.0,80.0
BKO_E3_D6_12_Suku_T,141.7,88.4,87.6,89.0,91.0,89.0,91.0,91.0,91.0,89.0,89.0,89.0
