piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,76.6,78.4,78.8,76.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0
BKO_E2_D4_05_Sandia_T,91.98,70.0,71.0,82.2,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_01_Suku_T,128.84,83.2,81.2,106.4,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
BKO_E2_D4_03_Wasulunka_T,108.26,90.6,83.2,107.0,109.0,88.0,83.0,83.0,83.0,88.0,88.0,88.0
BKO_E1_D2_04_Maraka_T,101.71,85.2,87.4,101.6,86.0,100.0,74.0,74.0,74.0,75.0,75.0,75.0
BKO_E3_D5_01_Maraka_T,113.68,86.0,82.6,93.4,82.0,84.0,81.0,81.0,81.0,86.0,86.0,86.0
BKO_E3_D6_02_Suku_T,136.13,83.2,83.8,85.0,83.0,84.0,83.0,83.0,83.0,83.0,83.0,83.0
BKO_E2_D4_06_Manjanin_T,129.54,79.4,72.8,102.0,74.0,75.0,74.0,74.0,74.0,74.0,74.0,74.0
BKO_E1_D1_01_Suku_T,124.51,100.4,113.2,93.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D5_13_Suku_T,120.05,71.4,84.8,73.2,70.0,72.0,70.0,70.0,70.0,72.0,72.0,72.0
BKO_E1_D1_02_Maraka_T,102.87,79.6,77.6,92.4,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
BKO_E2_D3_05_Sandia_T,94.28,71.4,71.8,70.8,71.0,71.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E2_D3_14_Maraka_T,111.02,70.8,70.2,86.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E3_D6_03_Wasulunka_T,110.77,73.6,70.4,95.4,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_04_Dansa_T,97.34,72.2,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D6_01_Maraka_T,115.33,81.8,75.4,115.8,72.0,76.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E2_D4_02_Maraka_T,111.05,71.0,70.0,78.2,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_12_Suku_T,123.38,77.2,77.6,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
BKO_E2_D3_02_Suku_T,124.38,78.4,79.4,112.0,79.0,80.0,77.0,77.0,77.0,78.0,78.0,78.0
BKO_E1_D2_05_Wasulunka_T,129.41,96.0,92.8,96.8,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0
BKO_E1_D1_04_Dansa_T,105.12,106.8,101.0,104.4,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,72.2,78.4,101.4,72.0,76.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E2_D3_06_Manjanin_T,120.08,90.2,91.0,102.2,89.0,90.0,89.0,89.0,89.0,90.0,90.0,90.0
BKO_E1_D1_06_Manjanin_T,137.2,73.0,71.2,70.6,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E3_D6_04_Sandia_T,106.26,71.2,77.8,106.8,70.0,74.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E2_D3_01_Maraka_T,116.47,72.2,74.4,72.8,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E3_D6_06_Manjanin_T,156.66,85.2,79.6,101.0,78.0,84.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E3_D5_05_Sandia_T,102.12,99.4,72.8,76.8,78.0,78.0,86.0,86.0,86.0,101.0,101.0,101.0
BKO_E1_D1_03_Wasulunka_T,99.58,86.6,89.4,126.6,84.0,97.0,84.0,84.0,84.0,84.0,84.0,84.0
BKO_E1_D1_05_Sandia_T,98.42,87.0,73.0,97.6,70.0,80.0,70.0,70.0,70.0,80.0,80.0,80.0
BKO_E1_D2_07_Sandia_T,114.21,82.0,73.4,88.6,70.0,72.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D3_03_Wasulunka_T,107.01,74.2,73.0,73.4,73.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0
BKO_E3_D5_06_Manjanin_T,114.75,71.8,81.0,94.8,72.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E3_D6_10_Dansa_T,105.15,78.6,78.2,79.4,77.0,78.0,77.0,77.0,77.0,78.0,78.0,78.0
BKO_E3_D5_02_Suku_T,127.11,77.0,78.2,79.6,77.0,78.0,77.0,77.0,77.0,77.0,77.0,77.0
BKO_E3_D6_12_Suku_T,141.7,87.0,84.2,109.6,84.0,88.0,84.0,84.0,84.0,87.0,87.0,87.0
