piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,119.0,125.0,110.2,112.0,117.0,92.0,92.0,92.0,124.0,124.0,124.0
BKO_E2_D4_05_Sandia_T,91.98,98.6,110.6,77.6,70.0,90.0,96.0,96.0,96.0,96.0,96.0,96.0
BKO_E2_D4_01_Suku_T,128.84,95.4,100.0,97.2,97.0,99.0,101.0,101.0,101.0,101.0,101.0,101.0
BKO_E2_D4_03_Wasulunka_T,108.26,110.4,110.0,106.6,105.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
BKO_E1_D2_04_Maraka_T,101.71,113.8,100.8,114.6,113.0,113.0,112.0,112.0,112.0,113.0,113.0,113.0
BKO_E3_D5_01_Maraka_T,113.68,108.8,113.4,112.6,110.0,115.0,83.0,83.0,83.0,117.0,117.0,117.0
BKO_E3_D6_02_Suku_T,136.13,129.6,89.2,111.0,135.0,107.0,135.0,135.0,135.0,135.0,135.0,135.0
BKO_E2_D4_06_Manjanin_T,129.54,123.6,98.8,82.2,81.0,90.0,141.0,141.0,141.0,127.0,127.0,127.0
BKO_E1_D1_01_Suku_T,124.51,117.8,103.0,118.4,126.0,123.0,117.0,117.0,117.0,117.0,117.0,117.0
BKO_E3_D5_13_Suku_T,120.05,94.0,112.0,89.2,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
BKO_E1_D1_02_Maraka_T,102.87,92.0,126.2,102.8,99.0,103.0,81.0,81.0,81.0,99.0,99.0,99.0
BKO_E2_D3_05_Sandia_T,94.28,86.8,95.2,70.8,95.0,95.0,98.0,98.0,98.0,95.0,95.0,95.0
BKO_E2_D3_14_Maraka_T,111.02,104.8,137.2,116.8,138.0,136.0,83.0,83.0,83.0,87.0,87.0,87.0
BKO_E3_D6_03_Wasulunka_T,110.77,94.6,100.8,103.0,70.0,92.0,72.0,72.0,72.0,91.0,91.0,91.0
BKO_E2_D4_04_Dansa_T,97.34,101.4,76.6,78.0,73.0,73.0,121.0,121.0,121.0,98.0,98.0,98.0
BKO_E3_D6_01_Maraka_T,115.33,114.8,109.8,97.4,113.0,113.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,117.8,126.0,83.0,83.0,111.0,111.0,111.0,111.0,112.0,112.0,112.0
BKO_E2_D4_12_Suku_T,123.38,94.0,100.4,92.2,92.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E2_D3_02_Suku_T,124.38,132.0,97.6,93.4,93.0,96.0,139.0,139.0,139.0,134.0,134.0,134.0
BKO_E1_D2_05_Wasulunka_T,129.41,95.8,117.0,129.0,128.0,128.0,70.0,70.0,70.0,94.0,94.0,94.0
BKO_E1_D1_04_Dansa_T,105.12,94.4,115.2,112.6,105.0,105.0,70.0,70.0,70.0,96.0,96.0,96.0
BKO_E1_D2_03_Suku_T,120.78,130.8,128.0,120.6,117.0,127.0,127.0,127.0,127.0,131.0,131.0,131.0
BKO_E2_D3_06_Manjanin_T,120.08,120.2,118.2,85.8,89.0,115.0,119.0,119.0,119.0,119.0,119.0,119.0
BKO_E1_D1_06_Manjanin_T,137.2,85.2,118.0,124.0,135.0,109.0,70.0,70.0,70.0,81.0,81.0,81.0
BKO_E3_D6_04_Sandia_T,106.26,110.4,105.6,102.4,93.0,106.0,88.0,88.0,88.0,120.0,120.0,120.0
BKO_E2_D3_01_Maraka_T,116.47,104.4,111.4,116.6,115.0,118.0,71.0,71.0,71.0,121.0,121.0,121.0
BKO_E3_D6_06_Manjanin_T,156.66,82.8,102.8,90.6,81.0,82.0,77.0,77.0,77.0,81.0,81.0,81.0
BKO_E3_D5_05_Sandia_T,102.12,111.6,94.2,101.6,110.0,105.0,123.0,123.0,123.0,122.0,122.0,122.0
BKO_E1_D1_03_Wasulunka_T,99.58,92.4,103.4,119.0,133.0,97.0,75.0,75.0,75.0,84.0,84.0,84.0
BKO_E1_D1_05_Sandia_T,98.42,95.8,119.2,102.4,96.0,102.0,95.0,95.0,95.0,96.0,96.0,96.0
BKO_E1_D2_07_Sandia_T,114.21,103.4,107.6,126.6,130.0,114.0,75.0,75.0,75.0,109.0,109.0,109.0
BKO_E2_D3_03_Wasulunka_T,107.01,107.2,108.2,106.8,107.0,107.0,104.0,104.0,104.0,107.0,107.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,113.0,116.4,115.2,113.0,115.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,98.6,80.0,105.8,77.0,85.0,74.0,74.0,74.0,78.0,78.0,78.0
BKO_E3_D5_02_Suku_T,127.11,107.4,110.8,120.8,70.0,125.0,70.0,70.0,70.0,125.0,125.0,125.0
BKO_E3_D6_12_Suku_T,141.7,124.6,102.8,71.4,70.0,103.0,139.0,139.0,139.0,139.0,139.0,139.0
