piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,84.0,79.6,98.0,70.0,80.0,70.0,70.0,70.0,85.0,85.0,85.0
BKO_E2_D4_05_Sandia_T,91.98,78.0,83.0,74.0,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_01_Suku_T,128.84,75.6,75.6,96.6,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D4_03_Wasulunka_T,108.26,102.8,106.2,107.4,106.0,106.0,88.0,88.0,88.0,106.0,106.0,106.0
BKO_E1_D2_04_Maraka_T,101.71,79.0,77.2,83.2,73.0,76.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D5_01_Maraka_T,113.68,83.8,78.6,88.0,77.0,82.0,81.0,81.0,81.0,82.0,82.0,82.0
BKO_E3_D6_02_Suku_T,136.13,72.4,71.6,101.4,71.0,74.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E2_D4_06_Manjanin_T,129.54,77.0,75.6,82.2,81.0,80.0,73.0,73.0,73.0,77.0,77.0,77.0
BKO_E1_D1_01_Suku_T,124.51,92.6,91.8,94.2,90.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D5_13_Suku_T,120.05,82.4,87.4,89.4,89.0,89.0,71.0,71.0,71.0,83.0,83.0,83.0
BKO_E1_D1_02_Maraka_T,102.87,76.8,86.6,82.2,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E2_D3_05_Sandia_T,94.28,70.4,76.0,70.8,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D3_14_Maraka_T,111.02,84.0,94.6,83.8,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
BKO_E3_D6_03_Wasulunka_T,110.77,75.6,71.0,103.4,70.0,72.0,70.0,70.0,70.0,72.0,72.0,72.0
BKO_E2_D4_04_Dansa_T,97.34,71.2,71.4,73.2,71.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E3_D6_01_Maraka_T,115.33,115.0,91.8,103.4,85.0,113.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,111.4,102.2,83.2,112.0,110.0,112.0,112.0,112.0,112.0,112.0,112.0
BKO_E2_D4_12_Suku_T,123.38,94.0,92.0,92.4,92.0,93.0,92.0,92.0,92.0,94.0,94.0,94.0
BKO_E2_D3_02_Suku_T,124.38,88.8,86.4,93.2,93.0,93.0,76.0,76.0,76.0,90.0,90.0,90.0
BKO_E1_D2_05_Wasulunka_T,129.41,83.0,83.6,105.8,79.0,86.0,79.0,79.0,79.0,79.0,79.0,79.0
BKO_E1_D1_04_Dansa_T,105.12,98.6,100.8,104.8,105.0,102.0,88.0,88.0,88.0,101.0,101.0,101.0
BKO_E1_D2_03_Suku_T,120.78,84.2,78.4,120.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E2_D3_06_Manjanin_T,120.08,97.0,112.8,90.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
BKO_E1_D1_06_Manjanin_T,137.2,77.4,73.4,95.8,70.0,74.0,70.0,70.0,70.0,82.0,82.0,82.0
BKO_E3_D6_04_Sandia_T,106.26,78.2,86.6,90.4,75.0,77.0,70.0,70.0,70.0,72.0,72.0,72.0
BKO_E2_D3_01_Maraka_T,116.47,75.6,81.0,87.4,89.0,86.0,71.0,71.0,71.0,73.0,73.0,73.0
BKO_E3_D6_06_Manjanin_T,156.66,78.6,80.4,78.2,79.0,79.0,74.0,74.0,74.0,79.0,79.0,79.0
BKO_E3_D5_05_Sandia_T,102.12,91.8,73.8,102.4,74.0,99.0,74.0,74.0,74.0,101.0,101.0,101.0
BKO_E1_D1_03_Wasulunka_T,99.58,80.0,75.6,88.8,84.0,83.0,85.0,85.0,85.0,84.0,84.0,84.0
BKO_E1_D1_05_Sandia_T,98.42,84.0,94.4,99.0,95.0,95.0,95.0,95.0,95.0,81.0,81.0,81.0
BKO_E1_D2_07_Sandia_T,114.21,76.4,86.6,77.8,87.0,84.0,75.0,75.0,75.0,75.0,75.0,75.0
BKO_E2_D3_03_Wasulunka_T,107.01,78.4,89.2,106.8,107.0,106.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E3_D5_06_Manjanin_T,114.75,107.2,106.8,113.8,112.0,112.0,72.0,72.0,72.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,77.8,80.0,105.2,78.0,81.0,75.0,75.0,75.0,77.0,77.0,77.0
BKO_E3_D5_02_Suku_T,127.11,75.4,74.6,101.8,70.0,73.0,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E3_D6_12_Suku_T,141.7,78.0,73.4,71.4,70.0,72.0,70.0,70.0,70.0,74.0,74.0,74.0
