piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,137.8,136.0,119.8,138.0,133.0
BKO_E2_D4_05_Sandia_T,91.98,123.4,129.6,138.8,116.0,134.0
BKO_E2_D4_01_Suku_T,128.84,128.8,129.2,129.2,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,121.0,126.0,109.0,106.0,111.0
BKO_E1_D2_04_Maraka_T,101.71,119.4,123.8,127.0,125.0,125.0
BKO_E3_D5_01_Maraka_T,113.68,114.4,112.8,113.2,112.0,113.0
BKO_E3_D6_02_Suku_T,136.13,135.8,136.0,135.6,133.0,135.0
BKO_E2_D4_06_Manjanin_T,129.54,128.6,128.6,136.0,130.0,130.0
BKO_E1_D1_01_Suku_T,124.51,124.4,124.0,124.8,128.0,125.0
BKO_E3_D5_13_Suku_T,120.05,120.8,119.8,119.4,119.0,119.0
BKO_E1_D1_02_Maraka_T,102.87,103.4,103.0,109.4,101.0,102.0
BKO_E2_D3_05_Sandia_T,94.28,122.8,122.2,141.8,141.0,120.0
BKO_E2_D3_14_Maraka_T,111.02,111.2,111.2,122.4,113.0,113.0
BKO_E3_D6_03_Wasulunka_T,110.77,110.0,112.0,124.0,110.0,111.0
BKO_E2_D4_04_Dansa_T,97.34,142.2,143.6,116.4,144.0,143.0
BKO_E3_D6_01_Maraka_T,115.33,116.0,116.0,127.2,115.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,111.2,111.2,111.6,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,123.6,123.4,123.4,123.0,123.0
BKO_E2_D3_02_Suku_T,124.38,124.4,124.4,124.2,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,129.4,130.2,133.2,131.0,131.0
BKO_E1_D1_04_Dansa_T,105.12,104.6,104.4,120.8,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,121.6,120.8,127.2,117.0,118.0
BKO_E2_D3_06_Manjanin_T,120.08,119.8,121.6,120.0,119.0,120.0
BKO_E1_D1_06_Manjanin_T,137.2,127.2,129.2,126.4,137.0,135.0
BKO_E3_D6_04_Sandia_T,106.26,104.6,104.6,128.8,100.0,112.0
BKO_E2_D3_01_Maraka_T,116.47,118.8,116.2,116.6,116.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,127.4,135.2,79.6,79.0,125.0
BKO_E3_D5_05_Sandia_T,102.12,133.4,125.0,87.0,124.0,127.0
BKO_E1_D1_03_Wasulunka_T,99.58,97.6,100.4,113.6,102.0,102.0
BKO_E1_D1_05_Sandia_T,98.42,103.8,111.8,102.0,102.0,103.0
BKO_E1_D2_07_Sandia_T,114.21,114.2,121.0,125.0,115.0,115.0
BKO_E2_D3_03_Wasulunka_T,107.01,120.0,128.2,106.8,106.0,108.0
BKO_E3_D5_06_Manjanin_T,114.75,114.8,116.2,133.8,117.0,117.0
BKO_E3_D6_10_Dansa_T,105.15,132.2,133.2,112.8,128.0,131.0
BKO_E3_D5_02_Suku_T,127.11,127.2,127.2,121.6,130.0,129.0
BKO_E3_D6_12_Suku_T,141.7,141.8,141.6,142.4,144.0,144.0
