piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,162.6,170.6,171.8,167.0,172.0
BKO_E2_D4_05_Sandia_T,91.98,106.2,70.0,69.2,72.0,71.0
BKO_E2_D4_01_Suku_T,128.84,134.2,131.0,96.8,97.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,163.8,129.0,169.0,110.0,162.0
BKO_E1_D2_04_Maraka_T,101.71,93.0,101.4,101.6,100.0,100.0
BKO_E3_D5_01_Maraka_T,113.68,101.8,133.8,170.8,110.0,118.0
BKO_E3_D6_02_Suku_T,136.13,171.4,178.0,173.6,179.0,177.0
BKO_E2_D4_06_Manjanin_T,129.54,112.6,129.6,116.4,111.0,115.0
BKO_E1_D1_01_Suku_T,124.51,109.8,134.8,60.0,60.0,64.0
BKO_E3_D5_13_Suku_T,120.05,127.0,119.2,83.0,118.0,118.0
BKO_E1_D1_02_Maraka_T,102.87,125.8,129.0,109.2,103.0,104.0
BKO_E2_D3_05_Sandia_T,94.28,72.2,102.4,60.0,60.0,72.0
BKO_E2_D3_14_Maraka_T,111.02,117.8,117.8,111.2,113.0,113.0
BKO_E3_D6_03_Wasulunka_T,110.77,148.0,168.8,113.2,166.0,163.0
BKO_E2_D4_04_Dansa_T,97.34,141.0,146.2,82.2,147.0,145.0
BKO_E3_D6_01_Maraka_T,115.33,117.4,129.6,116.0,117.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,110.8,110.0,111.0,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,144.2,141.0,123.2,123.0,125.0
BKO_E2_D3_02_Suku_T,124.38,124.4,125.2,124.4,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,128.0,164.2,60.0,60.0,128.0
BKO_E1_D1_04_Dansa_T,105.12,90.8,117.6,105.2,106.0,104.0
BKO_E1_D2_03_Suku_T,120.78,116.2,127.4,176.8,117.0,117.0
BKO_E2_D3_06_Manjanin_T,120.08,132.2,91.8,90.2,91.0,92.0
BKO_E1_D1_06_Manjanin_T,137.2,60.0,168.8,65.4,60.0,67.0
BKO_E3_D6_04_Sandia_T,106.26,120.8,108.8,138.2,112.0,112.0
BKO_E2_D3_01_Maraka_T,116.47,126.8,122.6,116.2,113.0,118.0
BKO_E3_D6_06_Manjanin_T,156.66,141.8,166.2,60.0,60.0,156.0
BKO_E3_D5_05_Sandia_T,102.12,117.2,147.6,128.2,100.0,111.0
BKO_E1_D1_03_Wasulunka_T,99.58,145.8,158.8,147.0,111.0,165.0
BKO_E1_D1_05_Sandia_T,98.42,115.2,102.6,60.0,60.0,98.0
BKO_E1_D2_07_Sandia_T,114.21,135.6,154.0,60.0,60.0,114.0
BKO_E2_D3_03_Wasulunka_T,107.01,157.0,147.4,157.0,174.0,169.0
BKO_E3_D5_06_Manjanin_T,114.75,136.2,126.6,91.2,112.0,115.0
BKO_E3_D6_10_Dansa_T,105.15,160.2,60.0,60.0,60.0,60.0
BKO_E3_D5_02_Suku_T,127.11,127.4,119.8,95.8,126.0,125.0
BKO_E3_D6_12_Suku_T,141.7,169.8,154.2,97.8,179.0,145.0
