piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,64.63,129.25
BKO_E2_D4_05_Sandia_T,91.98,64.64,129.28
BKO_E2_D4_01_Suku_T,128.84,64.12,128.24
BKO_E2_D4_03_Wasulunka_T,108.26,55.92,111.84
BKO_E1_D2_04_Maraka_T,101.71,36.15,72.3
BKO_E3_D5_01_Maraka_T,113.68,69.67,139.34
BKO_E3_D6_02_Suku_T,136.13,67.87,135.74
BKO_E2_D4_06_Manjanin_T,129.54,63.87,127.73
BKO_E1_D1_01_Suku_T,124.51,61.87,123.74
BKO_E3_D5_13_Suku_T,120.05,65.17,130.34
BKO_E1_D1_02_Maraka_T,102.87,55.8,111.61
BKO_E2_D3_05_Sandia_T,94.28,62.68,125.37
BKO_E2_D3_14_Maraka_T,111.02,58.92,117.84
BKO_E3_D6_03_Wasulunka_T,110.77,62.89,125.78
BKO_E2_D4_04_Dansa_T,97.34,66.48,145.14
BKO_E3_D6_01_Maraka_T,115.33,55.48,110.95
BKO_E2_D4_02_Maraka_T,111.05,57.03,114.06
BKO_E2_D4_12_Suku_T,123.38,59.34,123.75
BKO_E2_D3_02_Suku_T,124.38,62.1,124.2
BKO_E1_D2_05_Wasulunka_T,129.41,56.49,112.99
BKO_E1_D1_04_Dansa_T,105.12,65.27,130.54
BKO_E1_D2_03_Suku_T,120.78,62.28,124.55
BKO_E2_D3_06_Manjanin_T,120.08,58.52,117.05
BKO_E1_D1_06_Manjanin_T,137.2,54.57,109.13
BKO_E3_D6_04_Sandia_T,106.26,54.8,109.6
BKO_E2_D3_01_Maraka_T,116.47,56.81,113.63
BKO_E3_D6_06_Manjanin_T,156.66,59.78,119.57
BKO_E3_D5_05_Sandia_T,102.12,64.23,128.45
BKO_E1_D1_03_Wasulunka_T,99.58,59.62,119.23
BKO_E1_D1_05_Sandia_T,98.42,56.98,113.96
BKO_E1_D2_07_Sandia_T,114.21,67.78,135.56
BKO_E2_D3_03_Wasulunka_T,107.01,54.45,108.89
BKO_E3_D5_06_Manjanin_T,114.75,57.15,114.31
BKO_E3_D6_10_Dansa_T,105.15,69.99,139.99
BKO_E3_D5_02_Suku_T,127.11,63.81,127.62
BKO_E3_D6_12_Suku_T,141.7,70.76,141.51
