piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,134.6,136.4,131.2,136.0,136.0
BKO_E2_D4_05_Sandia_T,91.98,129.2,134.2,114.4,112.0,120.0
BKO_E2_D4_01_Suku_T,128.84,132.4,133.6,96.8,97.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,115.6,133.8,124.6,109.0,132.0
BKO_E1_D2_04_Maraka_T,101.71,120.4,136.6,106.8,103.0,127.0
BKO_E3_D5_01_Maraka_T,113.68,106.0,119.6,114.2,115.0,115.0
BKO_E3_D6_02_Suku_T,136.13,134.4,135.2,130.4,129.0,134.0
BKO_E2_D4_06_Manjanin_T,129.54,122.2,114.4,128.8,132.0,125.0
BKO_E1_D1_01_Suku_T,124.51,124.6,126.0,124.4,129.0,123.0
BKO_E3_D5_13_Suku_T,120.05,122.6,120.2,119.6,120.0,120.0
BKO_E1_D1_02_Maraka_T,102.87,112.2,133.8,103.2,100.0,107.0
BKO_E2_D3_05_Sandia_T,94.28,122.8,141.0,117.6,117.0,119.0
BKO_E2_D3_14_Maraka_T,111.02,135.6,141.8,130.0,141.0,141.0
BKO_E3_D6_03_Wasulunka_T,110.77,134.4,127.0,125.2,136.0,135.0
BKO_E2_D4_04_Dansa_T,97.34,137.4,144.0,116.4,144.0,144.0
BKO_E3_D6_01_Maraka_T,115.33,120.4,120.2,133.4,116.0,120.0
BKO_E2_D4_02_Maraka_T,111.05,139.0,139.6,139.8,139.0,139.0
BKO_E2_D4_12_Suku_T,123.38,106.0,117.4,123.2,79.0,122.0
BKO_E2_D3_02_Suku_T,124.38,124.6,125.6,124.2,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,125.6,131.0,126.8,125.0,127.0
BKO_E1_D1_04_Dansa_T,105.12,115.4,105.6,104.8,105.0,106.0
BKO_E1_D2_03_Suku_T,120.78,113.4,127.0,138.0,117.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,128.8,103.2,119.6,121.0,120.0
BKO_E1_D1_06_Manjanin_T,137.2,131.4,122.0,131.4,139.0,134.0
BKO_E3_D6_04_Sandia_T,106.26,122.8,120.4,104.8,136.0,114.0
BKO_E2_D3_01_Maraka_T,116.47,133.2,122.0,132.6,118.0,131.0
BKO_E3_D6_06_Manjanin_T,156.66,130.0,133.4,110.2,125.0,125.0
BKO_E3_D5_05_Sandia_T,102.12,118.8,117.4,133.0,138.0,117.0
BKO_E1_D1_03_Wasulunka_T,99.58,117.4,116.8,142.4,144.0,136.0
BKO_E1_D1_05_Sandia_T,98.42,130.0,128.6,100.0,125.0,125.0
BKO_E1_D2_07_Sandia_T,114.21,113.8,117.0,114.2,115.0,115.0
BKO_E2_D3_03_Wasulunka_T,107.01,115.2,119.6,106.6,106.0,109.0
BKO_E3_D5_06_Manjanin_T,114.75,125.0,107.8,118.6,117.0,117.0
BKO_E3_D6_10_Dansa_T,105.15,143.0,135.2,139.2,144.0,142.0
BKO_E3_D5_02_Suku_T,127.11,127.4,132.0,127.4,124.0,129.0
BKO_E3_D6_12_Suku_T,141.7,142.4,143.8,142.6,144.0,144.0
