piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,154.8,147.4,92.2,100.0,117.0
BKO_E2_D4_05_Sandia_T,129.53,114.2,135.6,71.6,113.0,113.0
BKO_E2_D4_01_Suku_T,187.76,152.5,127.17,174.5,169.0,169.5
BKO_E2_D4_03_Wasulunka_T,131.02,150.4,137.8,60.0,60.0,117.0
BKO_E1_D2_04_Maraka_T,141.98,110.8,161.0,142.8,95.0,154.0
BKO_E3_D5_01_Maraka_T,166.88,161.2,161.0,120.4,176.0,172.0
BKO_E3_D6_02_Suku_T,194.03,60.0,101.6,120.0,60.0,98.0
BKO_E2_D4_06_Manjanin_T,163.74,154.4,144.8,166.2,167.0,165.0
BKO_E1_D1_01_Suku_T,155.02,155.6,162.8,60.0,60.0,165.0
BKO_E3_D5_13_Suku_T,159.42,133.0,80.4,60.0,60.0,94.0
BKO_E1_D1_02_Maraka_T,136.3,169.8,170.6,88.0,178.0,159.0
BKO_E2_D3_05_Sandia_T,127.22,116.6,158.4,77.4,60.0,117.0
BKO_E2_D3_14_Maraka_T,166.7,103.0,97.6,89.8,60.0,97.0
BKO_E3_D6_03_Wasulunka_T,150.83,164.2,114.6,93.2,112.0,117.0
BKO_E3_D5_04_Dansa_T,136.41,107.6,98.4,92.8,101.0,101.0
BKO_E2_D4_04_Dansa_T,144.98,108.6,130.8,159.8,108.0,145.0
BKO_E3_D6_01_Maraka_T,148.5,109.0,133.6,161.0,115.0,130.0
BKO_E1_D2_06_Dansa_T,123.73,123.2,162.8,60.0,60.0,125.0
BKO_E2_D4_02_Maraka_T,182.09,170.33,170.17,60.0,179.0,175.5
BKO_E2_D4_12_Suku_T,193.89,151.0,60.0,118.5,60.0,90.5
BKO_E2_D3_02_Suku_T,210.49,118.6,135.2,106.4,106.0,108.0
BKO_E1_D2_05_Wasulunka_T,130.2,112.8,139.0,60.0,60.0,101.0
BKO_E1_D1_04_Dansa_T,113.16,87.0,139.0,102.6,87.0,113.0
BKO_E1_D2_03_Suku_T,145.62,105.6,131.6,168.8,104.0,119.0
BKO_E2_D3_06_Manjanin_T,178.67,109.8,170.4,60.0,60.0,141.0
BKO_E1_D1_06_Manjanin_T,149.36,150.2,148.4,95.0,87.0,124.0
BKO_E3_D6_04_Sandia_T,135.73,116.6,82.2,76.8,60.0,88.0
BKO_E2_D3_01_Maraka_T,165.22,60.0,165.5,164.0,60.0,163.5
BKO_E3_D6_06_Manjanin_T,213.16,99.0,132.4,106.6,80.0,105.0
BKO_E3_D5_05_Sandia_T,133.46,125.2,158.8,60.0,60.0,122.0
BKO_E1_D1_03_Wasulunka_T,121.57,167.6,93.4,114.8,170.0,114.0
BKO_E1_D1_05_Sandia_T,119.93,138.6,158.0,60.0,60.0,120.0
BKO_E1_D2_07_Sandia_T,127.36,120.4,112.6,69.6,76.0,112.0
BKO_E2_D3_03_Wasulunka_T,171.0,171.2,152.6,170.6,179.0,168.0
BKO_E3_D5_06_Manjanin_T,146.97,126.4,112.4,75.4,74.0,110.0
BKO_E3_D6_10_Dansa_T,124.28,127.4,109.8,100.2,60.0,116.0
BKO_E3_D5_02_Suku_T,163.02,60.0,78.4,60.0,60.0,60.0
BKO_E3_D6_12_Suku_T,196.24,82.4,165.2,60.0,60.0,88.0
