piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,35.59,71.18
BKO_E2_D4_05_Sandia_T,91.98,35.29,70.59
BKO_E2_D4_01_Suku_T,128.84,33.26,66.51
BKO_E2_D4_03_Wasulunka_T,108.26,40.54,81.08
BKO_E1_D2_04_Maraka_T,101.71,37.77,75.53
BKO_E3_D5_01_Maraka_T,113.68,28.5,57.0
BKO_E3_D6_02_Suku_T,136.13,53.08,106.15
BKO_E2_D4_06_Manjanin_T,129.54,48.68,97.37
BKO_E1_D1_01_Suku_T,124.51,35.62,71.24
BKO_E3_D5_13_Suku_T,120.05,48.53,97.06
BKO_E1_D1_02_Maraka_T,102.87,47.91,95.82
BKO_E2_D3_05_Sandia_T,94.28,37.91,75.81
BKO_E2_D3_14_Maraka_T,111.02,37.24,74.48
BKO_E3_D6_03_Wasulunka_T,110.77,48.05,96.1
BKO_E2_D4_04_Dansa_T,97.34,32.86,70.05
BKO_E3_D6_01_Maraka_T,115.33,49.5,99.01
BKO_E2_D4_02_Maraka_T,111.05,54.24,108.47
BKO_E2_D4_12_Suku_T,123.38,29.67,62.11
BKO_E2_D3_02_Suku_T,124.38,32.96,65.92
BKO_E1_D2_05_Wasulunka_T,129.41,58.15,116.29
BKO_E1_D1_04_Dansa_T,105.12,49.74,99.47
BKO_E1_D2_03_Suku_T,120.78,52.74,105.47
BKO_E2_D3_06_Manjanin_T,120.08,42.71,85.42
BKO_E1_D1_06_Manjanin_T,137.2,48.39,96.79
BKO_E3_D6_04_Sandia_T,106.26,38.46,76.92
BKO_E2_D3_01_Maraka_T,116.47,37.13,74.27
BKO_E3_D6_06_Manjanin_T,156.66,51.6,103.19
BKO_E3_D5_05_Sandia_T,102.12,50.36,100.72
BKO_E1_D1_03_Wasulunka_T,99.58,50.42,100.83
BKO_E1_D1_05_Sandia_T,98.42,48.37,96.74
BKO_E1_D2_07_Sandia_T,114.21,35.05,70.1
BKO_E2_D3_03_Wasulunka_T,107.01,39.29,78.58
BKO_E3_D5_06_Manjanin_T,114.75,56.85,113.7
BKO_E3_D6_10_Dansa_T,105.15,37.64,75.29
BKO_E3_D5_02_Suku_T,127.11,50.28,100.56
BKO_E3_D6_12_Suku_T,141.7,26.93,53.85
