piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,29.25,29.25
BKO_E2_D4_05_Sandia_T,91.98,33.38,33.38
BKO_E2_D4_01_Suku_T,128.84,21.7,21.7
BKO_E2_D4_03_Wasulunka_T,108.26,40.73,40.73
BKO_E1_D2_04_Maraka_T,101.71,37.28,37.28
BKO_E3_D5_01_Maraka_T,113.68,24.34,24.34
BKO_E3_D6_02_Suku_T,136.13,30.35,30.35
BKO_E2_D4_06_Manjanin_T,129.54,56.88,56.88
BKO_E1_D1_01_Suku_T,124.51,15.05,15.05
BKO_E3_D5_13_Suku_T,120.05,16.08,16.08
BKO_E1_D1_02_Maraka_T,102.87,18.84,18.84
BKO_E2_D3_05_Sandia_T,94.28,31.92,31.92
BKO_E2_D3_14_Maraka_T,111.02,16.13,16.13
BKO_E3_D6_03_Wasulunka_T,110.77,35.7,35.7
BKO_E2_D4_04_Dansa_T,97.34,33.99,33.99
BKO_E3_D6_01_Maraka_T,115.33,34.58,34.58
BKO_E2_D4_02_Maraka_T,111.05,28.72,28.72
BKO_E2_D4_12_Suku_T,123.38,27.96,27.96
BKO_E2_D3_02_Suku_T,124.38,21.99,21.99
BKO_E1_D2_05_Wasulunka_T,129.41,5.94,5.94
BKO_E1_D1_04_Dansa_T,105.12,11.96,11.96
BKO_E1_D2_03_Suku_T,120.78,19.72,19.72
BKO_E2_D3_06_Manjanin_T,120.08,23.88,23.88
BKO_E1_D1_06_Manjanin_T,137.2,4.34,4.34
BKO_E3_D6_04_Sandia_T,106.26,16.92,16.92
BKO_E2_D3_01_Maraka_T,116.47,22.21,22.21
BKO_E3_D6_06_Manjanin_T,156.66,23.93,23.93
BKO_E3_D5_05_Sandia_T,102.12,21.74,21.74
BKO_E1_D1_03_Wasulunka_T,99.58,23.53,23.53
BKO_E1_D1_05_Sandia_T,98.42,8.45,8.45
BKO_E1_D2_07_Sandia_T,114.21,6.21,6.21
BKO_E2_D3_03_Wasulunka_T,107.01,22.94,22.94
BKO_E3_D5_06_Manjanin_T,114.75,18.65,18.65
BKO_E3_D6_10_Dansa_T,105.15,11.78,11.78
BKO_E3_D5_02_Suku_T,127.11,32.09,32.09
BKO_E3_D6_12_Suku_T,141.7,15.57,15.57
