piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,116.3,116.3
BKO_E2_D4_05_Sandia_T,91.98,105.81,105.81
BKO_E2_D4_01_Suku_T,128.84,109.08,
BKO_E2_D4_03_Wasulunka_T,108.26,108.19,108.19
BKO_E1_D2_04_Maraka_T,101.71,106.78,106.78
BKO_E3_D5_01_Maraka_T,113.68,109.36,
BKO_E3_D6_02_Suku_T,136.13,115.7,115.7
BKO_E2_D4_06_Manjanin_T,129.54,118.46,118.46
BKO_E1_D1_01_Suku_T,124.51,110.97,
BKO_E3_D5_13_Suku_T,120.05,101.48,
BKO_E1_D1_02_Maraka_T,102.87,96.91,96.91
BKO_E2_D3_05_Sandia_T,94.28,113.54,113.54
BKO_E2_D3_14_Maraka_T,111.02,105.18,
BKO_E3_D6_03_Wasulunka_T,110.77,116.21,116.21
BKO_E2_D4_04_Dansa_T,97.34,99.51,
BKO_E3_D6_01_Maraka_T,115.33,113.31,
BKO_E2_D4_02_Maraka_T,111.05,105.1,105.1
BKO_E2_D4_12_Suku_T,123.38,127.37,127.37
BKO_E2_D3_02_Suku_T,124.38,120.98,120.98
BKO_E1_D2_05_Wasulunka_T,129.41,108.0,
BKO_E1_D1_04_Dansa_T,105.12,101.97,
BKO_E1_D2_03_Suku_T,120.78,98.58,
BKO_E2_D3_06_Manjanin_T,120.08,121.87,121.87
BKO_E1_D1_06_Manjanin_T,137.2,101.11,
BKO_E3_D6_04_Sandia_T,106.26,85.21,
BKO_E2_D3_01_Maraka_T,116.47,104.52,
BKO_E3_D6_06_Manjanin_T,156.66,109.78,109.78
BKO_E3_D5_05_Sandia_T,102.12,97.31,
BKO_E1_D1_03_Wasulunka_T,99.58,99.73,99.73
BKO_E1_D1_05_Sandia_T,98.42,104.73,
BKO_E1_D2_07_Sandia_T,114.21,114.1,
BKO_E2_D3_03_Wasulunka_T,107.01,107.5,107.5
BKO_E3_D5_06_Manjanin_T,114.75,99.51,99.51
BKO_E3_D6_10_Dansa_T,105.15,103.47,
BKO_E3_D5_02_Suku_T,127.11,118.04,
BKO_E3_D6_12_Suku_T,141.7,104.77,
