piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,20.11,20.11
BKO_E2_D4_05_Sandia_T,91.98,25.62,25.62
BKO_E2_D4_01_Suku_T,128.84,13.63,13.63
BKO_E2_D4_03_Wasulunka_T,108.26,40.59,40.59
BKO_E1_D2_04_Maraka_T,101.71,23.51,23.51
BKO_E3_D5_01_Maraka_T,113.68,22.44,22.44
BKO_E3_D6_02_Suku_T,136.13,20.5,20.5
BKO_E2_D4_06_Manjanin_T,129.54,31.92,31.92
BKO_E1_D1_01_Suku_T,124.51,11.22,11.22
BKO_E3_D5_13_Suku_T,120.05,9.9,9.9
BKO_E1_D1_02_Maraka_T,102.87,14.21,14.21
BKO_E2_D3_05_Sandia_T,94.28,24.22,24.22
BKO_E2_D3_14_Maraka_T,111.02,10.11,10.11
BKO_E3_D6_03_Wasulunka_T,110.77,38.04,38.04
BKO_E2_D4_04_Dansa_T,97.34,19.3,19.3
BKO_E3_D6_01_Maraka_T,115.33,21.84,21.84
BKO_E2_D4_02_Maraka_T,111.05,18.11,18.11
BKO_E2_D4_12_Suku_T,123.38,17.46,17.46
BKO_E2_D3_02_Suku_T,124.38,13.73,13.73
BKO_E1_D2_05_Wasulunka_T,129.41,4.29,4.29
BKO_E1_D1_04_Dansa_T,105.12,8.57,8.57
BKO_E1_D2_03_Suku_T,120.78,12.19,12.19
BKO_E2_D3_06_Manjanin_T,120.08,23.59,23.59
BKO_E1_D1_06_Manjanin_T,137.2,3.53,3.53
BKO_E3_D6_04_Sandia_T,106.26,11.26,11.26
BKO_E2_D3_01_Maraka_T,116.47,13.78,13.78
BKO_E3_D6_06_Manjanin_T,156.66,11.8,11.8
BKO_E3_D5_05_Sandia_T,102.12,25.44,25.44
BKO_E1_D1_03_Wasulunka_T,99.58,18.82,18.82
BKO_E1_D1_05_Sandia_T,98.42,11.8,11.8
BKO_E1_D2_07_Sandia_T,114.21,3.3,3.3
BKO_E2_D3_03_Wasulunka_T,107.01,15.75,15.75
BKO_E3_D5_06_Manjanin_T,114.75,11.66,11.66
BKO_E3_D6_10_Dansa_T,105.15,6.38,6.38
BKO_E3_D5_02_Suku_T,127.11,20.04,20.04
BKO_E3_D6_12_Suku_T,141.7,9.8,9.8
