piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,117.8,114.4,114.6,117.0,117.0
BKO_E2_D4_05_Sandia_T,91.98,91.8,100.0,138.8,90.0,94.0
BKO_E2_D4_01_Suku_T,128.84,123.0,127.0,103.4,97.0,124.0
BKO_E2_D4_03_Wasulunka_T,108.26,107.8,109.0,118.0,106.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,111.0,132.6,128.4,128.0,128.0
BKO_E3_D5_01_Maraka_T,113.68,126.8,134.0,112.2,109.0,130.0
BKO_E3_D6_02_Suku_T,136.13,136.4,123.2,135.2,132.0,132.0
BKO_E2_D4_06_Manjanin_T,129.54,108.0,116.4,131.6,98.0,121.0
BKO_E1_D1_01_Suku_T,124.51,117.8,121.0,125.0,120.0,122.0
BKO_E3_D5_13_Suku_T,120.05,125.6,120.6,138.8,118.0,127.0
BKO_E1_D1_02_Maraka_T,102.87,113.0,104.4,136.0,100.0,114.0
BKO_E2_D3_05_Sandia_T,94.28,103.6,94.6,141.6,94.0,95.0
BKO_E2_D3_14_Maraka_T,111.02,115.8,117.6,139.4,111.0,113.0
BKO_E3_D6_03_Wasulunka_T,110.77,114.0,125.0,118.6,108.0,117.0
BKO_E2_D4_04_Dansa_T,97.34,121.6,121.8,121.6,122.0,122.0
BKO_E3_D6_01_Maraka_T,115.33,115.0,115.6,143.2,114.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,117.6,111.2,138.6,111.0,112.0
BKO_E2_D4_12_Suku_T,123.38,119.8,124.4,104.0,124.0,123.0
BKO_E2_D3_02_Suku_T,124.38,119.2,122.0,123.8,118.0,119.0
BKO_E1_D2_05_Wasulunka_T,129.41,108.6,106.4,124.0,98.0,101.0
BKO_E1_D1_04_Dansa_T,105.12,104.8,104.6,122.0,104.0,105.0
BKO_E1_D2_03_Suku_T,120.78,120.6,130.0,120.8,116.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,120.8,119.4,137.8,118.0,122.0
BKO_E1_D1_06_Manjanin_T,137.2,132.6,133.0,134.2,115.0,137.0
BKO_E3_D6_04_Sandia_T,106.26,102.2,94.8,134.4,88.0,104.0
BKO_E2_D3_01_Maraka_T,116.47,116.8,117.4,116.4,115.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,122.4,129.0,139.2,137.0,130.0
BKO_E3_D5_05_Sandia_T,102.12,123.0,113.4,130.8,123.0,123.0
BKO_E1_D1_03_Wasulunka_T,99.58,113.2,104.4,136.4,115.0,115.0
BKO_E1_D1_05_Sandia_T,98.42,110.8,106.6,132.6,102.0,115.0
BKO_E1_D2_07_Sandia_T,114.21,116.0,117.2,140.0,144.0,135.0
BKO_E2_D3_03_Wasulunka_T,107.01,108.2,106.8,123.6,106.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,118.2,114.0,114.6,112.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,126.4,123.2,110.2,106.0,118.0
BKO_E3_D5_02_Suku_T,127.11,136.0,137.6,126.4,138.0,138.0
BKO_E3_D6_12_Suku_T,141.7,112.0,125.8,139.0,134.0,128.0
