piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,121.4,110.2,92.2,100.0,107.0
BKO_E2_D4_05_Sandia_T,129.53,114.2,97.6,76.4,113.0,94.0
BKO_E2_D4_01_Suku_T,187.76,88.5,105.67,122.5,91.0,98.5
BKO_E2_D4_03_Wasulunka_T,131.02,127.6,118.4,70.0,70.0,108.0
BKO_E1_D2_04_Maraka_T,141.98,96.8,110.8,119.0,95.0,108.0
BKO_E3_D5_01_Maraka_T,166.88,105.2,128.0,80.2,70.0,115.0
BKO_E3_D6_02_Suku_T,194.03,70.0,101.6,101.4,70.0,98.0
BKO_E2_D4_06_Manjanin_T,163.74,121.4,122.0,102.6,129.0,126.0
BKO_E1_D1_01_Suku_T,155.02,128.0,107.2,70.0,70.0,100.0
BKO_E3_D5_13_Suku_T,159.42,108.4,84.4,70.0,70.0,92.0
BKO_E1_D1_02_Maraka_T,136.3,125.6,119.8,92.0,70.0,120.0
BKO_E2_D3_05_Sandia_T,127.22,116.6,133.8,81.4,70.0,117.0
BKO_E2_D3_14_Maraka_T,166.7,98.0,91.4,91.8,70.0,97.0
BKO_E3_D6_03_Wasulunka_T,150.83,131.6,114.6,80.2,118.0,114.0
BKO_E3_D5_04_Dansa_T,136.41,107.6,98.4,94.8,101.0,101.0
BKO_E2_D4_04_Dansa_T,144.98,108.6,129.6,143.0,144.0,141.0
BKO_E3_D6_01_Maraka_T,148.5,111.0,118.6,110.0,83.0,117.0
BKO_E1_D2_06_Dansa_T,123.73,123.2,120.2,70.0,70.0,114.0
BKO_E2_D4_02_Maraka_T,182.09,125.67,134.17,70.0,70.0,128.5
BKO_E2_D4_12_Suku_T,193.89,117.5,70.0,107.0,70.0,86.5
BKO_E2_D3_02_Suku_T,210.49,118.6,110.2,106.4,106.0,107.0
BKO_E1_D2_05_Wasulunka_T,130.2,112.8,126.0,70.0,70.0,101.0
BKO_E1_D1_04_Dansa_T,113.16,87.0,114.2,104.6,87.0,110.0
BKO_E1_D2_03_Suku_T,145.62,105.6,112.4,137.0,99.0,118.0
BKO_E2_D3_06_Manjanin_T,178.67,99.8,125.4,70.0,70.0,77.0
BKO_E1_D1_06_Manjanin_T,149.36,127.0,117.8,95.0,118.0,118.0
BKO_E3_D6_04_Sandia_T,135.73,108.4,84.2,80.8,70.0,88.0
BKO_E2_D3_01_Maraka_T,165.22,70.0,110.5,93.67,70.0,82.0
BKO_E3_D6_06_Manjanin_T,213.16,92.8,85.0,106.6,80.0,83.0
BKO_E3_D5_05_Sandia_T,133.46,113.8,101.8,70.0,70.0,93.0
BKO_E1_D1_03_Wasulunka_T,121.57,97.8,93.4,114.8,114.0,96.0
BKO_E1_D1_05_Sandia_T,119.93,105.2,110.8,70.0,70.0,102.0
BKO_E1_D2_07_Sandia_T,127.36,120.4,112.6,73.6,76.0,112.0
BKO_E2_D3_03_Wasulunka_T,171.0,111.0,103.8,129.8,126.0,126.0
BKO_E3_D5_06_Manjanin_T,146.97,111.0,112.4,75.4,74.0,110.0
BKO_E3_D6_10_Dansa_T,124.28,112.0,99.0,106.2,75.0,113.0
BKO_E3_D5_02_Suku_T,163.02,70.0,82.4,70.0,70.0,70.0
BKO_E3_D6_12_Suku_T,196.24,84.4,120.4,70.0,70.0,88.0
