piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,136.6,123.4,137.4,134.0,137.0
BKO_E2_D4_05_Sandia_T,129.53,113.8,131.2,136.0,113.0,128.0
BKO_E2_D4_01_Suku_T,187.76,89.17,128.83,121.83,144.0,105.5
BKO_E2_D4_03_Wasulunka_T,131.02,127.6,132.2,133.8,144.0,129.0
BKO_E1_D2_04_Maraka_T,141.98,100.2,110.8,124.8,107.0,108.0
BKO_E3_D5_01_Maraka_T,166.88,105.2,137.6,128.6,115.0,127.0
BKO_E3_D6_02_Suku_T,194.03,128.4,101.6,122.2,124.0,112.0
BKO_E2_D4_06_Manjanin_T,163.74,121.4,137.0,116.6,144.0,129.0
BKO_E1_D1_01_Suku_T,155.02,128.0,138.6,118.8,144.0,129.0
BKO_E3_D5_13_Suku_T,159.42,141.8,100.8,107.2,91.0,115.0
BKO_E1_D1_02_Maraka_T,136.3,118.0,119.8,124.8,115.0,120.0
BKO_E2_D3_05_Sandia_T,127.22,118.6,133.8,131.8,144.0,127.0
BKO_E2_D3_14_Maraka_T,166.7,130.6,104.0,132.0,102.0,128.0
BKO_E3_D6_03_Wasulunka_T,150.83,133.2,122.2,124.2,130.0,130.0
BKO_E3_D5_04_Dansa_T,136.41,112.8,110.0,120.8,90.0,109.0
BKO_E2_D4_04_Dansa_T,144.98,144.0,118.6,108.4,144.0,113.0
BKO_E3_D6_01_Maraka_T,148.5,124.6,111.0,117.6,144.0,120.0
BKO_E1_D2_06_Dansa_T,123.73,123.2,120.2,125.8,118.0,122.0
BKO_E2_D4_02_Maraka_T,182.09,133.0,130.67,119.5,144.0,131.0
BKO_E2_D4_12_Suku_T,193.89,117.5,110.67,118.33,144.0,109.0
BKO_E2_D3_02_Suku_T,210.49,120.0,105.0,106.4,105.0,107.0
BKO_E1_D2_05_Wasulunka_T,130.2,130.2,126.0,126.6,132.0,127.0
BKO_E1_D1_04_Dansa_T,113.16,139.6,112.0,114.0,110.0,115.0
BKO_E1_D2_03_Suku_T,145.62,133.2,133.8,137.0,135.0,135.0
BKO_E2_D3_06_Manjanin_T,178.67,132.6,119.4,121.4,107.0,123.0
BKO_E1_D1_06_Manjanin_T,149.36,127.0,129.4,114.0,130.0,127.0
BKO_E3_D6_04_Sandia_T,135.73,133.0,127.6,129.8,144.0,133.0
BKO_E2_D3_01_Maraka_T,165.22,128.0,113.67,125.5,124.0,125.0
BKO_E3_D6_06_Manjanin_T,213.16,120.8,84.4,131.6,80.0,122.0
BKO_E3_D5_05_Sandia_T,133.46,129.6,136.0,132.4,134.0,136.0
BKO_E1_D1_03_Wasulunka_T,121.57,97.8,137.0,116.4,142.0,119.0
BKO_E1_D1_05_Sandia_T,119.93,120.0,117.6,122.2,107.0,122.0
BKO_E1_D2_07_Sandia_T,127.36,118.0,129.0,126.4,127.0,127.0
BKO_E2_D3_03_Wasulunka_T,171.0,118.0,106.6,119.8,90.0,120.0
BKO_E3_D5_06_Manjanin_T,146.97,112.2,115.6,98.0,111.0,113.0
BKO_E3_D6_10_Dansa_T,124.28,118.4,104.8,124.4,129.0,116.0
BKO_E3_D5_02_Suku_T,163.02,111.8,114.0,134.0,138.0,117.0
BKO_E3_D6_12_Suku_T,196.24,132.2,122.0,112.6,114.0,128.0
