,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,52.77777777777778,52.77777777777778,52.77777777777778,"[3, 4, 7, 9, 11, 12, 13, 15, 16, 17, 18, 20, 21, 24, 25, 27, 30, 32, 34]",[],[]
1,zero_uni,Y,55.55555555555556,55.55555555555556,55.55555555555556,"[1, 2, 3, 5, 6, 7, 10, 12, 13, 15, 16, 18, 20, 21, 24, 25, 28, 29, 30, 34]",[],[]
2,zero_uni,Z,41.66666666666667,41.66666666666667,41.66666666666667,"[0, 2, 3, 4, 9, 12, 15, 16, 17, 18, 20, 21, 25, 30, 32]",[],[]
3,zero_uni,XYZ,52.77777777777778,52.77777777777778,52.77777777777778,"[2, 3, 4, 5, 6, 7, 9, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 30, 32]",[],[]
4,zero_uni,mode,50.0,52.77777777777778,52.77777777777778,"[2, 3, 7, 9, 12, 15, 16, 17, 18, 19, 20, 21, 24, 25, 29, 30, 34, 35]",[],[23]
5,zero_uni,median,58.333333333333336,58.333333333333336,58.333333333333336,"[2, 3, 4, 7, 9, 10, 12, 15, 16, 17, 18, 20, 21, 24, 25, 28, 29, 30, 32, 34, 35]",[],[]
6,zero_bi,X,72.22222222222221,72.22222222222221,72.22222222222221,"[2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 24, 25, 27, 28, 29, 30, 32, 34, 35]",[],[]
7,zero_bi,Y,63.888888888888886,63.888888888888886,63.888888888888886,"[0, 2, 3, 5, 6, 7, 9, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 30, 32, 34, 35]",[],[]
8,zero_bi,Z,36.11111111111111,36.11111111111111,36.11111111111111,"[2, 3, 8, 10, 12, 16, 17, 18, 22, 23, 24, 25, 28]",[],[]
9,zero_bi,XYZ,52.77777777777778,52.77777777777778,52.77777777777778,"[2, 3, 4, 5, 6, 7, 9, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 30, 32]",[],[]
10,zero_bi,mode,77.77777777777779,77.77777777777779,77.77777777777779,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 32, 34, 35]",[],[]
11,zero_bi,median,80.55555555555556,80.55555555555556,80.55555555555556,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 34, 35]",[],[]
