piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,130.0,140.8,114.8,117.0,136.0
BKO_E2_D4_05_Sandia_T,91.98,138.0,137.4,105.4,133.0,133.0
BKO_E2_D4_01_Suku_T,128.84,131.8,131.8,96.4,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,111.6,125.2,107.8,109.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,134.4,136.0,133.0,135.0,135.0
BKO_E3_D5_01_Maraka_T,113.68,127.4,138.4,128.6,136.0,136.0
BKO_E3_D6_02_Suku_T,136.13,141.0,140.8,118.6,139.0,139.0
BKO_E2_D4_06_Manjanin_T,129.54,134.0,135.6,137.0,142.0,137.0
BKO_E1_D1_01_Suku_T,124.51,117.0,129.6,124.4,92.0,124.0
BKO_E3_D5_13_Suku_T,120.05,130.0,135.2,95.2,120.0,120.0
BKO_E1_D1_02_Maraka_T,102.87,132.8,135.8,139.0,144.0,136.0
BKO_E2_D3_05_Sandia_T,94.28,141.6,139.8,94.6,141.0,139.0
BKO_E2_D3_14_Maraka_T,111.02,137.8,139.2,139.2,137.0,139.0
BKO_E3_D6_03_Wasulunka_T,110.77,134.6,133.6,107.0,139.0,126.0
BKO_E2_D4_04_Dansa_T,97.34,143.0,139.6,112.8,143.0,139.0
BKO_E3_D6_01_Maraka_T,115.33,118.0,124.6,128.8,117.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,136.2,132.0,138.6,143.0,140.0
BKO_E2_D4_12_Suku_T,123.38,127.8,131.8,92.6,124.0,124.0
BKO_E2_D3_02_Suku_T,124.38,126.6,123.6,101.2,120.0,123.0
BKO_E1_D2_05_Wasulunka_T,129.41,134.2,122.8,128.4,126.0,130.0
BKO_E1_D1_04_Dansa_T,105.12,123.6,131.2,113.0,140.0,127.0
BKO_E1_D2_03_Suku_T,120.78,116.4,134.6,121.4,117.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,133.6,139.0,136.4,144.0,136.0
BKO_E1_D1_06_Manjanin_T,137.2,138.8,136.2,136.2,137.0,138.0
BKO_E3_D6_04_Sandia_T,106.26,131.2,133.0,101.0,111.0,122.0
BKO_E2_D3_01_Maraka_T,116.47,140.6,142.0,132.6,144.0,142.0
BKO_E3_D6_06_Manjanin_T,156.66,81.4,135.6,103.4,78.0,100.0
BKO_E3_D5_05_Sandia_T,102.12,134.0,138.0,130.8,133.0,137.0
BKO_E1_D1_03_Wasulunka_T,99.58,113.8,139.8,105.4,99.0,134.0
BKO_E1_D1_05_Sandia_T,98.42,106.6,122.2,98.8,89.0,104.0
BKO_E1_D2_07_Sandia_T,114.21,143.2,143.4,143.2,144.0,144.0
BKO_E2_D3_03_Wasulunka_T,107.01,130.0,119.4,106.8,106.0,123.0
BKO_E3_D5_06_Manjanin_T,114.75,115.2,130.4,138.8,143.0,129.0
BKO_E3_D6_10_Dansa_T,105.15,139.4,113.6,135.4,144.0,132.0
BKO_E3_D5_02_Suku_T,127.11,139.0,138.6,134.2,138.0,138.0
BKO_E3_D6_12_Suku_T,141.7,143.8,133.6,137.2,144.0,140.0
