piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,0.0,86.59,84.39
BKO_E2_D4_05_Sandia_T,91.98,0.0,121.32,117.32
BKO_E2_D4_01_Suku_T,128.84,0.0,71.24,80.14
BKO_E2_D4_03_Wasulunka_T,108.26,0.0,54.49,51.61
BKO_E1_D2_04_Maraka_T,101.71,0.0,117.0,104.92
BKO_E3_D5_01_Maraka_T,113.68,0.0,34.4,43.52
BKO_E3_D6_02_Suku_T,136.13,0.0,116.27,119.87
BKO_E2_D4_06_Manjanin_T,129.54,0.0,127.2,132.46
BKO_E1_D1_01_Suku_T,124.51,0.0,117.91,120.71
BKO_E3_D5_13_Suku_T,120.05,0.0,110.7,101.92
BKO_E1_D1_02_Maraka_T,102.87,0.0,105.31,92.41
BKO_E2_D3_05_Sandia_T,94.28,0.0,132.21,142.32
BKO_E2_D3_14_Maraka_T,111.02,0.0,132.17,132.54
BKO_E3_D6_03_Wasulunka_T,110.77,0.0,128.53,121.54
BKO_E2_D4_04_Dansa_T,97.34,0.0,38.97,36.54
BKO_E3_D6_01_Maraka_T,115.33,0.0,100.53,111.57
BKO_E2_D4_02_Maraka_T,111.05,0.0,129.72,128.7
BKO_E2_D4_12_Suku_T,123.38,0.0,33.44,42.51
BKO_E2_D3_02_Suku_T,124.38,0.0,67.08,53.95
BKO_E1_D2_05_Wasulunka_T,129.41,0.0,75.03,87.39
BKO_E1_D1_04_Dansa_T,105.12,0.0,98.8,98.37
BKO_E1_D2_03_Suku_T,120.78,0.0,56.58,53.38
BKO_E2_D3_06_Manjanin_T,120.08,0.0,63.96,67.56
BKO_E1_D1_06_Manjanin_T,137.2,0.0,109.91,96.91
BKO_E3_D6_04_Sandia_T,106.26,0.0,75.93,70.52
BKO_E2_D3_01_Maraka_T,116.47,0.0,89.79,94.18
BKO_E3_D6_06_Manjanin_T,156.66,0.0,119.4,110.27
BKO_E3_D5_05_Sandia_T,102.12,0.0,61.77,70.52
BKO_E1_D1_03_Wasulunka_T,99.58,0.0,104.51,88.21
BKO_E1_D1_05_Sandia_T,98.42,0.0,102.77,117.65
BKO_E1_D2_07_Sandia_T,114.21,0.0,81.15,74.47
BKO_E2_D3_03_Wasulunka_T,107.01,0.0,99.23,106.01
BKO_E3_D5_06_Manjanin_T,114.75,0.0,93.33,110.05
BKO_E3_D6_10_Dansa_T,105.15,0.0,72.68,90.38
BKO_E3_D5_02_Suku_T,127.11,0.0,88.14,81.97
BKO_E3_D6_12_Suku_T,141.7,0.0,53.47,43.69
