piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,64.16,128.31,118.61
BKO_E2_D4_05_Sandia_T,91.98,65.58,131.17,128.27
BKO_E2_D4_01_Suku_T,128.84,49.52,99.03,82.56
BKO_E2_D4_03_Wasulunka_T,108.26,38.1,76.21,75.97
BKO_E1_D2_04_Maraka_T,101.71,49.76,99.52,66.14
BKO_E3_D5_01_Maraka_T,113.68,59.51,120.13,120.13
BKO_E3_D6_02_Suku_T,136.13,60.73,122.14,100.17
BKO_E2_D4_06_Manjanin_T,129.54,67.7,135.39,103.8
BKO_E1_D1_01_Suku_T,124.51,64.64,129.27,129.27
BKO_E3_D5_13_Suku_T,120.05,63.87,127.74,112.69
BKO_E1_D1_02_Maraka_T,102.87,55.87,111.75,108.89
BKO_E2_D3_05_Sandia_T,94.28,70.09,140.18,140.26
BKO_E2_D3_14_Maraka_T,111.02,56.93,113.86,107.64
BKO_E3_D6_03_Wasulunka_T,110.77,64.72,131.41,117.9
BKO_E2_D4_04_Dansa_T,97.34,56.05,121.86,66.53
BKO_E3_D6_01_Maraka_T,115.33,57.72,115.44,111.26
BKO_E2_D4_02_Maraka_T,111.05,49.88,99.77,94.18
BKO_E2_D4_12_Suku_T,123.38,50.42,104.61,99.74
BKO_E2_D3_02_Suku_T,124.38,53.28,106.56,87.03
BKO_E1_D2_05_Wasulunka_T,129.41,54.81,109.62,108.61
BKO_E1_D1_04_Dansa_T,105.12,59.55,119.1,117.66
BKO_E1_D2_03_Suku_T,120.78,60.11,120.21,118.52
BKO_E2_D3_06_Manjanin_T,120.08,46.88,95.6,95.6
BKO_E1_D1_06_Manjanin_T,137.2,44.12,88.24,88.24
BKO_E3_D6_04_Sandia_T,106.26,70.65,142.18,123.46
BKO_E2_D3_01_Maraka_T,116.47,65.7,133.85,112.14
BKO_E3_D6_06_Manjanin_T,156.66,59.4,118.79,94.18
BKO_E3_D5_05_Sandia_T,102.12,59.11,118.22,85.91
BKO_E1_D1_03_Wasulunka_T,99.58,70.47,140.94,107.81
BKO_E1_D1_05_Sandia_T,98.42,65.23,132.32,121.86
BKO_E1_D2_07_Sandia_T,114.21,69.51,139.02,137.6
BKO_E2_D3_03_Wasulunka_T,107.01,66.83,133.66,117.84
BKO_E3_D5_06_Manjanin_T,114.75,61.13,122.26,103.8
BKO_E3_D6_10_Dansa_T,105.15,59.11,118.21,118.21
BKO_E3_D5_02_Suku_T,127.11,58.83,119.37,118.96
BKO_E3_D6_12_Suku_T,141.7,59.33,118.66,89.89
