,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,55.55555555555556,61.111111111111114,61.111111111111114,"[3, 4, 5, 11, 12, 13, 15, 16, 18, 20, 21, 22, 24, 25, 28, 29, 30, 31, 32, 33]",[],"[23, 26]"
1,zero_uni,Y,41.66666666666667,41.66666666666667,41.66666666666667,"[0, 3, 4, 10, 15, 16, 18, 19, 20, 22, 23, 24, 28, 31, 32]",[],[]
2,zero_uni,Z,47.22222222222222,47.22222222222222,47.22222222222222,"[0, 2, 3, 4, 5, 8, 10, 12, 20, 24, 25, 27, 29, 30, 31, 32, 33]",[],[]
3,zero_uni,XYZ,55.55555555555556,55.55555555555556,55.55555555555556,"[1, 2, 3, 4, 10, 12, 13, 14, 16, 18, 20, 24, 25, 27, 28, 29, 30, 31, 32, 33]",[],[]
4,zero_uni,mode,36.11111111111111,52.77777777777778,52.77777777777778,"[2, 3, 4, 10, 13, 16, 17, 20, 25, 27, 29, 31, 32]",[],"[6, 19, 23, 26, 34, 35]"
5,zero_uni,median,69.44444444444444,72.22222222222221,72.22222222222221,"[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32]",[],[26]
6,zero_bi,X,58.333333333333336,58.333333333333336,58.333333333333336,"[0, 1, 2, 3, 4, 6, 9, 11, 13, 15, 16, 17, 18, 20, 21, 22, 25, 30, 31, 32, 34]",[],[]
7,zero_bi,Y,66.66666666666666,66.66666666666666,66.66666666666666,"[0, 1, 2, 3, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 29, 31, 32, 34]",[],[]
8,zero_bi,Z,33.33333333333333,33.33333333333333,33.33333333333333,"[0, 4, 5, 8, 17, 19, 21, 22, 23, 25, 32, 34]",[],[]
9,zero_bi,XYZ,55.55555555555556,55.55555555555556,55.55555555555556,"[1, 2, 3, 4, 10, 12, 13, 14, 16, 18, 20, 24, 25, 27, 28, 29, 30, 31, 32, 33]",[],[]
10,zero_bi,mode,61.111111111111114,61.111111111111114,61.111111111111114,"[0, 1, 2, 3, 4, 6, 10, 11, 13, 16, 17, 18, 20, 21, 22, 23, 25, 28, 29, 31, 32, 33]",[],[]
11,zero_bi,median,72.22222222222221,72.22222222222221,72.22222222222221,"[0, 1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32]",[],[]
