piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E1_D1_08_Suku_T,162.96,129.4,133.8,60.0,129.4,133.8,0.0,60.0,126.0,127.0,127.0,127.0,127.0,127.0,127.0
BKO_E3_D5_03_Wasulunka_T,245.03,143.6,128.8,60.0,143.6,128.8,0.0,60.0,102.0,179.0,179.0,179.0,132.0,132.0,132.0
BKO_E2_D4_05_Sandia_T,111.86,156.2,129.2,142.2,156.2,129.2,142.2,146.0,146.0,108.0,108.0,108.0,172.0,172.0,172.0
BKO_E2_D4_01_Suku_T,164.27,83.67,82.33,155.17,83.67,72.33,155.17,93.0,92.0,61.0,61.0,61.0,87.5,87.5,87.5
BKO_E2_D4_03_Wasulunka_T,187.46,113.6,151.6,92.4,113.6,151.6,80.4,98.0,101.0,99.0,99.0,99.0,101.0,101.0,101.0
BKO_E1_D2_04_Maraka_T,171.64,132.0,149.8,171.0,132.0,149.8,171.0,178.0,166.0,178.0,178.0,178.0,103.0,103.0,103.0
BKO_E3_D5_01_Maraka_T,218.67,142.8,117.6,111.0,142.8,117.6,111.0,109.0,110.0,165.0,165.0,165.0,165.0,165.0,165.0
BKO_E3_D6_02_Suku_T,224.47,174.4,159.8,60.0,174.4,159.8,0.0,60.0,173.0,174.0,174.0,174.0,174.0,174.0,174.0
BKO_E2_D4_06_Manjanin_T,187.78,92.8,112.6,60.0,92.8,112.6,0.0,60.0,89.0,81.0,81.0,81.0,95.0,95.0,95.0
BKO_E1_D1_01_Suku_T,196.67,104.2,102.2,126.2,104.2,102.2,126.2,103.0,104.0,103.0,103.0,103.0,104.0,104.0,104.0
BKO_E3_D5_13_Suku_T,206.98,115.8,120.6,60.0,115.8,120.6,0.0,60.0,104.0,103.0,103.0,103.0,113.0,113.0,113.0
BKO_E1_D5_05_Sandia_T,152.44,99.6,165.0,60.0,99.6,165.0,0.0,60.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BKO_E1_D1_02_Maraka_T,167.66,172.2,109.2,154.0,172.2,85.2,154.0,142.0,164.0,179.0,179.0,179.0,172.0,172.0,172.0
BKO_E2_D3_05_Sandia_T,112.81,126.8,81.0,134.2,126.8,81.0,134.2,120.0,94.0,173.0,173.0,173.0,108.0,108.0,108.0
BKO_E2_D3_14_Maraka_T,137.06,133.6,152.6,60.0,133.6,152.6,0.0,60.0,108.0,98.0,98.0,98.0,108.0,108.0,108.0
BKO_E3_D6_03_Wasulunka_T,235.32,131.2,152.8,60.0,131.2,152.8,0.0,60.0,96.0,95.0,95.0,95.0,115.0,115.0,115.0
BKO_E1_D5_01_Maraka_T,158.72,144.8,100.6,157.4,144.8,100.6,157.4,79.0,132.0,105.0,105.0,105.0,165.0,165.0,165.0
BKO_E3_D5_04_Dansa_T,170.65,138.4,88.6,162.6,138.4,88.6,162.6,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
BKO_E2_D4_04_Dansa_T,125.36,150.8,102.8,157.2,150.8,102.8,157.2,127.0,127.0,177.0,177.0,177.0,173.0,173.0,173.0
BKO_E3_D6_01_Maraka_T,190.96,154.8,147.2,107.4,154.8,147.2,107.4,110.0,127.0,99.0,99.0,99.0,170.0,170.0,170.0
BKO_E1_D2_06_Dansa_T,140.57,140.0,117.8,134.0,140.0,117.8,134.0,107.0,108.0,88.0,88.0,88.0,155.0,155.0,155.0
BKO_E2_D4_02_Maraka_T,146.25,122.2,78.4,78.2,122.2,78.4,54.2,91.0,91.0,95.0,95.0,95.0,113.0,113.0,113.0
BKO_E2_D4_12_Suku_T,157.16,119.0,161.0,111.4,119.0,161.0,111.4,179.0,110.0,75.0,75.0,75.0,91.0,91.0,91.0
BKO_E1_D1_07_Suku_T,148.65,126.2,128.6,60.0,126.2,128.6,0.0,60.0,115.0,110.0,110.0,110.0,117.0,117.0,117.0
BKO_E1_D5_02_Dansa_T,161.91,151.8,169.6,60.0,151.8,169.6,0.0,60.0,162.0,113.0,113.0,113.0,177.0,177.0,177.0
BKO_E2_D3_02_Suku_T,180.15,129.4,60.0,156.0,129.4,0.0,156.0,60.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E1_D2_05_Wasulunka_T,167.54,87.8,161.4,171.0,87.8,161.4,171.0,86.0,164.0,86.0,86.0,86.0,86.0,86.0,86.0
BKO_E1_D1_04_Dansa_T,115.19,141.83,146.5,136.67,141.83,146.5,136.67,116.0,135.5,104.0,104.0,104.0,135.5,135.5,135.5
BKO_E1_D2_03_Suku_T,164.16,170.4,158.0,164.2,170.4,158.0,164.2,170.0,168.0,170.0,170.0,170.0,170.0,170.0,170.0
BKO_E2_D3_06_Manjanin_T,217.96,116.2,111.6,60.0,116.2,111.6,0.0,60.0,106.0,129.0,129.0,129.0,129.0,129.0,129.0
BKO_E1_D1_06_Manjanin_T,189.06,103.6,111.4,60.0,103.6,111.4,0.0,60.0,96.0,93.0,93.0,93.0,96.0,96.0,96.0
BKO_E2_D3_13_Suku_T,185.46,94.8,110.0,60.0,94.8,110.0,0.0,60.0,91.0,71.0,71.0,71.0,99.0,99.0,99.0
BKO_E2_D3_11_Suku_T,195.16,85.8,101.6,60.0,85.8,101.6,0.0,60.0,84.0,87.0,87.0,87.0,87.0,87.0,87.0
BKO_E3_D6_04_Sandia_T,158.0,125.2,96.0,60.0,125.2,96.0,0.0,60.0,95.0,122.0,122.0,122.0,122.0,122.0,122.0
BKO_E2_D3_01_Maraka_T,150.59,136.0,60.0,60.0,136.0,0.0,0.0,60.0,60.0,118.0,118.0,118.0,127.0,127.0,127.0
BKO_E3_D6_06_Manjanin_T,193.51,114.2,94.0,60.0,114.2,94.0,0.0,60.0,93.0,102.0,102.0,102.0,102.0,102.0,102.0
BKO_E3_D5_05_Sandia_T,156.29,141.0,100.6,60.0,141.0,100.6,0.0,60.0,110.0,155.0,155.0,155.0,155.0,155.0,155.0
BKO_E1_D1_03_Wasulunka_T,177.72,124.0,173.6,99.4,124.0,173.6,99.4,89.0,111.0,89.0,89.0,89.0,89.0,89.0,89.0
BKO_E1_D1_05_Sandia_T,139.22,129.6,124.4,106.6,129.6,124.4,106.6,102.0,118.0,93.0,93.0,93.0,118.0,118.0,118.0
BKO_E1_D2_07_Sandia_T,139.5,139.0,116.0,124.8,139.0,116.0,112.8,141.0,138.0,74.0,74.0,74.0,172.0,172.0,172.0
BKO_E2_D3_03_Wasulunka_T,135.46,76.0,139.2,140.8,64.0,139.2,140.8,60.0,121.0,60.0,60.0,60.0,60.0,60.0,60.0
BKO_E1_D5_04_Suku_T,195.26,132.8,89.0,60.0,132.8,89.0,0.0,60.0,85.0,172.0,172.0,172.0,111.0,111.0,111.0
BKO_E3_D5_06_Manjanin_T,175.1,141.2,130.2,60.0,141.2,130.2,0.0,60.0,98.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E3_D5_02_Suku_T,246.65,155.2,151.8,172.0,143.2,151.8,172.0,179.0,175.0,179.0,179.0,179.0,179.0,179.0,179.0
BKO_E3_D6_12_Suku_T,233.69,102.0,94.8,60.0,102.0,94.8,0.0,60.0,92.0,95.0,95.0,95.0,99.0,99.0,99.0
