piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,163.4,133.0,128.8,163.4,133.0,128.8,104.0,159.0,160.0,160.0,160.0,160.0,160.0,160.0
BKO_E2_D4_05_Sandia_T,129.53,127.2,60.0,60.0,127.2,0.0,0.0,60.0,60.0,113.0,113.0,113.0,114.0,114.0,114.0
BKO_E2_D4_01_Suku_T,187.76,123.67,126.83,174.67,123.67,116.83,174.67,95.0,162.0,95.0,95.0,95.0,122.5,122.5,122.5
BKO_E2_D4_03_Wasulunka_T,131.02,142.4,114.8,61.6,142.4,114.8,37.6,60.0,107.0,123.0,123.0,123.0,123.0,123.0,123.0
BKO_E1_D2_04_Maraka_T,141.98,96.6,117.0,66.4,96.6,117.0,54.4,68.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D5_01_Maraka_T,166.88,151.8,143.6,136.8,151.8,143.6,136.8,175.0,163.0,175.0,175.0,175.0,175.0,175.0,175.0
BKO_E3_D6_02_Suku_T,194.03,60.0,98.6,65.0,0.0,98.6,41.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0
BKO_E2_D4_06_Manjanin_T,163.74,94.0,123.0,163.6,94.0,123.0,163.6,109.0,111.0,109.0,109.0,109.0,86.0,86.0,86.0
BKO_E1_D1_01_Suku_T,155.02,169.4,142.4,60.0,169.4,142.4,0.0,60.0,168.0,168.0,168.0,168.0,169.0,169.0,169.0
BKO_E3_D5_13_Suku_T,159.42,96.4,80.4,76.2,96.4,56.4,52.2,94.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0
BKO_E1_D1_02_Maraka_T,136.3,131.6,96.2,125.4,131.6,96.2,101.4,169.0,105.0,148.0,148.0,148.0,148.0,148.0,148.0
BKO_E2_D3_05_Sandia_T,127.22,124.6,144.4,67.2,124.6,144.4,43.2,60.0,103.0,103.0,103.0,103.0,108.0,108.0,108.0
BKO_E2_D3_14_Maraka_T,166.7,91.2,60.0,90.0,79.2,0.0,78.0,60.0,94.0,101.0,101.0,101.0,100.0,100.0,100.0
BKO_E3_D6_03_Wasulunka_T,150.83,153.6,73.2,60.0,153.6,73.2,0.0,60.0,76.0,116.0,116.0,116.0,150.0,150.0,150.0
BKO_E3_D5_04_Dansa_T,136.41,107.6,111.6,60.0,107.6,111.6,0.0,60.0,105.0,106.0,106.0,106.0,106.0,106.0,106.0
BKO_E2_D4_04_Dansa_T,144.98,80.0,110.4,151.8,80.0,110.4,151.8,73.0,109.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D6_01_Maraka_T,148.5,60.0,67.8,155.2,0.0,55.8,143.2,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
BKO_E1_D2_06_Dansa_T,123.73,99.4,128.6,60.0,99.4,128.6,0.0,60.0,90.0,90.0,90.0,90.0,96.0,96.0,96.0
BKO_E2_D4_02_Maraka_T,182.09,138.33,77.33,60.0,138.33,77.33,0.0,60.0,67.5,71.0,71.0,71.0,145.0,145.0,145.0
BKO_E2_D4_12_Suku_T,193.89,126.33,60.0,66.17,126.33,0.0,46.17,60.0,60.0,99.0,99.0,99.0,101.0,101.0,101.0
BKO_E2_D3_02_Suku_T,210.49,60.6,130.4,116.0,60.6,130.4,116.0,60.0,106.0,60.0,60.0,60.0,60.0,60.0,60.0
BKO_E1_D2_05_Wasulunka_T,130.2,122.8,109.0,60.0,122.8,109.0,0.0,60.0,101.0,99.0,99.0,99.0,114.0,114.0,114.0
BKO_E1_D1_04_Dansa_T,113.16,136.8,127.6,101.6,136.8,127.6,89.6,179.0,113.0,179.0,179.0,179.0,179.0,179.0,179.0
BKO_E1_D2_03_Suku_T,145.62,105.4,123.0,136.8,105.4,123.0,136.8,99.0,116.0,103.0,103.0,103.0,105.0,105.0,105.0
BKO_E2_D3_06_Manjanin_T,178.67,115.6,117.2,60.0,115.6,117.2,0.0,60.0,93.0,147.0,147.0,147.0,147.0,147.0,147.0
BKO_E1_D1_06_Manjanin_T,149.36,162.0,148.4,105.4,162.0,148.4,105.4,179.0,139.0,179.0,179.0,179.0,169.0,169.0,169.0
BKO_E3_D6_04_Sandia_T,135.73,63.8,129.0,64.0,39.8,105.0,40.0,60.0,64.0,60.0,60.0,60.0,64.0,64.0,64.0
BKO_E2_D3_01_Maraka_T,165.22,84.5,110.67,164.83,54.5,110.67,164.83,60.0,115.0,60.0,60.0,60.0,62.0,62.0,62.0
