piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,163.4,131.2,174.2,163.4,131.2,174.2,160.0,168.0,160.0,160.0,160.0,160.0,160.0,160.0
BKO_E2_D4_05_Sandia_T,129.53,120.8,145.2,152.6,120.8,145.2,152.6,179.0,131.0,114.0,114.0,114.0,114.0,114.0,114.0
BKO_E2_D4_01_Suku_T,187.76,123.67,120.83,124.67,123.67,120.83,124.67,95.0,125.0,95.0,95.0,95.0,122.5,122.5,122.5
BKO_E2_D4_03_Wasulunka_T,131.02,145.8,149.6,173.4,145.8,149.6,173.4,163.0,163.0,123.0,123.0,123.0,131.0,131.0,131.0
BKO_E1_D2_04_Maraka_T,141.98,125.2,117.0,169.6,125.2,117.0,169.6,95.0,165.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D5_01_Maraka_T,166.88,151.8,160.0,158.4,151.8,160.0,158.4,175.0,174.0,175.0,175.0,175.0,175.0,175.0,175.0
BKO_E3_D6_02_Suku_T,194.03,103.0,98.6,169.2,103.0,98.6,169.2,99.0,104.0,99.0,99.0,99.0,102.0,102.0,102.0
BKO_E2_D4_06_Manjanin_T,163.74,153.8,158.8,163.6,153.8,158.8,163.6,172.0,158.0,111.0,111.0,111.0,158.0,158.0,158.0
BKO_E1_D1_01_Suku_T,155.02,169.4,165.2,171.8,169.4,165.2,171.8,171.0,171.0,168.0,168.0,168.0,169.0,169.0,169.0
BKO_E3_D5_13_Suku_T,159.42,121.0,126.6,109.6,121.0,126.6,109.6,91.0,97.0,82.0,82.0,82.0,112.0,112.0,112.0
BKO_E1_D1_02_Maraka_T,136.3,131.6,96.2,143.8,131.6,96.2,143.8,91.0,110.0,148.0,148.0,148.0,148.0,148.0,148.0
BKO_E2_D3_05_Sandia_T,127.22,142.2,144.4,174.0,142.2,144.4,174.0,179.0,170.0,113.0,113.0,113.0,156.0,156.0,156.0
BKO_E2_D3_14_Maraka_T,166.7,136.0,122.6,154.8,136.0,122.6,154.8,170.0,170.0,87.0,87.0,87.0,155.0,155.0,155.0
BKO_E3_D6_03_Wasulunka_T,150.83,153.2,145.8,130.6,153.2,145.8,130.6,179.0,153.0,149.0,149.0,149.0,154.0,154.0,154.0
BKO_E3_D5_04_Dansa_T,136.41,107.6,119.8,155.2,107.6,119.8,155.2,106.0,114.0,106.0,106.0,106.0,106.0,106.0,106.0
BKO_E2_D4_04_Dansa_T,144.98,145.0,117.4,166.0,145.0,117.4,166.0,146.0,145.0,144.0,144.0,144.0,145.0,145.0,145.0
BKO_E3_D6_01_Maraka_T,148.5,160.4,171.6,156.4,160.4,171.6,156.4,135.0,169.0,165.0,165.0,165.0,165.0,165.0,165.0
BKO_E1_D2_06_Dansa_T,123.73,99.4,134.2,174.6,99.4,134.2,174.6,90.0,125.0,90.0,90.0,90.0,96.0,96.0,96.0
BKO_E2_D4_02_Maraka_T,182.09,138.0,137.83,173.33,138.0,137.83,173.33,179.0,161.5,71.0,71.0,71.0,144.5,144.5,144.5
BKO_E2_D4_12_Suku_T,193.89,126.33,115.67,132.67,126.33,115.67,132.67,101.0,101.0,99.0,99.0,99.0,101.0,101.0,101.0
BKO_E2_D3_02_Suku_T,210.49,106.2,123.2,141.4,106.2,123.2,141.4,103.0,110.0,103.0,103.0,103.0,105.0,105.0,105.0
BKO_E1_D2_05_Wasulunka_T,130.2,157.2,109.0,148.2,157.2,109.0,148.2,169.0,129.0,169.0,169.0,169.0,169.0,169.0,169.0
BKO_E1_D1_04_Dansa_T,113.16,148.8,127.0,125.8,148.8,127.0,125.8,111.0,115.0,177.0,177.0,177.0,177.0,177.0,177.0
BKO_E1_D2_03_Suku_T,145.62,138.0,131.4,136.8,138.0,131.4,136.8,103.0,136.0,103.0,103.0,103.0,158.0,158.0,158.0
BKO_E2_D3_06_Manjanin_T,178.67,166.2,151.0,168.4,166.2,151.0,168.4,171.0,169.0,172.0,172.0,172.0,171.0,171.0,171.0
BKO_E1_D1_06_Manjanin_T,149.36,162.0,148.4,164.2,162.0,148.4,164.2,179.0,170.0,179.0,179.0,179.0,169.0,169.0,169.0
