piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,35.67,71.34
BKO_E2_D4_05_Sandia_T,91.98,35.1,70.19
BKO_E2_D4_01_Suku_T,128.84,26.37,52.73
BKO_E2_D4_03_Wasulunka_T,108.26,27.25,54.49
BKO_E1_D2_04_Maraka_T,101.71,36.01,72.01
BKO_E3_D5_01_Maraka_T,113.68,48.44,96.88
BKO_E3_D6_02_Suku_T,136.13,28.5,57.01
BKO_E2_D4_06_Manjanin_T,129.54,34.13,68.25
BKO_E1_D1_01_Suku_T,124.51,31.01,62.01
BKO_E3_D5_13_Suku_T,120.05,34.5,69.0
BKO_E1_D1_02_Maraka_T,102.87,28.2,56.4
BKO_E2_D3_05_Sandia_T,94.28,35.99,71.98
BKO_E2_D3_14_Maraka_T,111.02,34.59,69.18
BKO_E3_D6_03_Wasulunka_T,110.77,36.23,72.46
BKO_E2_D4_04_Dansa_T,97.34,36.44,72.87
BKO_E3_D6_01_Maraka_T,115.33,40.6,81.19
BKO_E2_D4_02_Maraka_T,111.05,34.28,68.57
BKO_E2_D4_12_Suku_T,123.38,38.79,77.58
BKO_E2_D3_02_Suku_T,124.38,36.21,72.41
BKO_E1_D2_05_Wasulunka_T,129.41,51.03,102.07
BKO_E1_D1_04_Dansa_T,105.12,35.77,71.53
BKO_E1_D2_03_Suku_T,120.78,42.96,85.93
BKO_E2_D3_06_Manjanin_T,120.08,29.75,59.49
BKO_E1_D1_06_Manjanin_T,137.2,33.3,66.6
BKO_E3_D6_04_Sandia_T,106.26,34.73,69.47
BKO_E2_D3_01_Maraka_T,116.47,36.18,72.36
BKO_E3_D6_06_Manjanin_T,156.66,34.18,68.35
BKO_E3_D5_05_Sandia_T,102.12,32.98,65.96
BKO_E1_D1_03_Wasulunka_T,99.58,39.01,78.03
BKO_E1_D1_05_Sandia_T,98.42,37.82,75.63
BKO_E1_D2_07_Sandia_T,114.21,41.39,82.78
BKO_E2_D3_03_Wasulunka_T,107.01,35.44,70.89
BKO_E3_D5_06_Manjanin_T,114.75,34.93,69.86
BKO_E3_D6_10_Dansa_T,105.15,39.58,79.15
BKO_E3_D5_02_Suku_T,127.11,26.44,52.88
BKO_E3_D6_12_Suku_T,141.7,34.27,68.54
