,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,38.88888888888889,38.88888888888889,38.88888888888889,"[0, 3, 6, 8, 15, 16, 17, 18, 21, 22, 24, 30, 31, 32]",[],[]
1,zero_uni,Y,50.0,50.0,50.0,"[0, 2, 3, 8, 9, 10, 13, 15, 17, 18, 19, 20, 22, 24, 29, 31, 32, 34]",[],[]
2,zero_uni,Z,52.77777777777778,58.333333333333336,58.333333333333336,"[0, 3, 5, 8, 10, 14, 15, 16, 19, 20, 21, 25, 27, 28, 29, 31, 32, 33, 34]",[],"[26, 35]"
3,zero_uni,mode,47.22222222222222,52.77777777777778,52.77777777777778,"[0, 3, 4, 6, 8, 10, 15, 16, 20, 21, 22, 24, 25, 27, 29, 31, 32]",[],"[23, 35]"
4,zero_uni,median,69.44444444444444,69.44444444444444,69.44444444444444,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 29, 31, 32, 34]",[],[]
5,zero_bi,X,52.77777777777778,52.77777777777778,52.77777777777778,"[1, 2, 3, 6, 8, 9, 12, 15, 16, 17, 18, 19, 21, 22, 23, 25, 31, 32, 35]",[],[]
6,zero_bi,Y,61.111111111111114,61.111111111111114,61.111111111111114,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 22, 23, 24, 29, 31, 32, 34]",[],[]
7,zero_bi,Z,33.33333333333333,33.33333333333333,33.33333333333333,"[0, 5, 6, 8, 13, 19, 20, 21, 22, 23, 34, 35]",[],[]
8,zero_bi,mode,63.888888888888886,63.888888888888886,63.888888888888886,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 15, 16, 17, 18, 19, 21, 22, 23, 25, 31, 32, 33, 35]",[],[]
9,zero_bi,median,61.111111111111114,61.111111111111114,61.111111111111114,"[0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 15, 16, 17, 18, 19, 21, 22, 23, 25, 31, 32, 35]",[],[]
