piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,80.4,70.0,110.2,80.4,0.0,110.2,70.0,76.0,70.0,70.0,70.0,76.0,76.0,76.0
BKO_E2_D4_05_Sandia_T,129.53,100.0,106.8,120.6,100.0,106.8,120.6,81.0,117.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E2_D4_01_Suku_T,187.76,91.0,95.67,93.17,91.0,95.67,93.17,98.0,93.5,93.0,93.0,93.0,91.5,91.5,91.5
BKO_E2_D4_03_Wasulunka_T,131.02,77.4,75.6,118.0,63.4,61.6,118.0,70.0,81.0,70.0,70.0,70.0,72.0,72.0,72.0
BKO_E1_D2_04_Maraka_T,141.98,78.0,80.0,88.4,78.0,80.0,88.4,82.0,82.0,74.0,74.0,74.0,77.0,77.0,77.0
BKO_E3_D5_01_Maraka_T,166.88,106.2,97.4,90.0,106.2,97.4,90.0,134.0,90.0,88.0,88.0,88.0,88.0,88.0,88.0
BKO_E3_D6_02_Suku_T,194.03,93.8,90.6,96.8,93.8,90.6,96.8,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0
BKO_E2_D4_06_Manjanin_T,163.74,82.2,120.2,91.6,82.2,120.2,91.6,85.0,86.0,80.0,80.0,80.0,82.0,82.0,82.0
BKO_E1_D1_01_Suku_T,155.02,79.6,92.2,78.8,79.6,92.2,78.8,70.0,85.0,70.0,70.0,70.0,85.0,85.0,85.0
BKO_E3_D5_13_Suku_T,159.42,83.2,114.2,106.0,83.2,114.2,106.0,70.0,91.0,70.0,70.0,70.0,85.0,85.0,85.0
BKO_E1_D1_02_Maraka_T,136.3,92.6,88.6,94.4,92.6,88.6,94.4,72.0,92.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E2_D3_05_Sandia_T,127.22,97.8,113.0,104.2,97.8,113.0,104.2,70.0,99.0,71.0,71.0,71.0,89.0,89.0,89.0
BKO_E2_D3_14_Maraka_T,166.7,114.0,91.0,89.2,114.0,91.0,89.2,87.0,90.0,90.0,90.0,90.0,117.0,117.0,117.0
BKO_E3_D6_03_Wasulunka_T,150.83,99.8,96.2,110.4,99.8,96.2,110.4,112.0,109.0,112.0,112.0,112.0,110.0,110.0,110.0
BKO_E3_D5_04_Dansa_T,136.41,81.0,92.0,107.2,81.0,92.0,107.2,72.0,99.0,71.0,71.0,71.0,74.0,74.0,74.0
BKO_E2_D4_04_Dansa_T,144.98,72.6,74.4,75.2,72.6,74.4,75.2,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E3_D6_01_Maraka_T,148.5,90.0,74.8,86.2,90.0,74.8,86.2,78.0,78.0,73.0,73.0,73.0,78.0,78.0,78.0
BKO_E1_D2_06_Dansa_T,123.73,93.6,118.2,122.8,93.6,118.2,122.8,93.0,116.0,93.0,93.0,93.0,93.0,93.0,93.0
BKO_E2_D4_02_Maraka_T,182.09,95.67,98.83,91.0,95.67,98.83,91.0,93.0,93.0,91.0,91.0,91.0,95.0,95.0,95.0
BKO_E2_D4_12_Suku_T,193.89,71.33,107.33,96.67,48.0,107.33,96.67,70.0,97.5,70.0,70.0,70.0,70.0,70.0,70.0
BKO_E2_D3_02_Suku_T,210.49,105.0,113.4,105.2,105.0,113.4,105.2,107.0,107.0,107.0,107.0,107.0,105.0,105.0,105.0
BKO_E1_D2_05_Wasulunka_T,130.2,100.4,106.6,105.4,100.4,106.6,105.4,81.0,116.0,83.0,83.0,83.0,104.0,104.0,104.0
BKO_E1_D1_04_Dansa_T,113.16,112.8,114.0,112.0,112.8,114.0,112.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0
BKO_E1_D2_03_Suku_T,145.62,83.8,72.2,87.4,83.8,72.2,87.4,70.0,80.0,70.0,70.0,70.0,80.0,80.0,80.0
BKO_E2_D3_06_Manjanin_T,178.67,89.0,95.4,102.6,89.0,95.4,102.6,101.0,98.0,81.0,81.0,81.0,82.0,82.0,82.0
BKO_E1_D1_06_Manjanin_T,149.36,74.2,74.4,74.4,74.2,74.4,74.4,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
BKO_E3_D6_04_Sandia_T,135.73,79.0,97.6,84.8,79.0,97.6,84.8,72.0,76.0,70.0,70.0,70.0,75.0,75.0,75.0
BKO_E2_D3_01_Maraka_T,165.22,94.33,88.67,81.83,94.33,88.67,81.83,83.0,84.5,103.0,103.0,103.0,95.5,95.5,95.5
BKO_E3_D6_06_Manjanin_T,213.16,101.8,106.0,103.8,101.8,106.0,103.8,102.0,105.0,106.0,106.0,106.0,106.0,106.0,106.0
