piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,102.4,82.4,106.0,102.4,82.4,106.0,91.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0
BKO_E2_D4_05_Sandia_T,91.98,100.8,101.8,91.6,100.8,101.8,91.6,93.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E2_D4_01_Suku_T,128.84,93.6,106.2,96.8,93.6,106.2,96.8,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BKO_E2_D4_03_Wasulunka_T,108.26,115.0,119.4,107.2,115.0,119.4,107.2,105.0,109.0,111.0,111.0,111.0,111.0,111.0,111.0
BKO_E1_D2_04_Maraka_T,101.71,96.4,81.0,91.4,96.4,81.0,91.4,75.0,79.0,125.0,125.0,125.0,79.0,79.0,79.0
BKO_E3_D5_01_Maraka_T,113.68,104.6,80.8,112.8,104.6,80.8,112.8,83.0,89.0,83.0,83.0,83.0,83.0,83.0,83.0
BKO_E3_D6_02_Suku_T,136.13,112.6,99.8,101.0,112.6,99.8,101.0,99.0,99.0,135.0,135.0,135.0,135.0,135.0,135.0
BKO_E2_D4_06_Manjanin_T,129.54,76.2,118.6,82.2,76.2,118.6,82.2,80.0,81.0,72.0,72.0,72.0,77.0,77.0,77.0
BKO_E1_D1_01_Suku_T,124.51,92.0,92.0,111.6,92.0,92.0,111.6,90.0,92.0,90.0,90.0,90.0,91.0,91.0,91.0
BKO_E3_D5_13_Suku_T,120.05,93.8,97.8,89.6,93.8,97.8,89.6,94.0,91.0,94.0,94.0,94.0,94.0,94.0,94.0
BKO_E1_D1_02_Maraka_T,102.87,76.2,102.0,102.8,76.2,102.0,102.8,99.0,99.0,73.0,73.0,73.0,75.0,75.0,75.0
BKO_E2_D3_05_Sandia_T,94.28,102.6,107.4,94.4,102.6,107.4,94.4,116.0,95.0,116.0,116.0,116.0,116.0,116.0,116.0
BKO_E2_D3_14_Maraka_T,111.02,86.0,99.4,83.8,86.0,99.4,83.8,83.0,86.0,88.0,88.0,88.0,86.0,86.0,86.0
BKO_E3_D6_03_Wasulunka_T,110.77,85.0,80.2,108.4,85.0,52.2,108.4,87.0,87.0,84.0,84.0,84.0,84.0,84.0,84.0
BKO_E2_D4_04_Dansa_T,97.34,76.0,71.4,97.4,76.0,71.4,97.4,71.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E3_D6_01_Maraka_T,115.33,119.8,98.4,115.0,119.8,98.4,115.0,85.0,115.0,91.0,91.0,91.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,119.2,101.0,111.2,119.2,101.0,111.2,110.0,110.0,100.0,100.0,100.0,110.0,110.0,110.0
BKO_E2_D4_12_Suku_T,123.38,93.8,100.0,92.4,93.8,100.0,92.4,92.0,93.0,95.0,95.0,95.0,94.0,94.0,94.0
BKO_E2_D3_02_Suku_T,124.38,94.6,87.8,93.2,94.6,87.8,93.2,93.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0
BKO_E1_D2_05_Wasulunka_T,129.41,99.2,82.6,118.4,99.2,82.6,118.4,80.0,89.0,70.0,70.0,70.0,99.0,99.0,99.0
BKO_E1_D1_04_Dansa_T,105.12,101.4,100.8,104.6,101.4,100.8,104.6,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
BKO_E1_D2_03_Suku_T,120.78,118.2,108.4,119.4,118.2,108.4,119.4,116.0,116.0,109.0,109.0,109.0,112.0,112.0,112.0
BKO_E2_D3_06_Manjanin_T,120.08,107.2,106.8,90.0,107.2,106.8,90.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0
