piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,134.6,125.0,114.8,134.6,125.0,114.8,117.0,117.0,134.0,134.0,134.0,134.0,134.0,134.0
BKO_E2_D4_05_Sandia_T,91.98,138.2,137.2,91.6,138.2,137.2,91.6,93.0,135.0,135.0,135.0,135.0,140.0,140.0,140.0
BKO_E2_D4_01_Suku_T,128.84,132.4,124.8,96.8,132.4,124.8,96.8,97.0,129.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E2_D4_03_Wasulunka_T,108.26,114.4,119.4,109.2,114.4,119.4,109.2,108.0,109.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E1_D2_04_Maraka_T,101.71,124.0,135.2,139.8,124.0,135.2,139.8,140.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0
BKO_E3_D5_01_Maraka_T,113.68,116.0,136.2,124.0,116.0,136.2,124.0,139.0,131.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E3_D6_02_Suku_T,136.13,136.8,141.4,122.6,136.8,141.4,122.6,144.0,141.0,133.0,133.0,133.0,133.0,133.0,133.0
BKO_E2_D4_06_Manjanin_T,129.54,137.0,139.2,135.4,137.0,139.2,135.4,144.0,141.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E1_D1_01_Suku_T,124.51,131.2,128.4,124.6,131.2,128.4,124.6,127.0,127.0,123.0,123.0,123.0,128.0,128.0,128.0
BKO_E3_D5_13_Suku_T,120.05,133.4,129.4,101.2,133.4,129.4,101.2,120.0,121.0,133.0,133.0,133.0,133.0,133.0,133.0
BKO_E1_D1_02_Maraka_T,102.87,123.8,129.6,118.8,123.8,129.6,118.8,128.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
BKO_E2_D3_05_Sandia_T,94.28,141.8,117.6,108.6,141.8,117.6,108.6,94.0,130.0,141.0,141.0,141.0,141.0,141.0,141.0
BKO_E2_D3_14_Maraka_T,111.02,136.6,138.0,139.2,136.6,138.0,139.2,137.0,138.0,128.0,128.0,128.0,138.0,138.0,138.0
BKO_E3_D6_03_Wasulunka_T,110.77,133.4,113.4,103.4,133.4,113.4,103.4,138.0,124.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E2_D4_04_Dansa_T,97.34,112.0,127.4,102.0,112.0,127.4,102.0,73.0,119.0,100.0,100.0,100.0,104.0,104.0,104.0
BKO_E3_D6_01_Maraka_T,115.33,116.6,133.0,117.0,116.6,133.0,117.0,144.0,118.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,129.8,126.8,140.0,129.8,126.8,140.0,131.0,132.0,131.0,131.0,131.0,131.0,131.0,131.0
BKO_E2_D4_12_Suku_T,123.38,127.4,123.2,104.4,127.4,123.2,104.4,123.0,123.0,123.0,123.0,123.0,124.0,124.0,124.0
BKO_E2_D3_02_Suku_T,124.38,130.8,102.0,95.2,130.8,102.0,95.2,91.0,106.0,131.0,131.0,131.0,131.0,131.0,131.0
BKO_E1_D2_05_Wasulunka_T,129.41,123.2,113.8,128.8,123.2,113.8,128.8,104.0,128.0,94.0,94.0,94.0,136.0,136.0,136.0
BKO_E1_D1_04_Dansa_T,105.12,119.8,133.6,104.8,119.8,133.6,104.8,104.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
BKO_E1_D2_03_Suku_T,120.78,121.6,129.2,120.8,121.6,129.2,120.8,116.0,118.0,110.0,110.0,110.0,118.0,118.0,118.0
BKO_E2_D3_06_Manjanin_T,120.08,123.6,119.6,126.6,123.6,119.6,126.6,117.0,122.0,139.0,139.0,139.0,138.0,138.0,138.0
BKO_E1_D1_06_Manjanin_T,137.2,138.8,118.6,135.8,138.8,118.6,135.8,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E3_D6_04_Sandia_T,106.26,139.0,133.4,113.6,139.0,133.4,113.6,142.0,136.0,131.0,131.0,131.0,140.0,140.0,140.0
BKO_E2_D3_01_Maraka_T,116.47,135.8,141.6,120.8,135.8,141.6,120.8,115.0,136.0,135.0,135.0,135.0,136.0,136.0,136.0
BKO_E3_D6_06_Manjanin_T,156.66,77.4,88.8,99.8,77.4,88.8,99.8,78.0,79.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E3_D5_05_Sandia_T,102.12,127.8,131.2,105.8,127.8,131.2,105.8,105.0,121.0,142.0,142.0,142.0,121.0,121.0,121.0
BKO_E1_D1_03_Wasulunka_T,99.58,112.6,132.0,100.0,112.6,132.0,100.0,99.0,103.0,98.0,98.0,98.0,120.0,120.0,120.0
BKO_E1_D1_05_Sandia_T,98.42,107.2,117.2,105.2,107.2,117.2,105.2,89.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
BKO_E1_D2_07_Sandia_T,114.21,137.4,126.2,143.4,137.4,126.2,143.4,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0
BKO_E2_D3_03_Wasulunka_T,107.01,135.2,131.4,107.0,135.2,131.4,107.0,107.0,129.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E3_D5_06_Manjanin_T,114.75,114.2,118.4,115.4,114.2,118.4,115.4,113.0,114.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,131.8,112.6,125.8,131.8,112.6,125.8,123.0,123.0,133.0,133.0,133.0,133.0,133.0,133.0
BKO_E3_D5_02_Suku_T,127.11,118.2,132.0,110.2,118.2,132.0,110.2,130.0,124.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E3_D6_12_Suku_T,141.7,138.6,132.8,137.2,138.6,132.8,137.2,140.0,138.0,132.0,132.0,132.0,140.0,140.0,140.0
