piece,bpm_gt,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,93.0,93.0
BKO_E2_D4_05_Sandia_T,91.98,88.86,88.86
BKO_E2_D4_01_Suku_T,128.84,124.43,124.43
BKO_E2_D4_03_Wasulunka_T,108.26,104.29,104.29
BKO_E1_D2_04_Maraka_T,101.71,108.71,108.71
BKO_E3_D5_01_Maraka_T,113.68,123.43,123.43
BKO_E3_D6_02_Suku_T,136.13,104.71,104.71
BKO_E2_D4_06_Manjanin_T,129.54,88.14,88.14
BKO_E1_D1_01_Suku_T,124.51,101.62,101.62
BKO_E3_D5_13_Suku_T,120.05,89.57,89.57
BKO_E1_D1_02_Maraka_T,102.87,103.29,103.29
BKO_E2_D3_05_Sandia_T,94.28,84.43,84.43
BKO_E2_D3_14_Maraka_T,111.02,103.71,103.71
BKO_E3_D6_03_Wasulunka_T,110.77,104.14,104.14
BKO_E2_D4_04_Dansa_T,97.34,96.86,96.86
BKO_E3_D6_01_Maraka_T,115.33,103.0,103.0
BKO_E2_D4_02_Maraka_T,111.05,104.75,104.75
BKO_E2_D4_12_Suku_T,123.38,106.57,106.57
BKO_E2_D3_02_Suku_T,124.38,118.57,118.57
BKO_E1_D2_05_Wasulunka_T,129.41,93.0,93.0
BKO_E1_D1_04_Dansa_T,105.12,102.0,102.0
BKO_E1_D2_03_Suku_T,120.78,96.71,96.71
BKO_E2_D3_06_Manjanin_T,120.08,107.57,107.57
BKO_E1_D1_06_Manjanin_T,137.2,104.89,104.89
BKO_E3_D6_04_Sandia_T,106.26,103.14,103.14
BKO_E2_D3_01_Maraka_T,116.47,111.86,111.86
BKO_E3_D6_06_Manjanin_T,156.66,108.86,108.86
BKO_E3_D5_05_Sandia_T,102.12,95.57,95.57
BKO_E1_D1_03_Wasulunka_T,99.58,97.0,97.0
BKO_E1_D1_05_Sandia_T,98.42,102.0,102.0
BKO_E1_D2_07_Sandia_T,114.21,111.29,111.29
BKO_E2_D3_03_Wasulunka_T,107.01,107.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,114.0,114.0
BKO_E3_D6_10_Dansa_T,105.15,105.75,105.75
BKO_E3_D5_02_Suku_T,127.11,98.14,98.14
BKO_E3_D6_12_Suku_T,141.7,101.86,101.86
