piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,58.51,117.03
BKO_E2_D4_05_Sandia_T,91.98,34.48,68.96
BKO_E2_D4_01_Suku_T,128.84,62.7,125.4
BKO_E2_D4_03_Wasulunka_T,108.26,27.08,54.15
BKO_E1_D2_04_Maraka_T,101.71,50.38,100.76
BKO_E3_D5_01_Maraka_T,113.68,61.48,122.97
BKO_E3_D6_02_Suku_T,136.13,54.81,109.62
BKO_E2_D4_06_Manjanin_T,129.54,62.12,124.25
BKO_E1_D1_01_Suku_T,124.51,55.21,110.43
BKO_E3_D5_13_Suku_T,120.05,52.65,105.3
BKO_E1_D1_02_Maraka_T,102.87,54.58,109.16
BKO_E2_D3_05_Sandia_T,94.28,35.39,70.78
BKO_E2_D3_14_Maraka_T,111.02,55.38,110.75
BKO_E3_D6_03_Wasulunka_T,110.77,51.06,102.11
BKO_E2_D4_04_Dansa_T,97.34,33.35,73.78
BKO_E3_D6_01_Maraka_T,115.33,58.66,117.32
BKO_E2_D4_02_Maraka_T,111.05,55.58,111.17
BKO_E2_D4_12_Suku_T,123.38,59.34,123.75
BKO_E2_D3_02_Suku_T,124.38,62.25,124.5
BKO_E1_D2_05_Wasulunka_T,129.41,49.75,99.49
BKO_E1_D1_04_Dansa_T,105.12,56.71,113.41
BKO_E1_D2_03_Suku_T,120.78,59.58,119.16
BKO_E2_D3_06_Manjanin_T,120.08,39.42,78.85
BKO_E1_D1_06_Manjanin_T,137.2,39.13,78.26
BKO_E3_D6_04_Sandia_T,106.26,47.69,95.39
BKO_E2_D3_01_Maraka_T,116.47,57.89,115.78
BKO_E3_D6_06_Manjanin_T,156.66,44.34,88.68
BKO_E3_D5_05_Sandia_T,102.12,36.45,72.91
BKO_E1_D1_03_Wasulunka_T,99.58,54.72,109.45
BKO_E1_D1_05_Sandia_T,98.42,55.45,110.9
BKO_E1_D2_07_Sandia_T,114.21,56.96,113.92
BKO_E2_D3_03_Wasulunka_T,107.01,42.91,85.83
BKO_E3_D5_06_Manjanin_T,114.75,50.11,100.22
BKO_E3_D6_10_Dansa_T,105.15,52.65,105.3
BKO_E3_D5_02_Suku_T,127.11,61.71,123.42
BKO_E3_D6_12_Suku_T,141.7,70.45,140.89
