piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,33.17,66.34
BKO_E2_D4_05_Sandia_T,91.98,34.48,68.96
BKO_E2_D4_01_Suku_T,128.84,25.41,50.82
BKO_E2_D4_03_Wasulunka_T,108.26,51.55,103.11
BKO_E1_D2_04_Maraka_T,101.71,31.36,62.72
BKO_E3_D5_01_Maraka_T,113.68,49.73,99.47
BKO_E3_D6_02_Suku_T,136.13,26.69,53.38
BKO_E2_D4_06_Manjanin_T,129.54,30.44,60.87
BKO_E1_D1_01_Suku_T,124.51,30.74,61.47
BKO_E3_D5_13_Suku_T,120.05,26.89,53.79
BKO_E1_D1_02_Maraka_T,102.87,28.8,57.59
BKO_E2_D3_05_Sandia_T,94.28,53.45,106.91
BKO_E2_D3_14_Maraka_T,111.02,44.26,88.53
BKO_E3_D6_03_Wasulunka_T,110.77,34.6,69.19
BKO_E2_D4_04_Dansa_T,97.34,27.83,60.58
BKO_E3_D6_01_Maraka_T,115.33,31.89,63.79
BKO_E2_D4_02_Maraka_T,111.05,33.95,67.9
BKO_E2_D4_12_Suku_T,123.38,37.11,76.18
BKO_E2_D3_02_Suku_T,124.38,44.37,88.74
BKO_E1_D2_05_Wasulunka_T,129.41,46.91,93.82
BKO_E1_D1_04_Dansa_T,105.12,51.79,103.58
BKO_E1_D2_03_Suku_T,120.78,33.82,67.63
BKO_E2_D3_06_Manjanin_T,120.08,29.45,58.9
BKO_E1_D1_06_Manjanin_T,137.2,39.99,79.98
BKO_E3_D6_04_Sandia_T,106.26,32.54,65.08
BKO_E2_D3_01_Maraka_T,116.47,36.16,72.32
BKO_E3_D6_06_Manjanin_T,156.66,39.07,78.14
BKO_E3_D5_05_Sandia_T,102.12,38.61,77.22
BKO_E1_D1_03_Wasulunka_T,99.58,39.72,79.45
BKO_E1_D1_05_Sandia_T,98.42,41.97,83.95
BKO_E1_D2_07_Sandia_T,114.21,35.84,71.68
BKO_E2_D3_03_Wasulunka_T,107.01,31.03,62.06
BKO_E3_D5_06_Manjanin_T,114.75,32.92,65.84
BKO_E3_D6_10_Dansa_T,105.15,30.67,61.33
BKO_E3_D5_02_Suku_T,127.11,28.17,56.34
BKO_E3_D6_12_Suku_T,141.7,27.36,54.71
