piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,60.29,120.58
BKO_E2_D4_05_Sandia_T,91.98,34.34,68.69
BKO_E2_D4_01_Suku_T,128.84,64.37,128.75
BKO_E2_D4_03_Wasulunka_T,108.26,38.34,76.69
BKO_E1_D2_04_Maraka_T,101.71,50.44,100.89
BKO_E3_D5_01_Maraka_T,113.68,49.2,98.4
BKO_E3_D6_02_Suku_T,136.13,59.32,118.64
BKO_E2_D4_06_Manjanin_T,129.54,62.35,124.7
BKO_E1_D1_01_Suku_T,124.51,37.65,75.3
BKO_E3_D5_13_Suku_T,120.05,57.81,115.61
BKO_E1_D1_02_Maraka_T,102.87,35.34,70.67
BKO_E2_D3_05_Sandia_T,94.28,35.27,70.54
BKO_E2_D3_14_Maraka_T,111.02,55.26,110.51
BKO_E3_D6_03_Wasulunka_T,110.77,58.89,117.77
BKO_E2_D4_04_Dansa_T,97.34,50.34,109.05
BKO_E3_D6_01_Maraka_T,115.33,54.45,108.91
BKO_E2_D4_02_Maraka_T,111.05,55.5,111.0
BKO_E2_D4_12_Suku_T,123.38,59.22,123.31
BKO_E2_D3_02_Suku_T,124.38,61.93,123.85
BKO_E1_D2_05_Wasulunka_T,129.41,39.97,79.94
BKO_E1_D1_04_Dansa_T,105.12,52.94,105.89
BKO_E1_D2_03_Suku_T,120.78,59.35,118.69
BKO_E2_D3_06_Manjanin_T,120.08,60.14,120.29
BKO_E1_D1_06_Manjanin_T,137.2,46.88,93.76
BKO_E3_D6_04_Sandia_T,106.26,46.4,92.8
BKO_E2_D3_01_Maraka_T,116.47,57.89,115.78
BKO_E3_D6_06_Manjanin_T,156.66,37.23,74.45
BKO_E3_D5_05_Sandia_T,102.12,53.48,106.95
BKO_E1_D1_03_Wasulunka_T,99.58,51.79,103.59
BKO_E1_D1_05_Sandia_T,98.42,48.4,96.8
BKO_E1_D2_07_Sandia_T,114.21,53.55,107.11
BKO_E2_D3_03_Wasulunka_T,107.01,46.81,93.63
BKO_E3_D5_06_Manjanin_T,114.75,54.92,109.83
BKO_E3_D6_10_Dansa_T,105.15,51.88,103.76
BKO_E3_D5_02_Suku_T,127.11,63.9,127.8
BKO_E3_D6_12_Suku_T,141.7,63.81,127.61
