piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,35.24,34.0,33.09,70.48,68.0,66.19
BKO_E2_D4_05_Sandia_T,91.98,34.61,34.51,53.42,69.21,69.02,106.85
BKO_E2_D4_01_Suku_T,128.84,25.35,25.47,25.0,50.69,50.95,50.0
BKO_E2_D4_03_Wasulunka_T,108.26,26.96,27.26,45.03,53.92,54.52,90.06
BKO_E1_D2_04_Maraka_T,101.71,31.41,38.04,30.84,62.83,76.08,61.67
BKO_E3_D5_01_Maraka_T,113.68,40.31,38.6,44.44,80.62,77.2,88.89
BKO_E3_D6_02_Suku_T,136.13,27.1,26.69,26.16,54.19,53.38,52.33
BKO_E2_D4_06_Manjanin_T,129.54,34.11,28.21,28.33,68.22,56.43,56.66
BKO_E1_D1_01_Suku_T,124.51,30.97,30.86,30.86,61.94,61.72,61.72
BKO_E3_D5_13_Suku_T,120.05,29.88,32.44,30.67,59.75,64.88,61.34
BKO_E1_D1_02_Maraka_T,102.87,27.64,25.77,25.69,55.28,51.53,51.37
BKO_E2_D3_05_Sandia_T,94.28,35.39,35.27,43.81,70.78,70.53,87.63
BKO_E2_D3_14_Maraka_T,111.02,34.51,34.35,34.48,69.02,68.7,68.96
BKO_E3_D6_03_Wasulunka_T,110.77,36.07,33.97,34.71,72.15,67.95,69.43
BKO_E2_D4_04_Dansa_T,97.34,33.35,33.23,33.35,72.65,72.5,71.01
BKO_E3_D6_01_Maraka_T,115.33,33.69,33.21,32.25,67.39,66.43,64.51
BKO_E2_D4_02_Maraka_T,111.05,34.57,34.82,34.79,69.14,69.64,69.58
BKO_E2_D4_12_Suku_T,123.38,37.11,37.11,50.32,76.18,76.18,102.59
BKO_E2_D3_02_Suku_T,124.38,39.67,37.3,45.16,79.35,74.6,90.32
BKO_E1_D2_05_Wasulunka_T,129.41,42.39,46.85,32.09,84.78,93.7,64.19
BKO_E1_D1_04_Dansa_T,105.12,32.08,32.82,32.47,64.16,65.64,64.95
BKO_E1_D2_03_Suku_T,120.78,36.7,33.84,33.89,73.4,67.68,67.78
BKO_E2_D3_06_Manjanin_T,120.08,29.65,29.91,29.68,59.3,59.83,59.36
BKO_E1_D1_06_Manjanin_T,137.2,31.38,31.69,29.49,62.76,63.37,58.97
BKO_E3_D6_04_Sandia_T,106.26,32.54,32.5,32.54,65.08,64.99,65.08
BKO_E2_D3_01_Maraka_T,116.47,34.8,36.81,36.16,69.61,73.63,72.32
BKO_E3_D6_06_Manjanin_T,156.66,28.04,33.43,26.16,56.09,66.86,52.31
BKO_E3_D5_05_Sandia_T,102.12,32.22,34.09,30.41,64.44,68.18,60.82
BKO_E1_D1_03_Wasulunka_T,99.58,34.48,32.83,37.28,68.96,65.66,74.55
BKO_E1_D1_05_Sandia_T,98.42,30.03,29.38,30.73,60.05,58.75,61.46
BKO_E1_D2_07_Sandia_T,114.21,35.95,33.63,35.4,71.89,67.27,70.8
BKO_E2_D3_03_Wasulunka_T,107.01,35.6,34.37,34.93,71.2,68.74,69.85
BKO_E3_D5_06_Manjanin_T,114.75,33.71,31.88,31.63,67.41,63.76,63.27
BKO_E3_D6_10_Dansa_T,105.15,39.21,39.52,27.03,78.42,79.05,54.06
BKO_E3_D5_02_Suku_T,127.11,29.36,31.7,28.29,58.72,63.4,56.58
BKO_E3_D6_12_Suku_T,141.7,30.27,30.28,27.47,60.54,60.57,54.95
