piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,48.72,56.86,58.51,97.43,113.71,117.03
BKO_E2_D4_05_Sandia_T,91.98,50.99,51.14,34.59,101.97,102.27,69.18
BKO_E2_D4_01_Suku_T,128.84,45.34,39.64,62.7,90.67,79.28,125.4
BKO_E2_D4_03_Wasulunka_T,108.26,33.88,27.14,27.08,67.77,54.29,54.15
BKO_E1_D2_04_Maraka_T,101.71,49.02,51.04,50.38,98.03,102.08,100.76
BKO_E3_D5_01_Maraka_T,113.68,57.55,51.57,61.48,115.11,103.13,122.97
BKO_E3_D6_02_Suku_T,136.13,58.34,58.95,54.81,116.69,117.9,109.62
BKO_E2_D4_06_Manjanin_T,129.54,47.93,57.57,63.87,95.86,115.14,127.73
BKO_E1_D1_01_Suku_T,124.51,34.9,40.16,44.62,69.79,80.33,89.24
BKO_E3_D5_13_Suku_T,120.05,60.42,47.53,52.65,120.83,95.06,105.3
BKO_E1_D1_02_Maraka_T,102.87,43.68,64.82,54.01,87.36,129.64,108.02
BKO_E2_D3_05_Sandia_T,94.28,41.1,40.58,35.38,82.21,81.16,70.77
BKO_E2_D3_14_Maraka_T,111.02,44.37,47.17,55.38,88.74,94.35,110.75
BKO_E3_D6_03_Wasulunka_T,110.77,48.25,43.09,58.46,96.49,86.19,116.93
BKO_E2_D4_04_Dansa_T,97.34,47.47,39.06,33.35,101.42,84.17,72.74
BKO_E3_D6_01_Maraka_T,115.33,57.52,49.49,58.78,115.04,98.99,117.56
BKO_E2_D4_02_Maraka_T,111.05,48.4,52.81,55.58,96.8,105.62,111.17
BKO_E2_D4_12_Suku_T,123.38,51.29,58.1,59.34,107.77,121.16,123.75
BKO_E2_D3_02_Suku_T,124.38,62.95,52.84,62.25,125.91,105.69,124.5
BKO_E1_D2_05_Wasulunka_T,129.41,51.71,37.51,49.4,103.43,75.02,98.8
BKO_E1_D1_04_Dansa_T,105.12,59.74,40.86,52.32,119.47,81.72,104.63
BKO_E1_D2_03_Suku_T,120.78,41.7,47.01,59.58,83.39,94.02,119.16
BKO_E2_D3_06_Manjanin_T,120.08,39.42,44.6,39.31,78.85,89.21,78.62
BKO_E1_D1_06_Manjanin_T,137.2,45.36,37.11,31.48,90.73,74.22,62.95
BKO_E3_D6_04_Sandia_T,106.26,38.21,42.75,51.91,76.43,85.51,103.82
BKO_E2_D3_01_Maraka_T,116.47,52.26,65.52,57.89,104.51,131.05,115.78
BKO_E3_D6_06_Manjanin_T,156.66,43.57,42.16,44.34,87.15,84.32,88.68
BKO_E3_D5_05_Sandia_T,102.12,46.58,53.53,36.46,93.17,107.06,72.93
BKO_E1_D1_03_Wasulunka_T,99.58,52.2,55.41,51.63,104.39,110.83,103.26
BKO_E1_D1_05_Sandia_T,98.42,46.47,61.72,56.91,92.95,123.44,113.82
BKO_E1_D2_07_Sandia_T,114.21,45.27,39.47,56.99,90.55,78.93,113.98
BKO_E2_D3_03_Wasulunka_T,107.01,41.47,37.49,46.24,82.94,74.98,92.47
BKO_E3_D5_06_Manjanin_T,114.75,54.4,50.16,50.11,108.8,100.31,100.22
BKO_E3_D6_10_Dansa_T,105.15,56.1,47.11,58.71,112.21,94.22,117.43
BKO_E3_D5_02_Suku_T,127.11,47.24,47.9,61.71,94.48,95.8,123.42
BKO_E3_D6_12_Suku_T,141.7,40.44,38.99,70.55,80.88,77.98,141.09
