piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,53.18,51.75,64.63,106.37,103.51,129.25
BKO_E2_D4_05_Sandia_T,91.98,44.08,48.84,64.64,88.16,97.69,129.28
BKO_E2_D4_01_Suku_T,128.84,57.17,38.52,64.12,114.35,77.04,128.24
BKO_E2_D4_03_Wasulunka_T,108.26,42.14,33.35,55.92,84.29,66.7,111.84
BKO_E1_D2_04_Maraka_T,101.71,53.03,57.88,36.15,106.07,115.77,72.3
BKO_E3_D5_01_Maraka_T,113.68,51.43,47.54,69.67,102.87,95.08,139.34
BKO_E3_D6_02_Suku_T,136.13,62.14,62.07,67.87,124.27,124.14,135.74
BKO_E2_D4_06_Manjanin_T,129.54,52.57,56.56,63.87,105.15,113.12,127.73
BKO_E1_D1_01_Suku_T,124.51,37.69,41.16,61.87,75.39,82.32,123.74
BKO_E3_D5_13_Suku_T,120.05,58.21,54.67,65.17,116.42,109.33,130.34
BKO_E1_D1_02_Maraka_T,102.87,48.18,49.61,55.8,96.36,99.21,111.61
BKO_E2_D3_05_Sandia_T,94.28,34.84,40.19,62.68,69.68,80.39,125.37
BKO_E2_D3_14_Maraka_T,111.02,56.57,56.22,58.92,113.14,112.43,117.84
BKO_E3_D6_03_Wasulunka_T,110.77,47.23,44.04,62.89,94.47,88.08,125.78
BKO_E2_D4_04_Dansa_T,97.34,33.23,33.13,66.48,77.34,72.31,145.14
BKO_E3_D6_01_Maraka_T,115.33,50.31,44.17,55.48,100.61,88.33,110.95
BKO_E2_D4_02_Maraka_T,111.05,33.13,48.12,57.03,66.26,96.24,114.06
BKO_E2_D4_12_Suku_T,123.38,45.31,53.61,59.34,94.1,112.17,123.75
BKO_E2_D3_02_Suku_T,124.38,59.67,62.02,62.1,119.33,124.05,124.2
BKO_E1_D2_05_Wasulunka_T,129.41,61.12,60.55,56.49,122.23,121.11,112.99
BKO_E1_D1_04_Dansa_T,105.12,47.4,51.48,65.27,94.8,102.96,130.54
BKO_E1_D2_03_Suku_T,120.78,61.37,63.65,62.28,122.74,127.3,124.55
BKO_E2_D3_06_Manjanin_T,120.08,41.0,53.34,58.52,82.01,106.69,117.05
BKO_E1_D1_06_Manjanin_T,137.2,55.41,53.5,54.57,110.83,107.0,109.13
BKO_E3_D6_04_Sandia_T,106.26,48.44,45.92,54.8,96.87,91.84,109.6
BKO_E2_D3_01_Maraka_T,116.47,57.62,60.73,56.81,115.25,121.45,113.63
BKO_E3_D6_06_Manjanin_T,156.66,56.7,47.9,59.78,113.4,95.81,119.57
BKO_E3_D5_05_Sandia_T,102.12,54.74,61.45,64.23,109.48,122.9,128.45
BKO_E1_D1_03_Wasulunka_T,99.58,65.35,63.04,59.62,130.71,126.07,119.23
BKO_E1_D1_05_Sandia_T,98.42,51.23,56.56,56.98,102.45,113.13,113.96
BKO_E1_D2_07_Sandia_T,114.21,46.94,63.82,67.78,93.88,127.65,135.56
BKO_E2_D3_03_Wasulunka_T,107.01,38.05,42.73,54.45,76.1,85.46,108.89
BKO_E3_D5_06_Manjanin_T,114.75,50.57,53.88,57.15,101.15,107.76,114.31
BKO_E3_D6_10_Dansa_T,105.15,59.8,57.48,69.99,119.61,114.96,139.99
BKO_E3_D5_02_Suku_T,127.11,48.73,56.65,63.81,97.47,113.29,127.62
BKO_E3_D6_12_Suku_T,141.7,35.59,40.02,70.76,71.18,80.04,141.51
