piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,29.04,28.54,27.96,58.09,57.09,55.93
BKO_E2_D4_05_Sandia_T,91.98,27.08,26.96,34.62,54.16,53.92,69.24
BKO_E2_D4_01_Suku_T,128.84,33.09,32.81,39.5,66.18,65.62,79.01
BKO_E2_D4_03_Wasulunka_T,108.26,26.64,26.62,45.96,53.29,53.24,91.93
BKO_E1_D2_04_Maraka_T,101.71,28.31,28.59,25.4,56.61,57.18,50.81
BKO_E3_D5_01_Maraka_T,113.68,28.24,27.45,27.83,56.47,54.89,55.66
BKO_E3_D6_02_Suku_T,136.13,32.41,33.55,29.77,64.82,67.1,59.53
BKO_E2_D4_06_Manjanin_T,129.54,26.74,28.93,31.72,53.48,57.86,63.44
BKO_E1_D1_01_Suku_T,124.51,34.31,30.33,31.52,68.61,60.66,63.04
BKO_E3_D5_13_Suku_T,120.05,36.7,31.85,38.47,73.39,63.7,76.94
BKO_E1_D1_02_Maraka_T,102.87,26.32,26.28,38.23,52.64,52.57,76.45
BKO_E2_D3_05_Sandia_T,94.28,29.78,32.66,35.27,59.57,65.31,70.54
BKO_E2_D3_14_Maraka_T,111.02,26.76,28.06,41.51,53.52,56.13,83.02
BKO_E3_D6_03_Wasulunka_T,110.77,32.06,28.5,39.57,64.13,57.0,79.15
BKO_E2_D4_04_Dansa_T,97.34,27.37,30.27,27.68,59.06,66.75,59.69
BKO_E3_D6_01_Maraka_T,115.33,28.57,33.75,55.22,57.14,67.49,110.44
BKO_E2_D4_02_Maraka_T,111.05,28.89,26.81,41.07,57.78,53.62,82.14
BKO_E2_D4_12_Suku_T,123.38,29.55,30.02,44.32,61.94,61.99,91.06
BKO_E2_D3_02_Suku_T,124.38,30.98,29.78,44.26,61.96,59.56,88.52
BKO_E1_D2_05_Wasulunka_T,129.41,27.75,28.38,55.09,55.5,56.75,110.17
BKO_E1_D1_04_Dansa_T,105.12,27.73,27.24,39.06,55.47,54.47,78.11
BKO_E1_D2_03_Suku_T,120.78,30.42,29.98,29.67,60.84,59.96,59.35
BKO_E2_D3_06_Manjanin_T,120.08,30.99,29.13,30.49,61.99,58.27,60.97
BKO_E1_D1_06_Manjanin_T,137.2,37.34,33.36,43.33,74.68,66.72,86.65
BKO_E3_D6_04_Sandia_T,106.26,29.4,27.91,42.42,58.79,55.82,84.84
BKO_E2_D3_01_Maraka_T,116.47,28.49,27.64,28.94,56.99,55.27,57.87
BKO_E3_D6_06_Manjanin_T,156.66,34.25,37.49,31.65,68.49,74.98,63.3
BKO_E3_D5_05_Sandia_T,102.12,29.16,31.47,40.89,58.32,62.94,81.77
BKO_E1_D1_03_Wasulunka_T,99.58,28.71,27.12,35.52,57.42,54.25,71.04
BKO_E1_D1_05_Sandia_T,98.42,31.02,27.24,34.63,62.03,54.48,69.27
BKO_E1_D2_07_Sandia_T,114.21,29.94,29.33,28.52,59.89,58.66,57.03
BKO_E2_D3_03_Wasulunka_T,107.01,28.34,26.51,53.38,56.68,53.01,106.75
BKO_E3_D5_06_Manjanin_T,114.75,29.55,29.3,48.38,59.09,58.61,96.77
BKO_E3_D6_10_Dansa_T,105.15,25.73,29.19,51.95,51.45,58.37,103.9
BKO_E3_D5_02_Suku_T,127.11,32.71,32.48,38.95,65.42,64.96,77.91
BKO_E3_D6_12_Suku_T,141.7,27.2,29.9,35.73,54.41,59.79,71.46
