piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,62.69,63.15,67.95,125.38,126.31,135.89
BKO_E2_D4_05_Sandia_T,91.98,64.45,58.71,66.92,128.9,117.42,133.84
BKO_E2_D4_01_Suku_T,128.84,55.47,64.59,38.14,110.94,129.19,76.27
BKO_E2_D4_03_Wasulunka_T,108.26,51.31,56.15,60.17,102.61,112.3,120.34
BKO_E1_D2_04_Maraka_T,101.71,50.39,59.86,50.93,100.77,119.72,101.86
BKO_E3_D5_01_Maraka_T,113.68,49.27,53.25,57.6,98.55,106.5,115.19
BKO_E3_D6_02_Suku_T,136.13,66.85,66.03,59.83,133.71,132.05,119.67
BKO_E2_D4_06_Manjanin_T,129.54,53.13,52.82,71.69,106.27,105.64,143.39
BKO_E1_D1_01_Suku_T,124.51,58.53,50.88,65.3,117.06,101.76,130.59
BKO_E3_D5_13_Suku_T,120.05,63.49,66.29,73.88,126.97,132.57,147.76
BKO_E1_D1_02_Maraka_T,102.87,53.07,51.91,49.6,106.14,103.81,99.21
BKO_E2_D3_05_Sandia_T,94.28,59.27,61.55,70.66,118.55,123.11,141.32
BKO_E2_D3_14_Maraka_T,111.02,65.58,59.62,68.36,131.17,119.25,136.72
BKO_E3_D6_03_Wasulunka_T,110.77,66.9,60.54,65.87,133.79,121.09,131.74
BKO_E2_D4_04_Dansa_T,97.34,42.26,57.78,38.77,93.42,127.22,83.32
BKO_E3_D6_01_Maraka_T,115.33,57.41,60.44,71.58,114.82,120.88,143.17
BKO_E2_D4_02_Maraka_T,111.05,56.73,65.6,62.91,113.45,131.19,125.81
BKO_E2_D4_12_Suku_T,123.38,45.04,44.93,40.76,94.72,92.86,86.12
BKO_E2_D3_02_Suku_T,124.38,65.01,63.68,66.49,130.02,127.36,132.98
BKO_E1_D2_05_Wasulunka_T,129.41,60.32,58.64,60.64,120.65,117.28,121.28
BKO_E1_D1_04_Dansa_T,105.12,59.27,66.92,61.85,118.55,133.84,123.71
BKO_E1_D2_03_Suku_T,120.78,65.3,64.33,59.52,130.6,128.66,119.03
BKO_E2_D3_06_Manjanin_T,120.08,57.4,56.16,59.33,114.81,112.32,118.66
BKO_E1_D1_06_Manjanin_T,137.2,67.68,59.45,52.86,135.37,118.91,105.72
BKO_E3_D6_04_Sandia_T,106.26,58.48,39.52,60.51,116.96,79.04,121.02
BKO_E2_D3_01_Maraka_T,116.47,63.12,55.99,72.3,126.23,111.97,144.59
BKO_E3_D6_06_Manjanin_T,156.66,48.82,64.35,63.99,97.65,128.71,127.99
BKO_E3_D5_05_Sandia_T,102.12,57.07,65.78,60.41,114.14,131.56,120.82
BKO_E1_D1_03_Wasulunka_T,99.58,60.07,51.66,69.05,120.14,103.33,138.1
BKO_E1_D1_05_Sandia_T,98.42,50.59,52.14,72.99,101.17,104.27,145.97
BKO_E1_D2_07_Sandia_T,114.21,56.12,55.9,71.73,112.25,111.79,143.46
BKO_E2_D3_03_Wasulunka_T,107.01,60.57,57.65,40.53,121.14,115.3,81.05
BKO_E3_D5_06_Manjanin_T,114.75,60.97,61.58,62.55,121.94,123.15,125.09
BKO_E3_D6_10_Dansa_T,105.15,48.3,56.0,36.66,96.61,112.0,73.32
BKO_E3_D5_02_Suku_T,127.11,58.13,62.96,66.11,116.27,125.93,132.22
BKO_E3_D6_12_Suku_T,141.7,56.53,58.9,64.46,113.05,117.8,128.93
