piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b
BKO_E3_D5_03_Wasulunka_T,114.2,39.77,42.79,44.49,79.53,85.58,88.97
BKO_E2_D4_05_Sandia_T,91.98,37.26,36.99,61.28,74.51,73.98,122.55
BKO_E2_D4_01_Suku_T,128.84,33.01,31.65,32.09,66.01,63.3,64.18
BKO_E2_D4_03_Wasulunka_T,108.26,34.96,27.42,27.73,69.92,54.84,55.45
BKO_E1_D2_04_Maraka_T,101.71,34.52,41.26,31.34,69.04,82.52,62.68
BKO_E3_D5_01_Maraka_T,113.68,28.21,27.35,52.97,56.42,54.69,105.94
BKO_E3_D6_02_Suku_T,136.13,46.88,45.25,59.52,93.76,90.49,119.05
BKO_E2_D4_06_Manjanin_T,129.54,42.14,40.91,51.27,84.28,81.83,102.54
BKO_E1_D1_01_Suku_T,124.51,34.29,41.42,65.23,68.58,82.84,130.47
BKO_E3_D5_13_Suku_T,120.05,42.34,36.29,64.9,84.69,72.59,129.8
BKO_E1_D1_02_Maraka_T,102.87,48.13,47.91,37.84,96.26,95.82,75.67
BKO_E2_D3_05_Sandia_T,94.28,43.89,38.18,67.78,87.77,76.36,135.56
BKO_E2_D3_14_Maraka_T,111.02,31.57,36.63,68.5,63.14,73.27,137.01
BKO_E3_D6_03_Wasulunka_T,110.77,42.71,46.88,38.24,85.41,93.75,76.48
BKO_E2_D4_04_Dansa_T,97.34,27.23,25.03,22.84,58.77,54.38,51.47
BKO_E3_D6_01_Maraka_T,115.33,57.53,48.44,28.52,115.06,96.88,57.04
BKO_E2_D4_02_Maraka_T,111.05,33.69,33.57,53.47,67.38,67.13,106.94
BKO_E2_D4_12_Suku_T,123.38,29.43,33.2,29.79,63.41,69.22,62.35
BKO_E2_D3_02_Suku_T,124.38,33.41,32.77,30.48,66.82,65.54,60.95
BKO_E1_D2_05_Wasulunka_T,129.41,39.51,36.43,58.18,79.02,72.86,116.36
BKO_E1_D1_04_Dansa_T,105.12,38.07,32.11,43.13,76.13,64.22,86.26
BKO_E1_D2_03_Suku_T,120.78,56.84,55.3,52.64,113.69,110.6,105.28
BKO_E2_D3_06_Manjanin_T,120.08,45.37,44.27,44.87,90.74,88.55,89.74
BKO_E1_D1_06_Manjanin_T,137.2,41.56,48.62,51.63,83.11,97.24,103.26
BKO_E3_D6_04_Sandia_T,106.26,32.57,35.35,49.42,65.14,70.7,98.83
BKO_E2_D3_01_Maraka_T,116.47,33.77,35.74,68.87,67.53,71.48,137.75
BKO_E3_D6_06_Manjanin_T,156.66,44.49,54.45,35.45,88.98,108.9,70.9
BKO_E3_D5_05_Sandia_T,102.12,39.98,44.14,52.33,79.95,88.28,104.66
BKO_E1_D1_03_Wasulunka_T,99.58,40.56,43.86,52.19,81.13,87.72,104.39
BKO_E1_D1_05_Sandia_T,98.42,51.04,51.34,58.08,102.08,102.68,116.15
BKO_E1_D2_07_Sandia_T,114.21,39.22,43.99,64.41,78.43,87.98,128.83
BKO_E2_D3_03_Wasulunka_T,107.01,26.76,33.95,56.09,53.53,67.89,112.19
BKO_E3_D5_06_Manjanin_T,114.75,59.06,54.23,29.52,118.13,108.46,59.05
BKO_E3_D6_10_Dansa_T,105.15,29.33,36.04,36.36,58.66,72.08,72.73
BKO_E3_D5_02_Suku_T,127.11,50.12,48.21,58.93,100.25,96.42,117.87
BKO_E3_D6_12_Suku_T,141.7,47.72,32.96,64.34,95.43,65.92,128.67
