piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,122.6,139.6,113.4,111.0,118.0
BKO_E2_D4_05_Sandia_T,91.98,91.6,101.0,134.2,89.0,93.0
BKO_E2_D4_01_Suku_T,128.84,131.6,133.0,110.0,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,107.6,107.4,130.0,106.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,113.4,137.6,110.6,100.0,129.0
BKO_E3_D5_01_Maraka_T,113.68,98.2,110.0,119.2,73.0,110.0
BKO_E3_D6_02_Suku_T,136.13,140.2,133.0,135.2,132.0,134.0
BKO_E2_D4_06_Manjanin_T,129.54,121.4,126.8,118.6,128.0,126.0
BKO_E1_D1_01_Suku_T,124.51,122.8,124.4,129.0,119.0,126.0
BKO_E3_D5_13_Suku_T,120.05,128.0,118.8,139.8,129.0,129.0
BKO_E1_D1_02_Maraka_T,102.87,121.4,104.2,138.2,143.0,119.0
BKO_E2_D3_05_Sandia_T,94.28,104.6,94.8,141.6,94.0,96.0
BKO_E2_D3_14_Maraka_T,111.02,115.8,117.2,139.2,110.0,115.0
BKO_E3_D6_03_Wasulunka_T,110.77,130.4,131.8,113.2,128.0,132.0
BKO_E2_D4_04_Dansa_T,97.34,141.4,134.8,126.2,122.0,142.0
BKO_E3_D6_01_Maraka_T,115.33,114.6,115.6,132.2,115.0,116.0
BKO_E2_D4_02_Maraka_T,111.05,117.6,112.2,140.4,111.0,113.0
BKO_E2_D4_12_Suku_T,123.38,124.4,124.0,131.4,124.0,124.0
BKO_E2_D3_02_Suku_T,124.38,126.8,124.0,135.2,124.0,125.0
BKO_E1_D2_05_Wasulunka_T,129.41,124.6,129.8,132.8,132.0,131.0
BKO_E1_D1_04_Dansa_T,105.12,125.4,140.2,112.0,114.0,130.0
BKO_E1_D2_03_Suku_T,120.78,120.4,130.0,121.2,116.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,123.6,120.2,119.0,118.0,122.0
BKO_E1_D1_06_Manjanin_T,137.2,137.8,140.6,132.4,136.0,139.0
BKO_E3_D6_04_Sandia_T,106.26,128.6,108.8,134.8,125.0,125.0
BKO_E2_D3_01_Maraka_T,116.47,124.4,130.0,128.0,116.0,124.0
BKO_E3_D6_06_Manjanin_T,156.66,135.8,137.8,140.2,140.0,140.0
BKO_E3_D5_05_Sandia_T,102.12,127.2,129.0,126.2,123.0,127.0
BKO_E1_D1_03_Wasulunka_T,99.58,135.2,122.4,126.4,116.0,130.0
BKO_E1_D1_05_Sandia_T,98.42,108.6,105.0,142.4,144.0,115.0
BKO_E1_D2_07_Sandia_T,114.21,139.4,132.6,140.4,143.0,143.0
BKO_E2_D3_03_Wasulunka_T,107.01,111.4,106.8,126.8,107.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,118.2,114.0,139.2,113.0,118.0
BKO_E3_D6_10_Dansa_T,105.15,118.6,137.8,132.2,107.0,134.0
BKO_E3_D5_02_Suku_T,127.11,139.4,133.4,128.8,138.0,138.0
BKO_E3_D6_12_Suku_T,141.7,137.4,133.0,140.0,144.0,139.0
