piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,112.6,120.4,121.4,117.0,117.0
BKO_E2_D4_05_Sandia_T,91.98,109.2,128.4,77.6,70.0,94.0
BKO_E2_D4_01_Suku_T,128.84,118.2,122.8,97.2,97.0,124.0
BKO_E2_D4_03_Wasulunka_T,108.26,107.0,106.2,109.4,106.0,106.0
BKO_E1_D2_04_Maraka_T,101.71,117.0,91.4,120.8,100.0,102.0
BKO_E3_D5_01_Maraka_T,113.68,130.6,130.4,113.0,131.0,130.0
BKO_E3_D6_02_Suku_T,136.13,136.6,111.0,107.8,133.0,133.0
BKO_E2_D4_06_Manjanin_T,129.54,107.0,113.6,80.6,82.0,98.0
BKO_E1_D1_01_Suku_T,124.51,125.6,124.6,128.6,121.0,125.0
BKO_E3_D5_13_Suku_T,120.05,129.8,118.6,89.2,130.0,119.0
BKO_E1_D1_02_Maraka_T,102.87,114.6,103.0,103.0,101.0,103.0
BKO_E2_D3_05_Sandia_T,94.28,124.6,140.2,75.6,71.0,138.0
BKO_E2_D3_14_Maraka_T,111.02,119.4,140.2,83.6,83.0,111.0
BKO_E3_D6_03_Wasulunka_T,110.77,127.0,115.4,98.8,96.0,116.0
BKO_E2_D4_04_Dansa_T,97.34,129.6,115.6,97.2,143.0,119.0
BKO_E3_D6_01_Maraka_T,115.33,114.8,115.8,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,117.8,124.4,111.2,111.0,112.0
BKO_E2_D4_12_Suku_T,123.38,126.0,124.0,92.4,92.0,123.0
BKO_E2_D3_02_Suku_T,124.38,120.2,117.4,93.8,93.0,113.0
BKO_E1_D2_05_Wasulunka_T,129.41,113.4,128.8,130.2,99.0,127.0
BKO_E1_D1_04_Dansa_T,105.12,114.8,101.6,104.6,104.0,105.0
BKO_E1_D2_03_Suku_T,120.78,122.4,130.2,121.0,117.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,120.2,120.8,90.0,118.0,118.0
BKO_E1_D1_06_Manjanin_T,137.2,126.2,109.6,122.8,71.0,136.0
BKO_E3_D6_04_Sandia_T,106.26,113.0,103.2,116.4,103.0,108.0
BKO_E2_D3_01_Maraka_T,116.47,124.6,89.6,116.4,114.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,110.0,124.4,78.6,135.0,108.0
BKO_E3_D5_05_Sandia_T,102.12,111.2,122.6,102.4,99.0,112.0
BKO_E1_D1_03_Wasulunka_T,99.58,112.4,110.6,104.0,114.0,114.0
BKO_E1_D1_05_Sandia_T,98.42,117.8,95.8,98.6,103.0,102.0
BKO_E1_D2_07_Sandia_T,114.21,121.4,123.4,143.2,143.0,142.0
BKO_E2_D3_03_Wasulunka_T,107.01,102.6,102.0,106.8,107.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,114.8,114.4,118.8,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,132.0,113.4,110.4,135.0,127.0
BKO_E3_D5_02_Suku_T,127.11,135.6,131.8,127.2,138.0,130.0
BKO_E3_D6_12_Suku_T,141.7,127.8,117.8,71.2,70.0,114.0
