piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,131.0,116.6,138.4,144.0,130.0
BKO_E2_D4_05_Sandia_T,129.53,127.4,133.6,129.8,130.0,130.0
BKO_E2_D4_01_Suku_T,187.76,143.83,138.83,107.33,144.0,143.5
BKO_E2_D4_03_Wasulunka_T,131.02,135.4,132.6,129.4,144.0,131.0
BKO_E1_D2_04_Maraka_T,141.98,134.2,110.8,135.8,132.0,133.0
BKO_E3_D5_01_Maraka_T,166.88,99.4,127.6,112.0,138.0,93.0
BKO_E3_D6_02_Suku_T,194.03,93.8,117.0,122.0,99.0,99.0
BKO_E2_D4_06_Manjanin_T,163.74,100.6,138.8,117.6,144.0,131.0
BKO_E1_D1_01_Suku_T,155.02,130.6,120.0,139.8,137.0,137.0
BKO_E3_D5_13_Suku_T,159.42,104.2,133.0,108.4,130.0,126.0
BKO_E1_D1_02_Maraka_T,136.3,138.4,130.6,136.4,124.0,140.0
BKO_E2_D3_05_Sandia_T,127.22,111.4,135.0,129.6,144.0,129.0
BKO_E2_D3_14_Maraka_T,166.7,137.6,140.2,92.8,87.0,139.0
BKO_E3_D6_03_Wasulunka_T,150.83,129.6,131.2,140.6,144.0,132.0
BKO_E3_D5_04_Dansa_T,136.41,127.2,132.2,107.2,108.0,123.0
BKO_E2_D4_04_Dansa_T,144.98,135.8,144.0,140.4,144.0,144.0
BKO_E3_D6_01_Maraka_T,148.5,142.4,135.6,143.4,144.0,144.0
BKO_E1_D2_06_Dansa_T,123.73,92.6,131.8,117.2,95.0,116.0
BKO_E2_D4_02_Maraka_T,182.09,141.67,129.33,142.5,144.0,141.0
BKO_E2_D4_12_Suku_T,193.89,101.0,128.5,100.33,99.0,100.0
BKO_E2_D3_02_Suku_T,210.49,104.8,105.6,101.6,103.0,105.0
BKO_E1_D2_05_Wasulunka_T,130.2,129.2,121.0,122.4,123.0,123.0
BKO_E1_D1_04_Dansa_T,113.16,124.4,130.6,113.0,111.0,112.0
BKO_E1_D2_03_Suku_T,145.62,139.8,140.6,125.6,142.0,139.0
BKO_E2_D3_06_Manjanin_T,178.67,94.8,137.2,128.6,118.0,129.0
BKO_E1_D1_06_Manjanin_T,149.36,135.4,138.0,142.8,144.0,144.0
BKO_E3_D6_04_Sandia_T,135.73,136.8,136.0,140.0,144.0,142.0
BKO_E2_D3_01_Maraka_T,165.22,135.67,134.83,121.83,144.0,128.0
BKO_E3_D6_06_Manjanin_T,213.16,111.2,120.4,116.4,106.0,107.0
BKO_E3_D5_05_Sandia_T,133.46,139.4,141.0,112.8,144.0,139.0
BKO_E1_D1_03_Wasulunka_T,121.57,127.2,139.0,131.8,143.0,139.0
BKO_E1_D1_05_Sandia_T,119.93,129.0,126.6,119.2,123.0,123.0
BKO_E1_D2_07_Sandia_T,127.36,142.8,133.8,117.2,128.0,135.0
BKO_E2_D3_03_Wasulunka_T,171.0,105.4,124.8,110.6,134.0,111.0
BKO_E3_D5_06_Manjanin_T,146.97,138.4,140.6,133.2,138.0,138.0
BKO_E3_D6_10_Dansa_T,124.28,130.2,129.2,134.4,128.0,129.0
BKO_E3_D5_02_Suku_T,163.02,130.8,110.4,96.2,93.0,121.0
BKO_E3_D6_12_Suku_T,196.24,119.6,126.2,100.6,108.0,108.0
