piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,115.4,87.6,106.2,101.0,101.0
BKO_E2_D4_05_Sandia_T,129.53,102.0,116.8,117.6,128.0,128.0
BKO_E2_D4_01_Suku_T,187.76,98.17,106.0,93.5,88.0,97.0
BKO_E2_D4_03_Wasulunka_T,131.02,82.8,83.2,129.2,70.0,77.0
BKO_E1_D2_04_Maraka_T,141.98,77.6,98.0,89.6,76.0,82.0
BKO_E3_D5_01_Maraka_T,166.88,84.0,81.8,84.2,88.0,88.0
BKO_E3_D6_02_Suku_T,194.03,119.4,94.2,96.4,100.0,99.0
BKO_E2_D4_06_Manjanin_T,163.74,109.6,108.8,86.8,85.0,88.0
BKO_E1_D1_01_Suku_T,155.02,106.0,103.4,78.8,85.0,85.0
BKO_E3_D5_13_Suku_T,159.42,123.0,104.2,106.4,70.0,129.0
BKO_E1_D1_02_Maraka_T,136.3,79.4,93.4,87.0,71.0,92.0
BKO_E2_D3_05_Sandia_T,127.22,111.4,89.8,114.4,70.0,101.0
BKO_E2_D3_14_Maraka_T,166.7,129.6,88.8,95.2,87.0,96.0
BKO_E3_D6_03_Wasulunka_T,150.83,104.6,111.4,90.4,114.0,98.0
BKO_E3_D5_04_Dansa_T,136.41,131.2,89.2,107.2,108.0,108.0
BKO_E2_D4_04_Dansa_T,144.98,137.0,74.6,130.0,144.0,144.0
BKO_E3_D6_01_Maraka_T,148.5,89.8,74.8,93.4,78.0,78.0
BKO_E1_D2_06_Dansa_T,123.73,106.0,122.4,109.0,117.0,116.0
BKO_E2_D4_02_Maraka_T,182.09,123.67,99.0,91.83,93.0,93.0
BKO_E2_D4_12_Suku_T,193.89,106.33,95.33,97.17,99.0,99.0
BKO_E2_D3_02_Suku_T,210.49,104.8,105.6,105.2,107.0,105.0
BKO_E1_D2_05_Wasulunka_T,130.2,102.0,121.0,113.8,122.0,116.0
BKO_E1_D1_04_Dansa_T,113.16,114.0,112.6,112.0,111.0,111.0
BKO_E1_D2_03_Suku_T,145.62,124.6,141.4,90.8,137.0,137.0
BKO_E2_D3_06_Manjanin_T,178.67,91.0,93.4,109.6,80.0,98.0
BKO_E1_D1_06_Manjanin_T,149.36,88.8,74.4,74.4,74.0,74.0
BKO_E3_D6_04_Sandia_T,135.73,106.4,123.6,87.2,73.0,101.0
BKO_E2_D3_01_Maraka_T,165.22,92.5,88.83,81.67,82.0,85.0
BKO_E3_D6_06_Manjanin_T,213.16,97.0,106.4,105.8,104.0,105.0
BKO_E3_D5_05_Sandia_T,133.46,112.4,105.4,113.8,144.0,113.0
BKO_E1_D1_03_Wasulunka_T,121.57,114.2,108.0,105.2,86.0,106.0
BKO_E1_D1_05_Sandia_T,119.93,116.0,117.6,118.0,123.0,121.0
BKO_E1_D2_07_Sandia_T,127.36,106.8,78.6,94.2,79.0,88.0
BKO_E2_D3_03_Wasulunka_T,171.0,104.2,101.4,96.8,86.0,98.0
BKO_E3_D5_06_Manjanin_T,146.97,85.0,87.0,110.4,78.0,92.0
BKO_E3_D6_10_Dansa_T,124.28,121.0,123.4,112.8,126.0,124.0
BKO_E3_D5_02_Suku_T,163.02,137.4,83.0,100.2,73.0,93.0
BKO_E3_D6_12_Suku_T,196.24,113.0,132.0,100.6,108.0,108.0
