piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,37.62,76.34,62.01
BKO_E2_D4_05_Sandia_T,91.98,44.79,89.57,80.15
BKO_E2_D4_01_Suku_T,128.84,35.23,70.83,66.71
BKO_E2_D4_03_Wasulunka_T,108.26,35.28,72.07,54.93
BKO_E1_D2_04_Maraka_T,101.71,27.79,56.52,50.57
BKO_E3_D5_01_Maraka_T,113.68,31.94,63.87,61.54
BKO_E3_D6_02_Suku_T,136.13,42.54,85.08,60.3
BKO_E2_D4_06_Manjanin_T,129.54,30.11,63.46,63.21
BKO_E1_D1_01_Suku_T,124.51,50.73,102.82,88.59
BKO_E3_D5_13_Suku_T,120.05,45.12,90.25,55.6
BKO_E1_D1_02_Maraka_T,102.87,38.01,76.01,51.93
BKO_E2_D3_05_Sandia_T,94.28,46.85,93.7,82.85
BKO_E2_D3_14_Maraka_T,111.02,36.59,73.9,60.91
BKO_E3_D6_03_Wasulunka_T,110.77,30.24,62.69,59.61
BKO_E2_D4_04_Dansa_T,97.34,32.12,69.7,50.0
BKO_E3_D6_01_Maraka_T,115.33,54.46,108.92,76.68
BKO_E2_D4_02_Maraka_T,111.05,38.3,76.6,69.01
BKO_E2_D4_12_Suku_T,123.38,40.79,83.56,75.96
BKO_E2_D3_02_Suku_T,124.38,45.3,90.6,71.12
BKO_E1_D2_05_Wasulunka_T,129.41,37.66,75.33,56.77
BKO_E1_D1_04_Dansa_T,105.12,27.89,60.16,56.28
BKO_E1_D2_03_Suku_T,120.78,31.61,63.71,60.69
BKO_E2_D3_06_Manjanin_T,120.08,29.64,61.93,59.28
BKO_E1_D1_06_Manjanin_T,137.2,35.77,71.72,63.16
BKO_E3_D6_04_Sandia_T,106.26,34.05,71.25,64.1
BKO_E2_D3_01_Maraka_T,116.47,26.71,58.85,57.72
BKO_E3_D6_06_Manjanin_T,156.66,38.1,78.13,68.96
BKO_E3_D5_05_Sandia_T,102.12,36.34,74.61,53.84
BKO_E1_D1_03_Wasulunka_T,99.58,34.81,69.61,59.82
BKO_E1_D1_05_Sandia_T,98.42,29.77,61.54,52.11
BKO_E1_D2_07_Sandia_T,114.21,36.66,73.31,60.61
BKO_E2_D3_03_Wasulunka_T,107.01,53.28,106.55,79.24
BKO_E3_D5_06_Manjanin_T,114.75,32.2,66.38,61.83
BKO_E3_D6_10_Dansa_T,105.15,35.38,72.23,65.32
BKO_E3_D5_02_Suku_T,127.11,33.0,66.07,63.65
BKO_E3_D6_12_Suku_T,141.7,39.57,79.38,56.49
