piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,58.34,116.68,106.71
BKO_E2_D4_05_Sandia_T,91.98,47.25,94.5,94.5
BKO_E2_D4_01_Suku_T,128.84,41.28,82.56,82.56
BKO_E2_D4_03_Wasulunka_T,108.26,34.06,68.12,68.12
BKO_E1_D2_04_Maraka_T,101.71,47.4,94.8,99.95
BKO_E3_D5_01_Maraka_T,113.68,66.26,132.52,122.41
BKO_E3_D6_02_Suku_T,136.13,60.28,121.93,89.46
BKO_E2_D4_06_Manjanin_T,129.54,62.65,125.3,125.3
BKO_E1_D1_01_Suku_T,124.51,60.33,120.66,112.06
BKO_E3_D5_13_Suku_T,120.05,60.35,120.7,112.06
BKO_E1_D1_02_Maraka_T,102.87,37.22,74.43,74.43
BKO_E2_D3_05_Sandia_T,94.28,70.41,140.82,140.82
BKO_E2_D3_14_Maraka_T,111.02,51.54,103.08,101.21
BKO_E3_D6_03_Wasulunka_T,110.77,60.31,122.66,99.2
BKO_E2_D4_04_Dansa_T,97.34,33.59,73.04,82.2
BKO_E3_D6_01_Maraka_T,115.33,50.5,101.0,96.37
BKO_E2_D4_02_Maraka_T,111.05,47.36,94.71,94.18
BKO_E2_D4_12_Suku_T,123.38,43.83,91.45,91.45
BKO_E2_D3_02_Suku_T,124.38,32.13,71.09,86.6
BKO_E1_D2_05_Wasulunka_T,129.41,58.39,116.78,103.52
BKO_E1_D1_04_Dansa_T,105.12,48.63,97.25,97.25
BKO_E1_D2_03_Suku_T,120.78,45.03,90.05,74.31
BKO_E2_D3_06_Manjanin_T,120.08,47.8,95.6,95.36
BKO_E1_D1_06_Manjanin_T,137.2,26.51,53.02,53.02
BKO_E3_D6_04_Sandia_T,106.26,67.42,134.83,107.34
BKO_E2_D3_01_Maraka_T,116.47,64.48,130.91,112.14
BKO_E3_D6_06_Manjanin_T,156.66,59.04,118.07,108.23
BKO_E3_D5_05_Sandia_T,102.12,62.09,124.18,71.82
BKO_E1_D1_03_Wasulunka_T,99.58,49.13,98.26,89.52
BKO_E1_D1_05_Sandia_T,98.42,66.62,133.23,133.23
BKO_E1_D2_07_Sandia_T,114.21,60.43,120.86,118.72
BKO_E2_D3_03_Wasulunka_T,107.01,48.88,99.17,99.17
BKO_E3_D5_06_Manjanin_T,114.75,58.2,116.4,117.33
BKO_E3_D6_10_Dansa_T,105.15,50.82,101.64,101.64
BKO_E3_D5_02_Suku_T,127.11,52.28,104.57,102.86
BKO_E3_D6_12_Suku_T,141.7,37.84,76.63,72.45
