piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,61.8,123.6,118.55
BKO_E2_D4_05_Sandia_T,91.98,33.66,67.33,67.33
BKO_E2_D4_01_Suku_T,128.84,38.27,76.78,75.34
BKO_E2_D4_03_Wasulunka_T,108.26,28.62,57.23,54.62
BKO_E1_D2_04_Maraka_T,101.71,51.28,105.36,105.36
BKO_E3_D5_01_Maraka_T,113.68,34.57,70.24,70.02
BKO_E3_D6_02_Suku_T,136.13,42.72,85.44,85.22
BKO_E2_D4_06_Manjanin_T,129.54,46.39,92.78,83.82
BKO_E1_D1_01_Suku_T,124.51,51.93,103.86,103.86
BKO_E3_D5_13_Suku_T,120.05,61.98,124.18,109.93
BKO_E1_D1_02_Maraka_T,102.87,46.95,93.91,93.67
BKO_E2_D3_05_Sandia_T,94.28,37.3,74.61,54.12
BKO_E2_D3_14_Maraka_T,111.02,41.73,83.93,69.21
BKO_E3_D6_03_Wasulunka_T,110.77,49.71,99.43,80.5
BKO_E2_D4_04_Dansa_T,97.34,38.77,87.35,87.35
BKO_E3_D6_01_Maraka_T,115.33,46.21,92.42,92.42
BKO_E2_D4_02_Maraka_T,111.05,53.51,107.02,103.89
BKO_E2_D4_12_Suku_T,123.38,39.46,84.57,78.96
BKO_E2_D3_02_Suku_T,124.38,60.63,121.27,121.27
BKO_E1_D2_05_Wasulunka_T,129.41,63.44,126.89,126.89
BKO_E1_D1_04_Dansa_T,105.12,49.09,98.19,98.19
BKO_E1_D2_03_Suku_T,120.78,48.33,96.65,102.41
BKO_E2_D3_06_Manjanin_T,120.08,32.15,65.45,65.45
BKO_E1_D1_06_Manjanin_T,137.2,55.7,111.4,96.55
BKO_E3_D6_04_Sandia_T,106.26,54.14,108.27,84.12
BKO_E2_D3_01_Maraka_T,116.47,34.45,68.9,61.57
BKO_E3_D6_06_Manjanin_T,156.66,48.45,97.87,83.22
BKO_E3_D5_05_Sandia_T,102.12,55.57,111.14,66.0
BKO_E1_D1_03_Wasulunka_T,99.58,56.83,113.65,101.0
BKO_E1_D1_05_Sandia_T,98.42,55.8,111.61,111.61
BKO_E1_D2_07_Sandia_T,114.21,49.12,98.25,98.25
BKO_E2_D3_03_Wasulunka_T,107.01,55.05,110.35,90.99
BKO_E3_D5_06_Manjanin_T,114.75,49.12,98.24,92.29
BKO_E3_D6_10_Dansa_T,105.15,39.4,80.25,73.94
BKO_E3_D5_02_Suku_T,127.11,53.29,107.07,83.9
BKO_E3_D6_12_Suku_T,141.7,44.47,89.18,84.05
