piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,33.17,67.89,64.11
BKO_E2_D4_05_Sandia_T,91.98,33.58,70.23,68.96
BKO_E2_D4_01_Suku_T,128.84,26.0,52.06,50.25
BKO_E2_D4_03_Wasulunka_T,108.26,27.65,55.54,54.39
BKO_E1_D2_04_Maraka_T,101.71,32.71,68.01,58.86
BKO_E3_D5_01_Maraka_T,113.68,41.86,85.26,78.89
BKO_E3_D6_02_Suku_T,136.13,30.37,60.97,53.26
BKO_E2_D4_06_Manjanin_T,129.54,29.11,62.74,56.99
BKO_E1_D1_01_Suku_T,124.51,30.96,62.4,61.47
BKO_E3_D5_13_Suku_T,120.05,33.27,68.52,68.0
BKO_E1_D1_02_Maraka_T,102.87,26.72,53.56,51.53
BKO_E2_D3_05_Sandia_T,94.28,36.12,72.27,70.78
BKO_E2_D3_14_Maraka_T,111.02,34.34,69.4,69.08
BKO_E3_D6_03_Wasulunka_T,110.77,34.47,71.15,70.91
BKO_E2_D4_04_Dansa_T,97.34,36.19,81.25,70.34
BKO_E3_D6_01_Maraka_T,115.33,54.63,109.26,109.26
BKO_E2_D4_02_Maraka_T,111.05,36.42,72.85,70.17
BKO_E2_D4_12_Suku_T,123.38,36.99,75.93,76.18
BKO_E2_D3_02_Suku_T,124.38,38.87,77.73,69.12
BKO_E1_D2_05_Wasulunka_T,129.41,36.13,72.27,71.8
BKO_E1_D1_04_Dansa_T,105.12,47.16,94.32,85.28
BKO_E1_D2_03_Suku_T,120.78,36.12,72.72,71.5
BKO_E2_D3_06_Manjanin_T,120.08,31.2,63.56,59.36
BKO_E1_D1_06_Manjanin_T,137.2,31.38,62.76,62.34
BKO_E3_D6_04_Sandia_T,106.26,32.24,67.03,62.3
BKO_E2_D3_01_Maraka_T,116.47,39.9,79.79,72.32
BKO_E3_D6_06_Manjanin_T,156.66,31.47,62.93,54.71
BKO_E3_D5_05_Sandia_T,102.12,31.96,65.13,63.96
BKO_E1_D1_03_Wasulunka_T,99.58,40.4,83.56,56.45
BKO_E1_D1_05_Sandia_T,98.42,35.93,71.86,68.03
BKO_E1_D2_07_Sandia_T,114.21,35.34,71.65,71.44
BKO_E2_D3_03_Wasulunka_T,107.01,31.45,65.11,64.87
BKO_E3_D5_06_Manjanin_T,114.75,35.13,70.51,63.51
BKO_E3_D6_10_Dansa_T,105.15,45.21,90.47,84.16
BKO_E3_D5_02_Suku_T,127.11,33.2,66.4,65.3
BKO_E3_D6_12_Suku_T,141.7,26.39,55.65,54.71
