,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,55.55555555555556,58.333333333333336,58.333333333333336,"[0, 1, 3, 5, 6, 7, 8, 11, 12, 14, 15, 16, 18, 22, 24, 28, 29, 31, 32, 33]",[],[26]
1,zero_uni,Y,38.88888888888889,38.88888888888889,38.88888888888889,"[3, 4, 5, 11, 15, 21, 22, 24, 25, 27, 28, 30, 31, 32]",[],[]
2,zero_uni,Z,50.0,52.77777777777778,52.77777777777778,"[0, 3, 5, 8, 10, 12, 13, 19, 20, 21, 24, 25, 27, 29, 31, 32, 33, 34]",[],[35]
3,zero_uni,XYZ,55.55555555555556,55.55555555555556,55.55555555555556,"[1, 2, 3, 4, 10, 12, 13, 14, 16, 18, 20, 24, 25, 27, 28, 29, 30, 31, 32, 33]",[],[]
4,zero_uni,mode,47.22222222222222,55.55555555555556,55.55555555555556,"[0, 3, 5, 6, 8, 10, 11, 15, 19, 20, 21, 23, 25, 27, 29, 31, 32]",[],"[26, 34, 35]"
5,zero_uni,median,61.111111111111114,63.888888888888886,63.888888888888886,"[0, 1, 3, 5, 8, 10, 11, 15, 16, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 34]",[],[26]
6,zero_bi,X,47.22222222222222,47.22222222222222,47.22222222222222,"[6, 8, 9, 13, 14, 15, 16, 18, 19, 21, 22, 25, 28, 30, 31, 32, 34]",[],[]
7,zero_bi,Y,36.11111111111111,36.11111111111111,36.11111111111111,"[3, 10, 13, 14, 15, 18, 21, 23, 28, 30, 31, 32, 34]",[],[]
8,zero_bi,Z,36.11111111111111,36.11111111111111,36.11111111111111,"[0, 2, 4, 6, 8, 10, 13, 14, 18, 19, 21, 22, 32]",[],[]
9,zero_bi,XYZ,55.55555555555556,55.55555555555556,55.55555555555556,"[1, 2, 3, 4, 10, 12, 13, 14, 16, 18, 20, 24, 25, 27, 28, 29, 30, 31, 32, 33]",[],[]
10,zero_bi,mode,55.55555555555556,55.55555555555556,55.55555555555556,"[0, 2, 3, 4, 8, 10, 13, 14, 15, 16, 18, 20, 21, 22, 25, 29, 30, 31, 32, 34]",[],[]
11,zero_bi,median,69.44444444444444,69.44444444444444,69.44444444444444,"[0, 2, 3, 5, 6, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32]",[],[]
