piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,158.87,145.6,153.8,141.6,125.0,167.0
BKO_E2_D4_05_Sandia_T,129.53,102.0,125.4,90.4,65.0,99.0
BKO_E2_D4_01_Suku_T,187.76,98.17,106.0,93.5,88.0,97.0
BKO_E2_D4_03_Wasulunka_T,131.02,131.8,70.4,144.6,70.0,121.0
BKO_E1_D2_04_Maraka_T,141.98,95.6,136.4,89.6,82.0,91.0
BKO_E3_D5_01_Maraka_T,166.88,84.0,134.4,102.8,88.0,88.0
BKO_E3_D6_02_Suku_T,194.03,169.0,94.2,111.4,100.0,100.0
BKO_E2_D4_06_Manjanin_T,163.74,134.6,89.6,118.4,65.0,88.0
BKO_E1_D1_01_Suku_T,155.02,122.6,137.6,95.8,85.0,136.0
BKO_E3_D5_13_Suku_T,159.42,159.4,86.4,106.4,179.0,129.0
BKO_E1_D1_02_Maraka_T,136.3,94.0,129.8,87.0,71.0,93.0
BKO_E2_D3_05_Sandia_T,127.22,126.2,82.0,114.4,167.0,92.0
BKO_E2_D3_14_Maraka_T,166.7,172.0,88.8,95.2,87.0,96.0
BKO_E3_D6_03_Wasulunka_T,150.83,104.6,169.4,107.8,114.0,114.0
BKO_E3_D5_04_Dansa_T,136.41,158.2,76.8,107.2,108.0,108.0
BKO_E2_D4_04_Dansa_T,144.98,138.0,74.6,131.2,145.0,145.0
BKO_E3_D6_01_Maraka_T,148.5,120.6,106.8,93.4,74.0,80.0
BKO_E1_D2_06_Dansa_T,123.73,142.8,122.4,68.2,117.0,117.0
BKO_E2_D4_02_Maraka_T,182.09,136.5,126.17,104.67,93.0,115.0
BKO_E2_D4_12_Suku_T,193.89,125.0,122.5,97.17,99.0,99.0
BKO_E2_D3_02_Suku_T,210.49,104.8,123.8,105.2,107.0,107.0
BKO_E1_D2_05_Wasulunka_T,130.2,102.0,162.8,136.8,160.0,123.0
BKO_E1_D1_04_Dansa_T,113.16,114.0,112.6,112.0,111.0,111.0
BKO_E1_D2_03_Suku_T,145.62,157.6,153.6,114.0,159.0,159.0
BKO_E2_D3_06_Manjanin_T,178.67,125.2,130.6,130.2,166.0,111.0
BKO_E1_D1_06_Manjanin_T,149.36,148.2,93.4,74.4,74.0,75.0
BKO_E3_D6_04_Sandia_T,135.73,124.2,123.6,105.0,73.0,130.0
BKO_E2_D3_01_Maraka_T,165.22,112.0,109.5,81.67,82.0,85.0
BKO_E3_D6_06_Manjanin_T,213.16,146.0,130.4,105.8,160.0,106.0
BKO_E3_D5_05_Sandia_T,133.46,159.2,93.2,113.8,176.0,113.0
BKO_E1_D1_03_Wasulunka_T,121.57,130.2,153.8,166.6,155.0,161.0
BKO_E1_D1_05_Sandia_T,119.93,116.0,125.6,118.0,110.0,121.0
BKO_E1_D2_07_Sandia_T,127.36,108.2,78.6,107.4,79.0,80.0
BKO_E2_D3_03_Wasulunka_T,171.0,138.2,115.0,129.2,172.0,112.0
BKO_E3_D5_06_Manjanin_T,146.97,152.8,132.8,132.6,78.0,153.0
BKO_E3_D6_10_Dansa_T,124.28,146.4,144.4,89.8,175.0,127.0
BKO_E3_D5_02_Suku_T,163.02,165.2,137.8,100.2,179.0,144.0
BKO_E3_D6_12_Suku_T,196.24,113.0,132.8,135.4,108.0,119.0
