piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,161.0,165.0,114.8,112.0,157.0
BKO_E2_D4_05_Sandia_T,91.98,161.4,161.2,150.8,163.0,163.0
BKO_E2_D4_01_Suku_T,128.84,143.6,145.4,161.4,161.0,161.0
BKO_E2_D4_03_Wasulunka_T,108.26,117.0,166.8,107.8,108.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,161.0,163.4,167.0,156.0,163.0
BKO_E3_D5_01_Maraka_T,113.68,135.8,157.2,169.6,136.0,165.0
BKO_E3_D6_02_Suku_T,136.13,159.4,162.4,171.2,165.0,166.0
BKO_E2_D4_06_Manjanin_T,129.54,160.6,160.2,172.6,177.0,162.0
BKO_E1_D1_01_Suku_T,124.51,169.6,161.0,138.2,178.0,162.0
BKO_E3_D5_13_Suku_T,120.05,160.8,158.2,125.0,155.0,155.0
BKO_E1_D1_02_Maraka_T,102.87,159.8,163.4,176.2,174.0,173.0
BKO_E2_D3_05_Sandia_T,94.28,161.2,156.4,165.6,166.0,165.0
BKO_E2_D3_14_Maraka_T,111.02,149.8,166.8,145.0,170.0,154.0
BKO_E3_D6_03_Wasulunka_T,110.77,167.2,151.0,159.4,169.0,167.0
BKO_E2_D4_04_Dansa_T,97.34,168.8,171.4,170.4,171.0,171.0
BKO_E3_D6_01_Maraka_T,115.33,131.0,173.0,159.4,113.0,164.0
BKO_E2_D4_02_Maraka_T,111.05,168.2,160.4,164.4,164.0,166.0
BKO_E2_D4_12_Suku_T,123.38,139.8,131.8,159.2,124.0,144.0
BKO_E2_D3_02_Suku_T,124.38,165.6,163.6,166.2,172.0,169.0
BKO_E1_D2_05_Wasulunka_T,129.41,147.8,122.8,138.2,126.0,130.0
BKO_E1_D1_04_Dansa_T,105.12,153.2,158.6,164.0,140.0,158.0
BKO_E1_D2_03_Suku_T,120.78,169.2,156.4,144.2,174.0,171.0
BKO_E2_D3_06_Manjanin_T,120.08,155.6,168.6,176.2,176.0,174.0
BKO_E1_D1_06_Manjanin_T,137.2,169.4,136.2,136.2,138.0,140.0
BKO_E3_D6_04_Sandia_T,106.26,162.6,168.0,135.2,171.0,165.0
BKO_E2_D3_01_Maraka_T,116.47,166.4,154.4,152.0,146.0,148.0
BKO_E3_D6_06_Manjanin_T,156.66,151.4,161.4,171.6,154.0,167.0
BKO_E3_D5_05_Sandia_T,102.12,147.6,160.2,172.2,141.0,163.0
BKO_E1_D1_03_Wasulunka_T,99.58,161.8,152.4,142.4,165.0,165.0
BKO_E1_D1_05_Sandia_T,98.42,141.0,143.4,178.0,153.0,154.0
BKO_E1_D2_07_Sandia_T,114.21,149.6,158.6,149.2,151.0,150.0
BKO_E2_D3_03_Wasulunka_T,107.01,156.2,163.4,106.8,160.0,160.0
BKO_E3_D5_06_Manjanin_T,114.75,123.8,160.0,172.0,113.0,166.0
BKO_E3_D6_10_Dansa_T,105.15,175.2,151.2,173.0,160.0,173.0
BKO_E3_D5_02_Suku_T,127.11,139.0,159.0,169.2,163.0,162.0
BKO_E3_D6_12_Suku_T,141.7,144.2,168.4,144.4,144.0,147.0
