piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,130.8,150.0,114.4,92.0,117.0
BKO_E2_D4_05_Sandia_T,91.98,128.8,115.8,91.8,93.0,115.0
BKO_E2_D4_01_Suku_T,128.84,119.4,82.8,97.0,97.0,97.0
BKO_E2_D4_03_Wasulunka_T,108.26,119.2,148.8,107.8,106.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,72.6,96.4,96.6,75.0,78.0
BKO_E3_D5_01_Maraka_T,113.68,140.0,146.6,112.6,110.0,116.0
BKO_E3_D6_02_Suku_T,136.13,151.6,155.0,101.4,140.0,140.0
BKO_E2_D4_06_Manjanin_T,129.54,152.0,150.4,87.6,168.0,129.0
BKO_E1_D1_01_Suku_T,124.51,130.4,118.0,118.6,96.0,121.0
BKO_E3_D5_13_Suku_T,120.05,162.0,122.6,89.4,89.0,148.0
BKO_E1_D1_02_Maraka_T,102.87,134.0,124.4,102.8,101.0,104.0
BKO_E2_D3_05_Sandia_T,94.28,132.8,116.6,94.4,116.0,116.0
BKO_E2_D3_14_Maraka_T,111.02,170.6,160.6,83.6,83.0,166.0
BKO_E3_D6_03_Wasulunka_T,110.77,131.8,96.6,106.2,83.0,104.0
BKO_E2_D4_04_Dansa_T,97.34,169.2,104.0,126.6,100.0,121.0
BKO_E3_D6_01_Maraka_T,115.33,93.0,147.8,115.0,63.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,127.2,145.6,111.0,110.0,114.0
BKO_E2_D4_12_Suku_T,123.38,83.8,80.8,92.4,92.0,65.0
BKO_E2_D3_02_Suku_T,124.38,106.6,146.6,93.4,93.0,93.0
BKO_E1_D2_05_Wasulunka_T,129.41,139.0,92.8,127.6,128.0,128.0
BKO_E1_D1_04_Dansa_T,105.12,144.0,136.4,104.6,101.0,106.0
BKO_E1_D2_03_Suku_T,120.78,106.4,138.4,119.6,116.0,120.0
BKO_E2_D3_06_Manjanin_T,120.08,124.4,122.4,89.8,91.0,91.0
BKO_E1_D1_06_Manjanin_T,137.2,157.0,131.0,121.8,129.0,139.0
BKO_E3_D6_04_Sandia_T,106.26,125.6,127.4,135.0,111.0,111.0
BKO_E2_D3_01_Maraka_T,116.47,137.8,121.8,122.4,84.0,118.0
BKO_E3_D6_06_Manjanin_T,156.66,160.2,161.2,171.6,159.0,159.0
BKO_E3_D5_05_Sandia_T,102.12,164.2,108.0,102.4,87.0,105.0
BKO_E1_D1_03_Wasulunka_T,99.58,149.0,137.2,99.2,99.0,140.0
BKO_E1_D1_05_Sandia_T,98.42,138.6,145.6,102.0,86.0,121.0
BKO_E1_D2_07_Sandia_T,114.21,151.2,163.4,86.4,86.0,146.0
BKO_E2_D3_03_Wasulunka_T,107.01,80.4,115.8,106.8,76.0,88.0
BKO_E3_D5_06_Manjanin_T,114.75,149.4,157.8,114.4,112.0,120.0
BKO_E3_D6_10_Dansa_T,105.15,160.2,107.8,105.0,104.0,108.0
BKO_E3_D5_02_Suku_T,127.11,152.8,151.4,108.0,138.0,138.0
BKO_E3_D6_12_Suku_T,141.7,140.0,157.4,106.6,148.0,144.0
