piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,116.8,100.8,109.0,116.8,100.8,109.0,121.0,110.0,115.0,115.0,115.0,115.0,115.0,115.0
BKO_E2_D4_05_Sandia_T,129.53,113.0,95.6,123.0,113.0,95.6,123.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E2_D4_01_Suku_T,187.76,104.17,112.33,115.5,104.17,112.33,115.5,123.0,115.5,123.0,123.0,123.0,107.0,107.0,107.0
BKO_E2_D4_03_Wasulunka_T,131.02,116.8,130.0,123.0,116.8,130.0,123.0,118.0,120.0,120.0,120.0,120.0,116.0,116.0,116.0
BKO_E1_D2_04_Maraka_T,141.98,100.6,101.6,117.4,100.6,101.6,117.4,94.0,108.0,96.0,96.0,96.0,99.0,99.0,99.0
BKO_E3_D5_01_Maraka_T,166.88,105.0,122.6,127.2,105.0,122.6,127.2,128.0,124.0,93.0,93.0,93.0,110.0,110.0,110.0
BKO_E3_D6_02_Suku_T,194.03,110.6,96.0,106.8,110.6,96.0,106.8,100.0,102.0,100.0,100.0,100.0,106.0,106.0,106.0
BKO_E2_D4_06_Manjanin_T,163.74,82.4,113.2,111.6,82.4,113.2,111.6,108.0,108.0,79.0,79.0,79.0,82.0,82.0,82.0
BKO_E1_D1_01_Suku_T,155.02,126.8,129.8,139.2,126.8,129.8,139.2,133.0,133.0,124.0,124.0,124.0,127.0,127.0,127.0
BKO_E3_D5_13_Suku_T,159.42,104.6,90.0,96.0,104.6,90.0,96.0,91.0,92.0,85.0,85.0,85.0,108.0,108.0,108.0
BKO_E1_D1_02_Maraka_T,136.3,109.0,106.8,109.2,109.0,106.8,109.2,112.0,112.0,93.0,93.0,93.0,111.0,111.0,111.0
BKO_E2_D3_05_Sandia_T,127.22,127.8,101.4,127.2,127.8,101.4,127.2,102.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
BKO_E2_D3_14_Maraka_T,166.7,110.0,101.6,108.6,110.0,101.6,108.6,80.0,110.0,80.0,80.0,80.0,116.0,116.0,116.0
