piece,bpm_gt,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,104.71,104.71
BKO_E2_D4_05_Sandia_T,91.98,83.43,83.43
BKO_E2_D4_01_Suku_T,128.84,129.14,129.14
BKO_E2_D4_03_Wasulunka_T,108.26,108.71,108.71
BKO_E1_D2_04_Maraka_T,101.71,101.57,101.57
BKO_E3_D5_01_Maraka_T,113.68,113.29,113.29
BKO_E3_D6_02_Suku_T,136.13,135.57,135.57
BKO_E2_D4_06_Manjanin_T,129.54,128.14,128.14
BKO_E1_D1_01_Suku_T,124.51,93.38,93.38
BKO_E3_D5_13_Suku_T,120.05,120.29,120.29
BKO_E1_D1_02_Maraka_T,102.87,91.43,91.43
BKO_E2_D3_05_Sandia_T,94.28,71.14,71.14
BKO_E2_D3_14_Maraka_T,111.02,111.14,111.14
BKO_E3_D6_03_Wasulunka_T,110.77,89.29,89.29
BKO_E2_D4_04_Dansa_T,97.34,72.86,72.86
BKO_E3_D6_01_Maraka_T,115.33,116.14,116.14
BKO_E2_D4_02_Maraka_T,111.05,111.12,111.12
BKO_E2_D4_12_Suku_T,123.38,123.29,123.29
BKO_E2_D3_02_Suku_T,124.38,124.29,124.29
BKO_E1_D2_05_Wasulunka_T,129.41,96.86,96.86
BKO_E1_D1_04_Dansa_T,105.12,104.29,104.29
BKO_E1_D2_03_Suku_T,120.78,114.71,114.71
BKO_E2_D3_06_Manjanin_T,120.08,120.86,120.86
BKO_E1_D1_06_Manjanin_T,137.2,110.33,110.33
BKO_E3_D6_04_Sandia_T,106.26,110.14,110.14
BKO_E2_D3_01_Maraka_T,116.47,116.14,116.14
BKO_E3_D6_06_Manjanin_T,156.66,95.0,95.0
BKO_E3_D5_05_Sandia_T,102.12,116.0,116.0
BKO_E1_D1_03_Wasulunka_T,99.58,84.71,84.71
BKO_E1_D1_05_Sandia_T,98.42,109.86,109.86
BKO_E1_D2_07_Sandia_T,114.21,113.71,113.71
BKO_E2_D3_03_Wasulunka_T,107.01,78.0,78.0
BKO_E3_D5_06_Manjanin_T,114.75,114.86,114.86
BKO_E3_D6_10_Dansa_T,105.15,82.12,82.12
BKO_E3_D5_02_Suku_T,127.11,113.57,113.57
BKO_E3_D6_12_Suku_T,141.7,110.0,110.0
